transcript_ID,gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,test
XM_047162834.1,LOC124646352,5735.549109,-1.050579872,0.628825996,-1.670700446,0.094780861,0.969723275,FALSE
XM_047162835.1,LOC124646377,0.405316265,1.817574643,3.136053165,0.579573925,0.562201981,NA,NA
XM_047162836.1,LOC124629430,8.710037667,-0.798097773,0.953009778,-0.837449721,0.402339828,1,FALSE
XM_047162837.1,LOC124629431,319.2151763,0.193041658,0.302815584,0.637489179,0.523806256,1,FALSE
XM_047162838.1,LOC124629429,371.7531846,0.436730132,0.38970071,1.120680874,0.262423726,1,FALSE
XM_047162839.1,LOC124629432,345.6489137,-0.009543306,0.394865591,-0.024168491,0.980718211,1,FALSE
XM_047162840.1,LOC124629432,0.155030061,0,6.91875675,0,1,NA,FALSE
XM_047162841.1,LOC124629433,5.895873678,-0.244179376,0.759910594,-0.321326453,0.747963012,1,FALSE
XM_047162848.1,LOC124629436,0,NA,NA,NA,NA,NA,NA
XM_047162849.1,LOC124629435,1.173930764,3.556708933,1.635717448,2.174403004,0.029674883,0.77045314,FALSE
XM_047162850.1,LOC124629449,0.035717656,0.261636492,6.918494571,0.037816969,0.969833615,NA,FALSE
XM_047162851.1,LOC124629465,6.32286079,-0.801427244,0.661144757,-1.212181198,0.225443027,1,FALSE
XM_047162852.1,LOC124629482,294.3403232,0.233982222,0.234327439,0.998526779,0.318023986,1,FALSE
XM_047162853.1,LOC124629483,4.883055698,-0.484875856,0.819586184,-0.591610579,0.554111388,1,FALSE
XM_047162855.1,LOC124629484,1.29514712,0.02158744,1.967388404,0.010972637,0.991245278,1,FALSE
XM_047162856.1,LOC124629481,106.0193965,-0.041660559,0.270329815,-0.154110116,0.877522912,1,FALSE
XM_047162859.1,LOC124629485,1.127261169,0.997469771,1.316885641,0.757446007,0.448782702,1,FALSE
XM_047162860.1,LOC124629485,1.424328226,-0.639934162,1.363601024,-0.469297214,0.638857206,1,FALSE
