NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047170482	na	61	1.5491347312927246	0.009119176	Yes	
row_1	XM_047182818	na	117	1.4254217147827148	0.01758265	Yes	
row_2	XM_047174354	na	152	1.3806816339492798	0.027019467	Yes	
row_3	XM_047170038	na	158	1.37197744846344	0.038247246	Yes	
row_4	XM_047180165	na	203	1.330262303352356	0.046616796	Yes	
row_5	XM_047185470	na	205	1.329505443572998	0.057744186	Yes	
row_6	XM_047175934	na	214	1.3125666379928589	0.068279	Yes	
row_7	XM_047168126	na	220	1.308552622795105	0.07897287	Yes	
row_8	XM_047173161	na	241	1.2772819995880127	0.08843925	Yes	
row_9	XM_047169202	na	244	1.2746797800064087	0.099040836	Yes	
row_10	XM_047165081	na	258	1.2674665451049805	0.108874574	Yes	
row_11	XM_047164005	na	260	1.2665185928344727	0.11947174	Yes	
row_12	XM_047177788	na	279	1.2486820220947266	0.12882595	Yes	
row_13	XM_047165556	na	291	1.2426694631576538	0.13857952	Yes	
row_14	XM_047171043	na	316	1.2196649312973022	0.14730375	Yes	
row_15	XM_047167245	na	319	1.2177679538726807	0.15742625	Yes	
row_16	XM_047179623	na	321	1.2163031101226807	0.1676007	Yes	
row_17	XM_047180417	na	323	1.2148690223693848	0.17776309	Yes	
row_18	XM_047177279	na	326	1.2119674682617188	0.18783677	Yes	
row_19	XM_047169771	na	329	1.2102642059326172	0.19789611	Yes	
row_20	XM_047186051	na	349	1.1937631368637085	0.20672372	Yes	
row_21	XM_047170087	na	353	1.1872813701629639	0.21652532	Yes	
row_22	XM_047173761	na	363	1.1794745922088623	0.22587548	Yes	
row_23	XM_047185869	na	376	1.16682767868042	0.23492634	Yes	
row_24	XM_047168105	na	383	1.1609342098236084	0.24431328	Yes	
row_25	XM_047180010	na	411	1.1442254781723022	0.25220963	Yes	
row_26	XM_047174246	na	414	1.1435374021530151	0.26170725	Yes	
row_27	XM_047179131	na	415	1.1427756547927856	0.27132705	Yes	
row_28	XM_047184213	na	491	1.0970035791397095	0.27574027	Yes	
row_29	XM_047166301	na	521	1.0823825597763062	0.28298742	Yes	
row_30	XM_047168007	na	535	1.0788198709487915	0.29123315	Yes	
row_31	XM_047175951	na	537	1.0776162147521973	0.30024016	Yes	
row_32	XM_047171803	na	553	1.073539137840271	0.30831286	Yes	
row_33	XM_047165190	na	554	1.0734905004501343	0.31734943	Yes	
row_34	XM_047174513	na	561	1.0702157020568848	0.3259727	Yes	
row_35	XM_047178897	na	572	1.0667904615402222	0.33431002	Yes	
row_36	XM_047173179	na	665	1.0289565324783325	0.3370576	Yes	
row_37	XM_047173356	na	683	1.0214728116989136	0.34456345	Yes	
row_38	XM_047184300	na	722	1.0019007921218872	0.3505546	Yes	
row_39	XM_047179536	na	758	0.9890739321708679	0.3566306	Yes	
row_40	XM_047168567	na	763	0.9869728088378906	0.36468172	Yes	
row_41	XM_047174316	na	767	0.985618531703949	0.37278572	Yes	
row_42	XM_047167695	na	782	0.9776365756988525	0.38011542	Yes	
row_43	XM_047168308	na	794	0.9739354252815247	0.3876068	Yes	
row_44	XM_047170030	na	804	0.9717683792114258	0.3952085	Yes	
row_45	XM_047186039	na	827	0.964016318321228	0.4019093	Yes	
row_46	XM_047169437	na	829	0.9636838436126709	0.4099572	Yes	
row_47	XM_047183219	na	848	0.9581800103187561	0.41686597	Yes	
row_48	XM_047170868	na	874	0.9499520659446716	0.4232555	Yes	
row_49	XM_047173237	na	884	0.945805013179779	0.43063867	Yes	
row_50	XM_047174384	na	897	0.9390764832496643	0.43777233	Yes	
row_51	XM_047163562	na	912	0.93257075548172	0.44472265	Yes	
row_52	XM_047172041	na	915	0.9320587515830994	0.45244008	Yes	
row_53	XM_047165167	na	968	0.9076874256134033	0.45673817	Yes	
row_54	XM_047166445	na	1006	0.8887758255004883	0.46184132	Yes	
row_55	XM_047180158	na	1034	0.8772256374359131	0.46749008	Yes	
row_56	XM_047166538	na	1054	0.8703927993774414	0.47359556	Yes	
row_57	XM_047177809	na	1120	0.8455619812011719	0.476535	Yes	
row_58	XM_047170727	na	1155	0.8374638557434082	0.48139906	Yes	
row_59	XM_047171254	na	1165	0.8356373310089111	0.4878548	Yes	
row_60	XM_047174382	na	1166	0.83543860912323	0.49488747	Yes	
row_61	XM_047179454	na	1175	0.8328684568405151	0.5013842	Yes	
row_62	XM_047179849	na	1193	0.8286503553390503	0.50726694	Yes	
