NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047178248	na	95	1.454987645149231	0.053573877	Yes	
row_1	XM_047185049	na	137	1.3972843885421753	0.10822239	Yes	
row_2	XM_047174230	na	213	1.3140149116516113	0.1572931	Yes	
row_3	XM_047179963	na	308	1.2279456853866577	0.20162663	Yes	
row_4	XM_047174305	na	448	1.1184078454971313	0.23860532	Yes	
row_5	XM_047186028	na	476	1.1022976636886597	0.28205714	Yes	
row_6	XM_047168731	na	564	1.0687650442123413	0.32031336	Yes	
row_7	XM_047186208	na	584	1.0610355138778687	0.36258382	Yes	
row_8	XM_047186307	na	873	0.9500609040260315	0.3831739	Yes	
row_9	XM_047167793	na	889	0.9432522058486938	0.42087242	Yes	
row_10	XM_047186063	na	975	0.903087317943573	0.45246667	Yes	
row_11	XM_047177101	na	982	0.899590015411377	0.48894915	Yes	
row_12	XM_047170670	na	2569	0.5367668867111206	0.40993282	No	
row_13	XM_047170530	na	3259	0.4201284646987915	0.38326687	No	
row_14	XM_047168354	na	3701	0.3707386553287506	0.37037212	No	
row_15	XM_047175759	na	4066	0.35679131746292114	0.36180994	No	
row_16	XM_047168418	na	4255	0.344864159822464	0.3639685	No	
row_17	XM_047181403	na	4332	0.34460484981536865	0.37324974	No	
row_18	XM_047169190	na	4582	0.31372249126434326	0.370247	No	
row_19	XM_047176706	na	4634	0.30610063672065735	0.37954262	No	
row_20	XM_047174578	na	5595	0.17883168160915375	0.32572842	No	
row_21	XM_047183769	na	5678	0.17024438083171844	0.3274823	No	
row_22	XM_047176019	na	5713	0.1661573052406311	0.33212587	No	
row_23	XM_047179343	na	5966	0.12869352102279663	0.3213497	No	
row_24	XM_047169192	na	5990	0.12518922984600067	0.325015	No	
row_25	XM_047167098	na	6638	0.0468689501285553	0.2857281	No	
row_26	XM_047176018	na	8101	0.0	0.19261302	No	
row_27	XM_047186306	na	8834	0.0	0.14599179	No	
row_28	XM_047184732	na	9912	-0.07359089702367783	0.08041313	No	
row_29	XM_047171288	na	10366	-0.11302081495523453	0.056192987	No	
row_30	XM_047175493	na	10867	-0.15554676949977875	0.030722087	No	
row_31	XM_047184673	na	11240	-0.1953127682209015	0.015033118	No	
row_32	XM_047168424	na	12074	-0.30351293087005615	-0.025583066	No	
row_33	XM_047178249	na	12452	-0.3397531807422638	-0.03567141	No	
row_34	XM_047175436	na	12639	-0.3433645963668823	-0.03344693	No	
row_35	XM_047183770	na	12784	-0.34932056069374084	-0.028303392	No	
row_36	XM_047175319	na	13502	-0.4563228487968445	-0.05526946	No	
row_37	XM_047164998	na	14093	-0.5689601302146912	-0.06953107	No	
row_38	XM_047184078	na	14210	-0.5929955840110779	-0.05261856	No	
row_39	XM_047176016	na	14480	-0.6321620345115662	-0.04384564	No	
row_40	XM_047175107	na	14616	-0.6690139770507812	-0.02502806	No	
row_41	XM_047174707	na	15289	-0.9074621200561523	-0.030640673	No	
row_42	XM_047176017	na	15694	-1.4517607688903809	0.0031206934	No	
