NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173595	na	10	2.3423051834106445	0.026392974	Yes	
row_1	XM_047172994	na	45	1.643429160118103	0.043173753	Yes	
row_2	XM_047170801	na	111	1.4313123226165771	0.055510227	Yes	
row_3	XM_047173829	na	314	1.2200788259506226	0.056587968	Yes	
row_4	XM_047168033	na	373	1.1685711145401	0.06634235	Yes	
row_5	XM_047184636	na	506	1.0903528928756714	0.07042951	Yes	
row_6	XM_047173704	na	549	1.0743666887283325	0.080126636	Yes	
row_7	XM_047173196	na	552	1.0740927457809448	0.09239593	Yes	
row_8	XM_047174347	na	733	1.0002858638763428	0.092353076	Yes	
row_9	XM_047173271	na	768	0.9853126406669617	0.10153733	Yes	
row_10	XM_047178510	na	860	0.9530426859855652	0.10667926	Yes	
row_11	XM_047164731	na	888	0.9435172080993652	0.11583176	Yes	
row_12	XM_047163563	na	911	0.932896614074707	0.12518358	Yes	
row_13	XM_047173968	na	992	0.8957679867744446	0.13037261	Yes	
row_14	XM_047170557	na	1017	0.8835151195526123	0.13902567	Yes	
row_15	XM_047178441	na	1135	0.8412660360336304	0.14120343	Yes	
row_16	XM_047170136	na	1182	0.8313915729522705	0.1478384	Yes	
row_17	XM_047175224	na	1209	0.8253836035728455	0.1556917	Yes	
row_18	XM_047172913	na	1258	0.8100807666778564	0.16195191	Yes	
row_19	XM_047165319	na	1321	0.7878966331481934	0.16705471	Yes	
row_20	XM_047166211	na	1334	0.7822520136833191	0.1753115	Yes	
row_21	XM_047169156	na	1345	0.7775068879127502	0.1836423	Yes	
row_22	XM_047182318	na	1395	0.7606438994407654	0.18926749	Yes	
row_23	XM_047182417	na	1454	0.7434759736061096	0.19411507	Yes	
row_24	XM_047170586	na	1462	0.7417954206466675	0.2022268	Yes	
row_25	XM_047182952	na	1533	0.7250334620475769	0.2060889	Yes	
row_26	XM_047182001	na	1598	0.7094296813011169	0.2101572	Yes	
