NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047180052	na	173	1.3549673557281494	0.039059088	Yes	
row_1	XM_047168602	na	392	1.1560739278793335	0.06789589	Yes	
row_2	XM_047176291	na	497	1.0953755378723145	0.101758264	Yes	
row_3	XM_047165518	na	686	1.016918659210205	0.12736376	Yes	
row_4	XM_047166079	na	945	0.9187670350074768	0.14487703	Yes	
row_5	XM_047165167	na	968	0.9076874256134033	0.1770298	Yes	
row_6	XM_047163210	na	998	0.8916260004043579	0.20814246	Yes	
row_7	XM_047170557	na	1017	0.8835151195526123	0.2396567	Yes	
row_8	XM_047183267	na	1043	0.8740372061729431	0.27037418	Yes	
row_9	XM_047176086	na	1144	0.8398017883300781	0.2950435	Yes	
row_10	XM_047179596	na	1252	0.8116077184677124	0.31822416	Yes	
row_11	XM_047172913	na	1258	0.8100807666778564	0.34785262	Yes	
row_12	XM_047170586	na	1462	0.7417954206466675	0.36233076	Yes	
row_13	XM_047182652	na	1689	0.6888599395751953	0.3733853	Yes	
row_14	XM_047169225	na	1733	0.6791830658912659	0.39575157	Yes	
row_15	XM_047175837	na	2096	0.6221696138381958	0.39566833	Yes	
row_16	XM_047181284	na	2164	0.6094817519187927	0.41392744	Yes	
row_17	XM_047176292	na	2291	0.5890453457832336	0.42766875	Yes	
row_18	XM_047173900	na	2472	0.5537967085838318	0.43666354	Yes	
row_19	XM_047176293	na	2634	0.5215704441070557	0.44567856	Yes	
row_20	XM_047165048	na	2875	0.47840699553489685	0.4480603	Yes	
row_21	XM_047168359	na	2885	0.47704267501831055	0.46512184	Yes	
row_22	XM_047182730	na	3160	0.43594640493392944	0.46376577	No	
row_23	XM_047176294	na	3638	0.37956467270851135	0.4473806	No	
row_24	XM_047173506	na	4532	0.322046160697937	0.40234184	No	
row_25	XM_047169975	na	4677	0.3004518747329712	0.40426654	No	
row_26	XM_047181249	na	5068	0.25015947222709656	0.38864523	No	
row_27	XM_047185658	na	5491	0.19386008381843567	0.36890206	No	
row_28	XM_047178582	na	5861	0.14612287282943726	0.3507738	No	
row_29	XM_047169587	na	5866	0.14508464932441711	0.3558823	No	
row_30	XM_047181194	na	6101	0.10547734051942825	0.34486005	No	
row_31	XM_047173699	na	6211	0.09149928390979767	0.34129196	No	
row_32	XM_047176602	na	6225	0.089448943734169	0.34376976	No	
row_33	XM_047168078	na	6391	0.0658188983798027	0.33568135	No	
row_34	XM_047169987	na	6780	0.034843456000089645	0.31222773	No	
row_35	XM_047166437	na	7430	0.0	0.2708427	No	
row_36	XM_047167395	na	7487	0.0	0.26727173	No	
row_37	XM_047169039	na	7600	0.0	0.26012978	No	
row_38	XM_047176488	na	8128	0.0	0.22652435	No	
row_39	XM_047177443	na	8205	0.0	0.22167803	No	
row_40	XM_047180455	na	8419	0.0	0.20809558	No	
row_41	XM_047182080	na	8541	0.0	0.20037973	No	
row_42	XM_047170075	na	9359	-0.022807709872722626	0.14912495	No	
row_43	XM_047169076	na	9745	-0.059032753109931946	0.12675685	No	
row_44	XM_047163863	na	9749	-0.05910208821296692	0.12875044	No	
row_45	XM_047186205	na	9757	-0.05950090289115906	0.13050373	No	
row_46	XM_047166551	na	10005	-0.08224911987781525	0.11779379	No	
row_47	XM_047165669	na	10310	-0.10779569298028946	0.10239353	No	
row_48	XM_047163224	na	10385	-0.11403171718120575	0.1018903	No	
row_49	XM_047174049	na	10503	-0.12229819595813751	0.09895068	No	
row_50	XM_047182666	na	11560	-0.231504425406456	0.04017065	No	
row_51	XM_047182934	na	12272	-0.3359430730342865	0.007251288	No	
row_52	XM_047164159	na	12648	-0.34401941299438477	-0.0039436654	No	
row_53	XM_047169248	na	12804	-0.3535282015800476	-7.582712E-4	No	
row_54	XM_047162870	na	13089	-0.4045869708061218	-0.0039113127	No	
row_55	XM_047182935	na	13578	-0.47231003642082214	-0.017569294	No	
row_56	XM_047174265	na	14568	-0.6548077464103699	-0.0564281	No	
row_57	XM_047179104	na	14613	-0.6678721308708191	-0.034543764	No	
row_58	XM_047174527	na	14667	-0.6815741062164307	-0.012726798	No	
row_59	XM_047168130	na	14720	-0.6976925730705261	0.00974981	No	
row_60	XM_047185380	na	14804	-0.716971755027771	0.030962348	No	
row_61	XM_047178154	na	14996	-0.7804380655288696	0.047634248	No	
