NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047184212	na	242	1.2770665884017944	0.002710038	No	
row_1	XM_047174967	na	271	1.2544349431991577	0.018842718	No	
row_2	XM_047168527	na	781	0.9776731729507446	1.2257701E-4	No	
row_3	XM_047176647	na	785	0.9772557616233826	0.01389904	No	
row_4	XM_047173841	na	786	0.9771527051925659	0.027866732	No	
row_5	XM_047169328	na	1070	0.8614510893821716	0.022002239	No	
row_6	XM_047184957	na	1118	0.8468669056892395	0.031088578	No	
row_7	XM_047172995	na	1133	0.842160701751709	0.042227376	No	
row_8	XM_047183463	na	1158	0.8368063569068909	0.052647296	No	
row_9	XM_047171114	na	1348	0.7767747640609741	0.05161044	No	
row_10	XM_047184534	na	1440	0.7471204400062561	0.056444664	No	
row_11	XM_047180699	na	1587	0.7111884951591492	0.05723238	No	
row_12	XM_047175410	na	2004	0.6340512037277222	0.039574202	No	
row_13	XM_047163013	na	2188	0.6059929132461548	0.03648155	No	
row_14	XM_047177624	na	2214	0.601191520690918	0.04346929	No	
row_15	XM_047168996	na	2363	0.5758535265922546	0.042194024	No	
row_16	XM_047175017	na	2386	0.5709644556045532	0.04894239	No	
row_17	XM_047170749	na	2407	0.5656664371490479	0.0557435	No	
row_18	XM_047176277	na	2425	0.5627930760383606	0.06269623	No	
row_19	XM_047164924	na	2479	0.5526435971260071	0.06719146	No	
row_20	XM_047175645	na	2517	0.5461595058441162	0.07262174	No	
row_21	XM_047179191	na	2545	0.5425186157226562	0.07864233	No	
row_22	XM_047186210	na	2648	0.5179246664047241	0.07949378	No	
row_23	XM_047169011	na	2654	0.5167588591575623	0.08655931	No	
row_24	XM_047174042	na	2686	0.510655403137207	0.0918675	No	
row_25	XM_047169299	na	2812	0.48863309621810913	0.09082286	No	
row_26	XM_047185760	na	2879	0.47771477699279785	0.09341198	No	
row_27	XM_047182075	na	3199	0.429670512676239	0.079063065	No	
row_28	XM_047172336	na	3213	0.42712724208831787	0.084333494	No	
row_29	XM_047168997	na	3440	0.40579289197921753	0.07561705	No	
row_30	XM_047171549	na	3451	0.40294957160949707	0.08073458	No	
row_31	XM_047170785	na	3486	0.3984667658805847	0.08424641	No	
row_32	XM_047172381	na	3510	0.39547041058540344	0.088421986	No	
row_33	XM_047166307	na	3511	0.3953177332878113	0.09407277	No	
row_34	XM_047184740	na	3543	0.39152684807777405	0.097678095	No	
row_35	XM_047184846	na	3576	0.386958509683609	0.10115389	No	
row_36	XM_047178748	na	3751	0.3626319468021393	0.09516068	No	
row_37	XM_047167247	na	3923	0.36106404662132263	0.08933776	No	
row_38	XM_047176335	na	4050	0.35897764563560486	0.08637556	No	
row_39	XM_047173650	na	4208	0.35169288516044617	0.08131796	No	
row_40	XM_047163228	na	4234	0.3482483923435211	0.084690064	No	
row_41	XM_047163894	na	4401	0.3424118757247925	0.0789217	No	
row_42	XM_047171735	na	4419	0.3397945761680603	0.082686834	No	
row_43	XM_047180398	na	4484	0.3289945721626282	0.083278574	No	
row_44	XM_047171256	na	4486	0.32870396971702576	0.087912925	No	
row_45	XM_047177782	na	4626	0.307239830493927	0.083376125	No	
row_46	XM_047174032	na	4747	0.2906387746334076	0.07982248	No	
row_47	XM_047168475	na	4773	0.2877280116081238	0.08232949	No	
row_48	XM_047179179	na	4916	0.2713640034198761	0.077087164	No	
row_49	XM_047182404	na	4927	0.27026477456092834	0.08030806	No	
row_50	XM_047186405	na	4943	0.26818984746932983	0.083178125	No	
row_51	XM_047169086	na	5154	0.23687554895877838	0.073074885	No	
row_52	XM_047179209	na	5187	0.2295142114162445	0.074300125	No	
row_53	XM_047176888	na	5197	0.228375643491745	0.07698648	No	
row_54	XM_047168781	na	5286	0.2181883305311203	0.074452706	No	
row_55	XM_047176645	na	5339	0.21142016351222992	0.07413462	No	
row_56	XM_047168453	na	5372	0.20855556428432465	0.07506027	No	
row_57	XM_047167648	na	5440	0.19951003789901733	0.07360842	No	
row_58	XM_047175068	na	5535	0.187051460146904	0.07024416	No	
row_59	XM_047185593	na	5604	0.17781603336334229	0.068417974	No	
row_60	XM_047177491	na	5622	0.17657370865345	0.06984999	No	
row_61	XM_047185769	na	5742	0.1629735231399536	0.06453569	No	
row_62	XM_047167008	na	5946	0.13165415823459625	0.053378023	No	
row_63	XM_047177661	na	6037	0.11732655763626099	0.04927403	No	
row_64	XM_047175548	na	6078	0.10857480764389038	0.048256658	No	
row_65	XM_047184941	na	6123	0.10297641158103943	0.04690232	No	
row_66	XM_047174957	na	6161	0.09791179746389389	0.04592523	No	
row_67	XM_047168718	na	6164	0.09733720868825912	0.047188126	No	
