NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047179539	na	428	1.1346828937530518	0.03769336	No	
row_1	XM_047180088	na	2272	0.5923570990562439	-0.045785904	No	
row_2	XM_047165710	na	2315	0.5844606161117554	-0.015003833	No	
row_3	XM_047166987	na	2348	0.578961193561554	0.016100371	No	
row_4	XM_047170006	na	2675	0.513495683670044	0.024730913	No	
row_5	XM_047164250	na	2685	0.5115059018135071	0.05343863	No	
row_6	XM_047164244	na	3116	0.44315817952156067	0.051418524	No	
row_7	XM_047172571	na	3414	0.4080071747303009	0.055857547	No	
row_8	XM_047176804	na	3669	0.376131534576416	0.061210714	No	
row_9	XM_047164064	na	5088	0.2474641352891922	-0.014941759	No	
row_10	XM_047170004	na	6557	0.050911739468574524	-0.105530515	No	
row_11	XM_047185099	na	6870	0.029191818088293076	-0.12373205	No	
row_12	XM_047183222	na	6956	0.01939236745238304	-0.12803595	No	
row_13	XM_047172570	na	7877	0.0	-0.18663467	No	
row_14	XM_047172572	na	7878	0.0	-0.18663467	No	
row_15	XM_047163512	na	9761	-0.05974781513214111	-0.30308703	No	
row_16	XM_047165143	na	10172	-0.09582158178091049	-0.32371643	No	
row_17	XM_047185060	na	10217	-0.09916814416646957	-0.32084212	No	
row_18	XM_047166157	na	10393	-0.11457106471061707	-0.32543004	No	
row_19	XM_047168041	na	10435	-0.11809743195772171	-0.32128105	No	
row_20	XM_047170005	na	10555	-0.1268189549446106	-0.32160097	No	
row_21	XM_047182865	na	10563	-0.12756623327732086	-0.31474435	No	
row_22	XM_047184676	na	10576	-0.12843328714370728	-0.30815658	No	
row_23	XM_047178179	na	10741	-0.1424751877784729	-0.3104465	No	
row_24	XM_047163885	na	10784	-0.14725090563297272	-0.30469233	No	
row_25	XM_047186287	na	10800	-0.14877863228321075	-0.29713097	No	
row_26	XM_047186453	na	11121	-0.18150216341018677	-0.3071231	No	
row_27	XM_047176726	na	11123	-0.18172551691532135	-0.29678398	No	
row_28	XM_047175073	na	11340	-0.20819129049777985	-0.2986241	No	
row_29	XM_047177059	na	11719	-0.2520837187767029	-0.3082701	No	
row_30	XM_047166917	na	11941	-0.2852039337158203	-0.30602014	No	
row_31	XM_047180647	na	13886	-0.5289652347564697	-0.39956138	Yes	
row_32	XM_047169426	na	14158	-0.5841932892799377	-0.3833806	Yes	
row_33	XM_047183225	na	14245	-0.603350043296814	-0.35431975	Yes	
row_34	XM_047178289	na	14546	-0.6475784182548523	-0.33635765	Yes	
row_35	XM_047166086	na	14566	-0.6539597511291504	-0.30013216	Yes	
row_36	XM_047183517	na	14657	-0.6795294284820557	-0.2669652	Yes	
row_37	XM_047168803	na	14772	-0.7080530524253845	-0.23369414	Yes	
row_38	XM_047178183	na	14961	-0.7685521841049194	-0.20167316	Yes	
row_39	XM_047171176	na	15063	-0.8093391060829163	-0.16177598	Yes	
row_40	XM_047178532	na	15220	-0.870689868927002	-0.12186996	Yes	
row_41	XM_047163507	na	15259	-0.8947088122367859	-0.07307307	Yes	
row_42	XM_047174879	na	15261	-0.8973144292831421	-0.021770325	Yes	
row_43	XM_047163350	na	15305	-0.9155004024505615	0.027898304	Yes	
