NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185585	na	210	1.3236171007156372	0.014658894	No	
row_1	XM_047176730	na	841	0.9602681994438171	-0.005273742	No	
row_2	XM_047185414	na	899	0.9383030533790588	0.010996993	No	
row_3	XM_047170557	na	1017	0.8835151195526123	0.022264924	No	
row_4	XM_047169846	na	1594	0.7105749845504761	4.875248E-4	No	
row_5	XM_047184483	na	1741	0.6767828464508057	0.005511017	No	
row_6	XM_047172879	na	1859	0.6500146389007568	0.011822149	No	
row_7	XM_047178220	na	2201	0.6038228869438171	0.0028176303	No	
row_8	XM_047182424	na	2331	0.5809706449508667	0.006895131	No	
row_9	XM_047169962	na	2581	0.5328812599182129	0.0022722706	No	
row_10	XM_047182645	na	2744	0.49935275316238403	0.0025053038	No	
row_11	XM_047185584	na	2858	0.48088181018829346	0.0054820306	No	
row_12	XM_047185442	na	3000	0.4598996937274933	0.0062214597	No	
row_13	XM_047173955	na	3021	0.4571671783924103	0.014646387	No	
row_14	XM_047169036	na	3073	0.44907644391059875	0.020915689	No	
row_15	XM_047173591	na	3197	0.4299953877925873	0.022172228	No	
row_16	XM_047177130	na	3389	0.41163426637649536	0.018687272	No	
row_17	XM_047174522	na	3480	0.3995278477668762	0.021408904	No	
row_18	XM_047184043	na	3544	0.3914651870727539	0.025687272	No	
row_19	XM_047166992	na	3567	0.3881675601005554	0.032519467	No	
row_20	XM_047182810	na	3619	0.38123929500579834	0.037348706	No	
row_21	XM_047184482	na	3688	0.37293416261672974	0.040913712	No	
row_22	XM_047175566	na	4243	0.34613150358200073	0.012807738	No	
row_23	XM_047182786	na	4247	0.34573978185653687	0.01995519	No	
row_24	XM_047176802	na	4302	0.34460484981536865	0.023814758	No	
row_25	XM_047184042	na	4495	0.3275240361690521	0.018480297	No	
row_26	XM_047178339	na	4611	0.30927470326423645	0.01768612	No	
row_27	XM_047185838	na	4688	0.2984709143638611	0.019158436	No	
row_28	XM_047179140	na	4840	0.2801983952522278	0.015443168	No	
row_29	XM_047173171	na	4972	0.2632123529911041	0.012647234	No	
row_30	XM_047185899	na	5050	0.2521404027938843	0.013072041	No	
row_31	XM_047177097	na	5086	0.24796521663665771	0.016096044	No	
row_32	XM_047163561	na	5181	0.23094713687896729	0.014983025	No	
row_33	XM_047178552	na	5326	0.21199755370616913	0.010267945	No	
row_34	XM_047172294	na	5327	0.21192213892936707	0.0147666745	No	
row_35	XM_047177966	na	5386	0.20738232135772705	0.01545727	No	
row_36	XM_047163262	na	5437	0.19990357756614685	0.016501071	No	
row_37	XM_047163432	na	5461	0.19694854319095612	0.019210033	No	
row_38	XM_047171770	na	5502	0.19214046001434326	0.020728996	No	
row_39	XM_047185615	na	5522	0.18897277116775513	0.023524629	No	
row_40	XM_047185769	na	5742	0.1629735231399536	0.012969164	No	
row_41	XM_047176772	na	5879	0.1421341449022293	0.0072829756	No	
row_42	XM_047165623	na	6073	0.1096295639872551	-0.0027409936	No	
row_43	XM_047176801	na	6102	0.10544700920581818	-0.0022944266	No	
row_44	XM_047163081	na	6349	0.07175047695636749	-0.016514285	No	
row_45	XM_047179382	na	6374	0.06777603924274445	-0.016611421	No	
row_46	XM_047168394	na	6524	0.05218254029750824	-0.02503907	No	
row_47	XM_047171104	na	6702	0.04121580719947815	-0.035491407	No	
row_48	XM_047185586	na	6837	0.032464105635881424	-0.0433777	No	
row_49	XM_047176652	na	6852	0.03093850053846836	-0.043616876	No	
row_50	XM_047186308	na	6892	0.026440801098942757	-0.045551423	No	
row_51	XM_047179057	na	6928	0.024147318676114082	-0.047278676	No	
row_52	XM_047166405	na	7427	0.0	-0.079148635	No	
row_53	XM_047167083	na	7466	0.0	-0.08158048	No	
row_54	XM_047170884	na	7753	0.0	-0.09988331	No	
row_55	XM_047171584	na	7809	0.0	-0.103403084	No	
row_56	XM_047173671	na	7959	0.0	-0.11293847	No	
row_57	XM_047177866	na	8230	0.0	-0.13021737	No	
row_58	XM_047177914	na	8235	0.0	-0.13047335	No	
row_59	XM_047178335	na	8261	0.0	-0.13207325	No	
row_60	XM_047182425	na	8564	0.0	-0.15140001	No	
row_61	XM_047164968	na	9269	-0.010719791986048222	-0.19622557	No	
row_62	XM_047173592	na	9280	-0.012217165902256966	-0.19660617	No	
row_63	XM_047186250	na	9308	-0.01576172187924385	-0.19799948	No	
row_64	XM_047173254	na	9407	-0.02848156914114952	-0.20366646	No	
row_65	XM_047184930	na	9479	-0.03514073044061661	-0.20746419	No	
row_66	XM_047175598	na	9690	-0.054395612329244614	-0.2197486	No	
row_67	XM_047177376	na	9978	-0.08000505715608597	-0.23641707	No	
row_68	XM_047183307	na	10292	-0.10597585886716843	-0.2541981	No	
row_69	XM_047175810	na	10821	-0.15011578798294067	-0.28480124	No	
row_70	XM_047164249	na	10832	-0.15094958245754242	-0.2822368	No	
row_71	XM_047178256	na	11206	-0.19152957201004028	-0.30204147	No	
row_72	XM_047165802	na	11474	-0.2228870689868927	-0.3143969	No	
row_73	XM_047168425	na	11476	-0.22304613888263702	-0.309726	No	
row_74	XM_047175551	na	11590	-0.23640340566635132	-0.31193912	No	
row_75	XM_047176319	na	11595	-0.23673121631145477	-0.3071697	No	
row_76	XM_047171393	na	11874	-0.2757861912250519	-0.31910613	No	
row_77	XM_047178598	na	11878	-0.2763395607471466	-0.31343192	No	
row_78	XM_047185595	na	11988	-0.2929898798465729	-0.31418782	No	
row_79	XM_047185700	na	12005	-0.2955504357814789	-0.30893773	No	
row_80	XM_047177865	na	12560	-0.3407037854194641	-0.33715895	No	
row_81	XM_047169210	na	12628	-0.3414994776248932	-0.33419722	No	
row_82	XM_047173607	na	12889	-0.3698900043964386	-0.34298408	Yes	
row_83	XM_047166090	na	12913	-0.3734799921512604	-0.33652765	Yes	
row_84	XM_047165192	na	12927	-0.3762735426425934	-0.329372	Yes	
row_85	XM_047167762	na	13023	-0.39515143632888794	-0.32706323	Yes	
row_86	XM_047163258	na	13119	-0.40477606654167175	-0.32455018	Yes	
