NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176920	na	2	2.8450276851654053	0.036744475	Yes	
row_1	XM_047185672	na	8	2.367887258529663	0.0671119	Yes	
row_2	XM_047170780	na	12	2.216639518737793	0.09564776	Yes	
row_3	XM_047185135	na	108	1.4351232051849365	0.1081349	Yes	
row_4	XM_047184560	na	149	1.3850736618041992	0.1235124	Yes	
row_5	XM_047165641	na	298	1.2336480617523193	0.12997799	Yes	
row_6	XM_047176640	na	299	1.2333056926727295	0.14596231	Yes	
row_7	XM_047176925	na	339	1.20014488697052	0.15900739	Yes	
row_8	XM_047178309	na	361	1.1807448863983154	0.17295924	Yes	
row_9	XM_047174800	na	710	1.0047378540039062	0.16358882	Yes	
row_10	XM_047165843	na	721	1.0020960569381714	0.1759331	Yes	
row_11	XM_047173841	na	786	0.9771527051925659	0.18447942	Yes	
row_12	XM_047184644	na	836	0.9614613056182861	0.19378754	Yes	
row_13	XM_047176547	na	870	0.9504396319389343	0.20398235	Yes	
row_14	XM_047174128	na	913	0.9324914216995239	0.21336545	Yes	
row_15	XM_047179479	na	926	0.9290706515312195	0.22463457	Yes	
row_16	XM_047167353	na	955	0.9137388467788696	0.23467547	Yes	
row_17	XM_047162834	na	991	0.8958175778388977	0.24403365	Yes	
row_18	XM_047170666	na	1028	0.8808133602142334	0.25313303	Yes	
row_19	XM_047183901	na	1089	0.8542982935905457	0.26034448	Yes	
row_20	XM_047186213	na	1266	0.807486355304718	0.25948507	Yes	
row_21	XM_047168073	na	1376	0.7661807537078857	0.2624015	Yes	
row_22	XM_047168907	na	1436	0.7480169534683228	0.26829982	Yes	
row_23	XM_047184561	na	1605	0.7070984840393066	0.2666541	Yes	
row_24	XM_047184614	na	1631	0.7009551525115967	0.27413023	Yes	
row_25	XM_047162920	na	1668	0.6937150955200195	0.2808047	Yes	
row_26	XM_047178752	na	1694	0.6868311166763306	0.28809777	Yes	
row_27	XM_047178667	na	1724	0.680389404296875	0.29504997	Yes	
row_28	XM_047176468	na	1767	0.6705328822135925	0.30103794	Yes	
row_29	XM_047185662	na	1810	0.6602422595024109	0.3068925	Yes	
row_30	XM_047179620	na	1936	0.6426454782485962	0.30717832	Yes	
row_31	XM_047171148	na	1941	0.6413978338241577	0.31523383	Yes	
row_32	XM_047165642	na	1942	0.6412140130996704	0.32354432	Yes	
row_33	XM_047184556	na	2056	0.6270963549613953	0.32440075	Yes	
row_34	XM_047169522	na	2062	0.625891387462616	0.33219093	Yes	
row_35	XM_047176923	na	2114	0.6170204281806946	0.3369062	Yes	
row_36	XM_047170776	na	2281	0.5913280248641968	0.33388874	Yes	
row_37	XM_047175683	na	2383	0.5716959834098816	0.3347993	Yes	
row_38	XM_047164205	na	2481	0.5522128939628601	0.33571473	Yes	
row_39	XM_047171158	na	2585	0.5321328043937683	0.33598384	Yes	
row_40	XM_047162918	na	2695	0.5086101293563843	0.33556202	Yes	
row_41	XM_047177648	na	2942	0.468723863363266	0.32580784	Yes	
row_42	XM_047169907	na	2969	0.46404939889907837	0.33014917	Yes	
row_43	XM_047184557	na	3039	0.4544876217842102	0.33159974	Yes	
row_44	XM_047165493	na	3091	0.44565004110336304	0.33409396	Yes	
row_45	XM_047175614	na	3105	0.44394367933273315	0.33901122	Yes	
row_46	XM_047183900	na	3118	0.44315817952156067	0.34398267	Yes	
row_47	XM_047183102	na	3217	0.4265506863594055	0.3432051	Yes	
row_48	XM_047170421	na	3361	0.414259672164917	0.33937266	Yes	
row_49	XM_047169340	na	3437	0.4067000150680542	0.3398178	Yes	
