NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174320	na	1687	0.6889731884002686	-0.030262638	No	
row_1	XM_047164013	na	3057	0.4514777958393097	-0.06685497	No	
row_2	XM_047167296	na	3327	0.41577577590942383	-0.03747376	No	
row_3	XM_047164014	na	3514	0.39494678378105164	-0.005142369	No	
row_4	XM_047166992	na	3567	0.3881675601005554	0.034954075	No	
row_5	XM_047176850	na	4939	0.2685929536819458	-0.022215188	No	
row_6	XM_047173323	na	4966	0.26392999291419983	0.0056430604	No	
row_7	XM_047170565	na	5824	0.15143020451068878	-0.031934004	No	
row_8	XM_047176849	na	7154	0.0021889384370297194	-0.116220474	No	
row_9	XM_047171270	na	7777	0.0	-0.15578288	No	
row_10	XM_047183760	na	8673	0.0	-0.21270947	No	
row_11	XM_047176852	na	11843	-0.27146682143211365	-0.38391942	Yes	
row_12	XM_047176072	na	11844	-0.2716621458530426	-0.35354286	Yes	
row_13	XM_047167478	na	12402	-0.3397531807422638	-0.35098058	Yes	
row_14	XM_047169951	na	12883	-0.36926621198654175	-0.34022063	Yes	
row_15	XM_047167762	na	13023	-0.39515143632888794	-0.30487692	Yes	
row_16	XM_047163766	na	13449	-0.44803422689437866	-0.28181106	Yes	
row_17	XM_047171320	na	13835	-0.520733654499054	-0.24807191	Yes	
row_18	XM_047176092	na	13877	-0.5271426439285278	-0.19173597	Yes	
row_19	XM_047178355	na	14704	-0.6935347318649292	-0.16672452	Yes	
row_20	XM_047172331	na	15508	-1.0354288816452026	-0.10202041	Yes	
row_21	XM_047174227	na	15520	-1.045488953590393	0.014183851	Yes	
