NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047180005	na	250	1.270653247833252	0.09038381	Yes	
row_1	XM_047171436	na	356	1.1827492713928223	0.18264273	Yes	
row_2	XM_047169691	na	377	1.1659505367279053	0.27890623	Yes	
row_3	XM_047171924	na	507	1.0899074077606201	0.36187106	Yes	
row_4	XM_047185096	na	1048	0.871490478515625	0.4004061	Yes	
row_5	XM_047178678	na	1695	0.6865845322608948	0.41672656	Yes	
row_6	XM_047169017	na	2210	0.6021630167961121	0.43438604	Yes	
row_7	XM_047186334	na	2779	0.4944115877151489	0.43959484	Yes	
row_8	XM_047175483	na	2928	0.46974971890449524	0.46947172	Yes	
row_9	XM_047174687	na	2943	0.4687226116657257	0.5077912	Yes	
row_10	XM_047184198	na	3058	0.45141106843948364	0.53829795	Yes	
row_11	XM_047165589	na	3696	0.37159979343414307	0.5288415	No	
row_12	XM_047178784	na	4526	0.3232485055923462	0.5031203	No	
row_13	XM_047171057	na	5274	0.2192365676164627	0.47391704	No	
row_14	XM_047168844	na	5852	0.14757481217384338	0.44953874	No	
row_15	XM_047171654	na	6249	0.08553074300289154	0.43149006	No	
row_16	XM_047167345	na	7158	0.0017487005097791553	0.3738461	No	
row_17	XM_047165595	na	7383	0.0	0.3595895	No	
row_18	XM_047165596	na	7384	0.0	0.3595895	No	
row_19	XM_047171058	na	7764	0.0	0.3354678	No	
row_20	XM_047186332	na	8837	0.0	0.2672397	No	
row_21	XM_047183266	na	9189	-0.001319351838901639	0.24501045	No	
row_22	XM_047177087	na	9195	-0.0019937336910516024	0.244859	No	
row_23	XM_047167344	na	10130	-0.0924597829580307	0.19314861	No	
row_24	XM_047185773	na	10283	-0.10542105883359909	0.19229338	No	
row_25	XM_047167346	na	10711	-0.13891050219535828	0.17673711	No	
row_26	XM_047185799	na	10718	-0.1395845264196396	0.18803205	No	
row_27	XM_047165597	na	11181	-0.18825970590114594	0.17437644	No	
row_28	XM_047186096	na	11327	-0.20659099519252777	0.18242998	No	
row_29	XM_047182057	na	12785	-0.34940600395202637	0.11892752	No	
row_30	XM_047173984	na	12828	-0.3594902455806732	0.1463272	No	
row_31	XM_047171742	na	13553	-0.46783414483070374	0.13938397	No	
