NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047178019	na	13	2.1887807846069336	0.031912122	Yes	
row_1	XM_047164100	na	171	1.3570687770843506	0.042137705	Yes	
row_2	XM_047167572	na	257	1.267580509185791	0.055646047	Yes	
row_3	XM_047176640	na	299	1.2333056926727295	0.07146592	Yes	
row_4	XM_047164352	na	332	1.2070285081863403	0.08747035	Yes	
row_5	XM_047166742	na	341	1.1998538970947266	0.104907975	Yes	
row_6	XM_047178840	na	379	1.164618968963623	0.11995697	Yes	
row_7	XM_047185801	na	468	1.1074769496917725	0.13087742	Yes	
row_8	XM_047181410	na	596	1.0581575632095337	0.13855663	Yes	
row_9	XM_047181411	na	633	1.0433335304260254	0.15185525	Yes	
row_10	XM_047178003	na	726	1.00141441822052	0.16093212	Yes	
row_11	XM_047167086	na	949	0.917056143283844	0.16040236	Yes	
row_12	XM_047170709	na	958	0.9129337072372437	0.17354734	Yes	
row_13	XM_047170947	na	1093	0.8533884882926941	0.17771365	Yes	
row_14	XM_047182062	na	1112	0.8488808274269104	0.18925844	Yes	
row_15	XM_047172589	na	1139	0.8407498598098755	0.20016807	Yes	
row_16	XM_047185177	na	1159	0.8362762928009033	0.21146011	Yes	
row_17	XM_047164394	na	1347	0.7769325375556946	0.21108054	Yes	
row_18	XM_047185802	na	1384	0.7635021209716797	0.22019257	Yes	
row_19	XM_047166252	na	1399	0.7591552734375	0.23065172	Yes	
row_20	XM_047181601	na	1439	0.747204601764679	0.23932737	Yes	
row_21	XM_047169049	na	1471	0.7394129037857056	0.24839994	Yes	
row_22	XM_047166018	na	1599	0.7092202305793762	0.25085866	Yes	
row_23	XM_047183655	na	1647	0.6986980438232422	0.25829506	Yes	
row_24	XM_047185970	na	1679	0.6911721229553223	0.2666459	Yes	
row_25	XM_047186503	na	1853	0.6500781178474426	0.2652671	Yes	
row_26	XM_047181666	na	1863	0.6500146389007568	0.27441433	Yes	
row_27	XM_047181831	na	1889	0.6472513675689697	0.2824932	Yes	
row_28	XM_047182063	na	1912	0.6442350745201111	0.29071954	Yes	
row_29	XM_047179620	na	1936	0.6426454782485962	0.29885787	Yes	
row_30	XM_047181665	na	2165	0.609480082988739	0.29334128	Yes	
row_31	XM_047172342	na	2191	0.6053585410118103	0.30079338	Yes	
row_32	XM_047183652	na	2251	0.59613436460495	0.30592507	Yes	
row_33	XM_047167980	na	2258	0.5947247743606567	0.3144377	Yes	
row_34	XM_047180088	na	2272	0.5923570990562439	0.32246554	Yes	
row_35	XM_047183202	na	2415	0.5644168853759766	0.321795	Yes	
row_36	XM_047166664	na	2462	0.5554628372192383	0.32715264	Yes	
row_37	XM_047186211	na	2476	0.5530189871788025	0.33459195	Yes	
row_38	XM_047170791	na	2501	0.5483227968215942	0.34125495	Yes	
row_39	XM_047172131	na	2623	0.523490846157074	0.34132007	Yes	
row_40	XM_047167004	na	2681	0.5124491453170776	0.34532812	Yes	
row_41	XM_047164697	na	2720	0.5031270980834961	0.35041627	Yes	
row_42	XM_047185716	na	2734	0.5008571743965149	0.35707518	Yes	
row_43	XM_047171811	na	2878	0.4777510166168213	0.35504386	Yes	
row_44	XM_047164183	na	2953	0.46713346242904663	0.3572827	Yes	
row_45	XM_047164455	na	2999	0.45999738574028015	0.36127627	Yes	
row_46	XM_047185987	na	3081	0.4472424387931824	0.3627682	Yes	
row_47	XM_047184522	na	3354	0.41484519839286804	0.35151535	Yes	
row_48	XM_047172571	na	3414	0.4080071747303009	0.35383242	Yes	
row_49	XM_047179391	na	3505	0.3961810767650604	0.35398275	Yes	
row_50	XM_047174164	na	3634	0.3797833323478699	0.35144854	Yes	
row_51	XM_047168798	na	3676	0.3752933442592621	0.35443157	Yes	
row_52	XM_047164101	na	3766	0.3616258203983307	0.35412908	Yes	
row_53	XM_047183651	na	3862	0.3616258203983307	0.35344145	Yes	
row_54	XM_047166744	na	3920	0.36106404662132263	0.35518458	Yes	
row_55	XM_047173529	na	3950	0.36106404662132263	0.35872504	Yes	
row_56	XM_047171005	na	4069	0.35573315620422363	0.3564729	Yes	
row_57	XM_047168442	na	4098	0.3544747233390808	0.35997894	Yes	
row_58	XM_047164688	na	4256	0.34460997581481934	0.35505703	Yes	
row_59	XM_047179779	na	4317	0.34460484981536865	0.35636136	Yes	
row_60	XM_047164634	na	4446	0.33637964725494385	0.3531778	Yes	
row_61	XM_047168102	na	4453	0.3350643217563629	0.35780558	Yes	
row_62	XM_047182842	na	4467	0.3323321044445038	0.36194316	Yes	
row_63	XM_047180855	na	4480	0.3301506042480469	0.36611232	Yes	
row_64	XM_047164142	na	4566	0.31753554940223694	0.36540693	Yes	
row_65	XM_047179166	na	4619	0.30781760811805725	0.3666744	Yes	
row_66	XM_047175444	na	4629	0.3067421317100525	0.3706859	Yes	
row_67	XM_047172230	na	4685	0.2984963059425354	0.37162134	Yes	
row_68	XM_047169089	na	4866	0.27653127908706665	0.36420456	No	
row_69	XM_047180138	na	4936	0.2689748704433441	0.36379966	No	
row_70	XM_047171650	na	4954	0.2657524049282074	0.3666844	No	
row_71	XM_047183832	na	4965	0.26488810777664185	0.37000555	No	
row_72	XM_047167551	na	5114	0.24263450503349304	0.36413565	No	
row_73	XM_047179977	na	5137	0.23930159211158752	0.3663037	No	
row_74	XM_047164454	na	5207	0.22716115415096283	0.36527324	No	
row_75	XM_047177259	na	5506	0.19145400822162628	0.3490093	No	
row_76	XM_047181838	na	5623	0.17657370865345	0.3442051	No	
row_77	XM_047185868	na	5800	0.15594087541103363	0.3352409	No	
row_78	XM_047177604	na	5812	0.1527148336172104	0.33681962	No	
row_79	XM_047166840	na	5949	0.13111546635627747	0.33005154	No	
row_80	XM_047175445	na	6046	0.11596131324768066	0.32562432	No	
row_81	XM_047183654	na	6087	0.10729075968265533	0.32466194	No	
row_82	XM_047163815	na	6184	0.09508403390645981	0.31992236	No	
row_83	XM_047186449	na	6244	0.08618278056383133	0.3174246	No	
row_84	XM_047176493	na	6268	0.08273031562566757	0.317186	No	
row_85	XM_047186007	na	6281	0.08069746196269989	0.31762305	No	
row_86	XM_047179129	na	6344	0.07219630479812622	0.31472346	No	
row_87	XM_047184519	na	6351	0.07163142412900925	0.31541002	No	
row_88	XM_047179804	na	6394	0.06553900986909866	0.31369463	No	
row_89	XM_047179503	na	6424	0.06276769936084747	0.3127722	No	
row_90	XM_047174295	na	6547	0.051742687821388245	0.3057153	No	
row_91	XM_047172344	na	6903	0.024903899058699608	0.2833008	No	
row_92	XM_047183222	na	6956	0.01939236745238304	0.28025308	No	
row_93	XM_047171642	na	7045	0.01122675184160471	0.27477244	No	
row_94	XM_047167376	na	7130	0.004471598193049431	0.26944745	No	
row_95	XM_047163825	na	7138	0.003683794755488634	0.26905325	No	
row_96	XM_047164143	na	7281	0.0	0.25993842	No	
row_97	XM_047166719	na	7452	0.0	0.24902628	No	
row_98	XM_047166745	na	7454	0.0	0.2489621	No	
row_99	XM_047167211	na	7475	0.0	0.24767832	No	
row_100	XM_047170790	na	7745	0.0	0.23041148	No	
row_101	XM_047170792	na	7746	0.0	0.23041148	No	
row_102	XM_047171922	na	7837	0.0	0.22463448	No	
row_103	XM_047172228	na	7856	0.0	0.22347908	No	
row_104	XM_047172570	na	7877	0.0	0.2221953	No	
row_105	XM_047172572	na	7878	0.0	0.2221953	No	
row_106	XM_047174147	na	7978	0.0	0.2158406	No	
row_107	XM_047177113	na	8186	0.0	0.20255348	No	
row_108	XM_047180255	na	8398	0.0	0.1890096	No	
row_109	XM_047180679	na	8443	0.0	0.18618529	No	
row_110	XM_047181054	na	8480	0.0	0.18387449	No	
row_111	XM_047181055	na	8481	0.0	0.18387449	No	
row_112	XM_047181846	na	8528	0.0	0.1809218	No	
row_113	XM_047185316	na	8768	0.0	0.16558063	No	
row_114	XM_047169277	na	9232	-0.006765262223780155	0.13596235	No	
row_115	XM_047177229	na	9283	-0.012330499477684498	0.13293739	No	
row_116	XM_047181448	na	9318	-0.01702526956796646	0.13100967	No	
row_117	XM_047169595	na	9360	-0.02282290905714035	0.12871937	No	
row_118	XM_047179952	na	9501	-0.0365329310297966	0.1202795	No	
row_119	XM_047173814	na	9611	-0.0477461963891983	0.113997236	No	
row_120	XM_047163512	na	9761	-0.05974781513214111	0.10532697	No	
row_121	XM_047178756	na	9772	-0.06080768257379532	0.10559483	No	
row_122	XM_047175735	na	9871	-0.06993536651134491	0.100350626	No	
row_123	XM_047165731	na	10107	-0.0906972661614418	0.08662315	No	
row_124	XM_047169702	na	10202	-0.09835860878229141	0.08206093	No	
row_125	XM_047185060	na	10217	-0.09916814416646957	0.08264595	No	
row_126	XM_047170700	na	10537	-0.12490112334489822	0.06403834	No	
row_127	XM_047166247	na	10628	-0.13262031972408295	0.060245473	No	
row_128	XM_047185803	na	10724	-0.1405506283044815	0.05625031	No	
row_129	XM_047168855	na	10900	-0.15796026587486267	0.047380503	No	
row_130	XM_047167767	na	10976	-0.16545207798480988	0.045041677	No	
row_131	XM_047166963	na	11044	-0.17197854816913605	0.043314002	No	
row_132	XM_047184974	na	11132	-0.18241843581199646	0.040458746	No	
row_133	XM_047177284	na	11203	-0.19142943620681763	0.038829513	No	
row_134	XM_047175073	na	11340	-0.20819129049777985	0.033214584	No	
row_135	XM_047163727	na	11344	-0.20853281021118164	0.0361419	No	
row_136	XM_047186471	na	11366	-0.21086286008358002	0.03794867	No	
row_137	XM_047183445	na	11376	-0.21246522665023804	0.040549684	No	
row_138	XM_047180796	na	11417	-0.21707788109779358	0.04122985	No	
row_139	XM_047170419	na	11487	-0.22367465496063232	0.040147234	No	
row_140	XM_047184924	na	11496	-0.22483496367931366	0.0429975	No	
row_141	XM_047174657	na	11703	-0.2504509389400482	0.033521596	No	
row_142	XM_047166961	na	11716	-0.2516142427921295	0.036515757	No	
row_143	XM_047170282	na	12121	-0.3117072880268097	0.015246897	No	
row_144	XM_047176208	na	12445	-0.3397531807422638	-4.0305743E-4	No	
row_145	XM_047174665	na	12872	-0.3674599230289459	-0.022249952	No	
row_146	XM_047171926	na	13179	-0.40759655833244324	-0.035793684	No	
row_147	XM_047172343	na	13318	-0.43145081400871277	-0.03819678	No	
row_148	XM_047167124	na	13504	-0.45694178342819214	-0.043235384	No	
row_149	XM_047166960	na	13525	-0.46298936009407043	-0.037592333	No	
row_150	XM_047171742	na	13553	-0.46783414483070374	-0.032326117	No	
row_151	XM_047166570	na	13781	-0.5080721378326416	-0.039295692	No	
row_152	XM_047178018	na	13934	-0.5397235751152039	-0.040977556	No	
row_153	XM_047179167	na	14055	-0.5616922974586487	-0.040276695	No	
