NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047182411	na	421	1.1385219097137451	0.06364647	No	
row_1	XM_047182891	na	862	0.9528093934059143	0.111326896	No	
row_2	XM_047174367	na	2680	0.512747585773468	0.036335003	No	
row_3	XM_047168683	na	5344	0.21070143580436707	-0.116541445	No	
row_4	XM_047185695	na	5658	0.17252300679683685	-0.12276986	No	
row_5	XM_047170140	na	5954	0.12998318672180176	-0.1312318	No	
row_6	XM_047163070	na	6035	0.11752662062644958	-0.1269892	No	
row_7	XM_047182611	na	6139	0.10009605437517166	-0.12559654	No	
row_8	XM_047171912	na	6145	0.0992918387055397	-0.118025735	No	
row_9	XM_047185091	na	6228	0.08895289897918701	-0.116180874	No	
row_10	XM_047174623	na	6445	0.059859052300453186	-0.1251827	No	
row_11	XM_047182451	na	6876	0.028737099841237068	-0.15028793	No	
row_12	XM_047177935	na	9196	-0.002276540268212557	-0.29781404	No	
row_13	XM_047177481	na	9566	-0.043435774743556976	-0.317866	No	
row_14	XM_047175579	na	9635	-0.049152083694934845	-0.3182918	No	
row_15	XM_047175906	na	9776	-0.06112903729081154	-0.322352	No	
row_16	XM_047184640	na	9992	-0.08142568916082382	-0.32957652	No	
row_17	XM_047184182	na	10079	-0.08819887042045593	-0.32804635	No	
row_18	XM_047179440	na	10124	-0.0918751060962677	-0.32354894	No	
row_19	XM_047167146	na	10326	-0.10953769832849503	-0.3276481	No	
row_20	XM_047184658	na	10590	-0.12926647067070007	-0.33412877	Yes	
row_21	XM_047168406	na	10601	-0.13012610375881195	-0.3244265	Yes	
row_22	XM_047179666	na	10615	-0.13163036108016968	-0.31479576	Yes	
row_23	XM_047175291	na	10725	-0.14058983325958252	-0.31056783	Yes	
row_24	XM_047178136	na	10737	-0.14203083515167236	-0.29998332	Yes	
row_25	XM_047179436	na	10820	-0.14999960362911224	-0.293288	Yes	
row_26	XM_047174487	na	10834	-0.1512424796819687	-0.28209898	Yes	
row_27	XM_047170520	na	11808	-0.26603803038597107	-0.3229353	Yes	
row_28	XM_047179667	na	11882	-0.27699896693229675	-0.30557594	Yes	
row_29	XM_047174056	na	11940	-0.28484663367271423	-0.2865739	Yes	
row_30	XM_047162914	na	11963	-0.2893909215927124	-0.26498148	Yes	
row_31	XM_047164443	na	12112	-0.31002768874168396	-0.24977484	Yes	
row_32	XM_047186124	na	12597	-0.3407037854194641	-0.25353208	Yes	
row_33	XM_047169554	na	13269	-0.42205309867858887	-0.26273653	Yes	
row_34	XM_047174486	na	13310	-0.4300183057785034	-0.23111701	Yes	
row_35	XM_047176840	na	13377	-0.43670153617858887	-0.20062251	Yes	
row_36	XM_047168988	na	13404	-0.4394429922103882	-0.16736242	Yes	
row_37	XM_047168455	na	13562	-0.4688512980937958	-0.14010964	Yes	
row_38	XM_047174368	na	13848	-0.5219640731811523	-0.11678962	Yes	
row_39	XM_047175502	na	13870	-0.5261334180831909	-0.07632303	Yes	
row_40	XM_047172945	na	14025	-0.5562798380851746	-0.04193249	Yes	
row_41	XM_047179155	na	14278	-0.610496461391449	-0.009476176	Yes	
row_42	XM_047181318	na	14303	-0.6151070594787598	0.037868764	Yes	
row_43	XM_047174864	na	14643	-0.6769524812698364	0.07006397	Yes	
