NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173595	na	10	2.3423051834106445	0.10592835	Yes	
row_1	XM_047185585	na	210	1.3236171007156372	0.1534645	Yes	
row_2	XM_047165468	na	354	1.1847448348999023	0.19825165	Yes	
row_3	XM_047178362	na	799	0.9729215502738953	0.21421747	Yes	
row_4	XM_047181843	na	1019	0.8834266662597656	0.24045199	Yes	
row_5	XM_047172974	na	1088	0.8547223806381226	0.27500454	Yes	
row_6	XM_047183308	na	1191	0.8290696740150452	0.306223	Yes	
row_7	XM_047174422	na	1602	0.7083734273910522	0.3123199	Yes	
row_8	XM_047165368	na	1721	0.6812999248504639	0.33579567	Yes	
row_9	XM_047168969	na	1937	0.6423040628433228	0.351315	Yes	
row_10	XM_047177295	na	2012	0.6333237886428833	0.37541234	Yes	
row_11	XM_047171313	na	2362	0.5761104822158813	0.37937966	Yes	
row_12	XM_047168675	na	2419	0.5634123086929321	0.40144354	Yes	
row_13	XM_047164708	na	2473	0.5536950826644897	0.42325655	Yes	
row_14	XM_047175288	na	2726	0.5020893216133118	0.43003848	Yes	
row_15	XM_047185584	na	2858	0.48088181018829346	0.44356743	Yes	
row_16	XM_047184504	na	3027	0.456121563911438	0.45361173	Yes	
row_17	XM_047178534	na	3566	0.38817355036735535	0.43698275	No	
row_18	XM_047163145	na	3682	0.3741837739944458	0.44667712	No	
row_19	XM_047170315	na	4052	0.35890209674835205	0.4394876	No	
row_20	XM_047180841	na	5089	0.24743875861167908	0.38471577	No	
row_21	XM_047184297	na	5278	0.21874220669269562	0.3826855	No	
row_22	XM_047179713	na	5319	0.21289674937725067	0.3898221	No	
row_23	XM_047177275	na	5669	0.17082718014717102	0.3753506	No	
row_24	XM_047166355	na	5811	0.15308356285095215	0.3733287	No	
row_25	XM_047171306	na	6023	0.11965429782867432	0.36532444	No	
row_26	XM_047164980	na	6048	0.11530710011720657	0.36904082	No	
row_27	XM_047168078	na	6391	0.0658188983798027	0.350238	No	
row_28	XM_047171314	na	6393	0.06553900986909866	0.35315603	No	
row_29	XM_047168674	na	6796	0.03464018553495407	0.3291106	No	
row_30	XM_047185586	na	6837	0.032464105635881424	0.3280382	No	
row_31	XM_047165144	na	6948	0.020878028124570847	0.32197723	No	
row_32	XM_047163146	na	7215	0.0	0.30502376	No	
row_33	XM_047168123	na	7539	0.0	0.2844374	No	
row_34	XM_047168124	na	7540	0.0	0.2844374	No	
row_35	XM_047172975	na	7906	0.0	0.26117417	No	
row_36	XM_047173563	na	7951	0.0	0.25836983	No	
row_37	XM_047181845	na	8527	0.0	0.22172229	No	
row_38	XM_047167719	na	9581	-0.04503362998366356	0.15665832	No	
row_39	XM_047165856	na	9769	-0.060728684067726135	0.14750282	No	
row_40	XM_047169852	na	10256	-0.10343533754348755	0.12123358	No	
row_41	XM_047175042	na	10299	-0.1065177321434021	0.12340286	No	
row_42	XM_047171340	na	10692	-0.13717132806777954	0.10465955	No	
row_43	XM_047170524	na	10972	-0.16515743732452393	0.09439153	No	
row_44	XM_047184959	na	11440	-0.21836738288402557	0.074562214	No	
row_45	XM_047176504	na	11672	-0.24683287739753723	0.07106939	No	
row_46	XM_047174322	na	11788	-0.26306772232055664	0.07570843	No	
row_47	XM_047168672	na	12307	-0.3396642208099365	0.05814716	No	
row_48	XM_047173926	na	13292	-0.4263664484024048	0.014830051	No	
row_49	XM_047165421	na	13573	-0.47136953473091125	0.018429754	No	
row_50	XM_047167614	na	13843	-0.5216972231864929	0.025020253	No	
row_51	XM_047178111	na	14514	-0.6373288035392761	0.011313852	No	
row_52	XM_047170663	na	14567	-0.6544004082679749	0.03777229	No	
row_53	XM_047168680	na	15086	-0.8158093690872192	0.041873757	No	
