NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166807	na	994	0.8937017917633057	0.0016502828	No	
row_1	XM_047165676	na	2553	0.540320873260498	-0.05825176	No	
row_2	XM_047169521	na	3934	0.36106404662132263	-0.11984494	No	
row_3	XM_047173940	na	6218	0.09065636992454529	-0.25853658	No	
row_4	XM_047170145	na	6975	0.017269963398575783	-0.30538929	No	
row_5	XM_047171584	na	7809	0.0	-0.358396	No	
row_6	XM_047179811	na	8363	0.0	-0.3935853	No	
row_7	XM_047179814	na	8364	0.0	-0.3935853	No	
row_8	XM_047176835	na	9415	-0.0294661708176136	-0.45826057	No	
row_9	XM_047165489	na	10521	-0.12376981228590012	-0.5195872	No	
row_10	XM_047173943	na	10571	-0.12795768678188324	-0.5134128	No	
row_11	XM_047179048	na	10703	-0.13819529116153717	-0.5117128	No	
row_12	XM_047179813	na	12569	-0.3407037854194641	-0.6056468	Yes	
row_13	XM_047176727	na	12825	-0.35870105028152466	-0.59582394	Yes	
row_14	XM_047169832	na	12846	-0.3630530834197998	-0.57073116	Yes	
row_15	XM_047166090	na	12913	-0.3734799921512604	-0.5478083	Yes	
row_16	XM_047177589	na	13240	-0.416374146938324	-0.5383151	Yes	
row_17	XM_047185471	na	13276	-0.4233141839504242	-0.50980055	Yes	
row_18	XM_047184100	na	13278	-0.42386773228645325	-0.4790823	Yes	
row_19	XM_047171056	na	13674	-0.48989853262901306	-0.46864033	Yes	
row_20	XM_047177911	na	13866	-0.5254526138305664	-0.44263518	Yes	
row_21	XM_047175252	na	14693	-0.687554657459259	-0.44526517	Yes	
row_22	XM_047180159	na	14928	-0.7601927518844604	-0.40494907	Yes	
row_23	XM_047170072	na	15172	-0.8501285314559937	-0.3586744	Yes	
row_24	XM_047184126	na	15374	-0.9584403038024902	-0.30186138	Yes	
row_25	XM_047171111	na	15405	-0.9777064919471741	-0.23276787	Yes	
row_26	XM_047171255	na	15450	-1.0053240060806274	-0.16255961	Yes	
row_27	XM_047163360	na	15512	-1.0409512519836426	-0.09084582	Yes	
row_28	XM_047175075	na	15695	-1.4524832963943481	0.0030543911	Yes	
