NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047179623	na	321	1.2163031101226807	0.0628341	Yes	
row_1	XM_047166158	na	560	1.0714410543441772	0.121032886	Yes	
row_2	XM_047170997	na	628	1.0450291633605957	0.18830301	Yes	
row_3	XM_047170840	na	664	1.0305321216583252	0.25661668	Yes	
row_4	XM_047184300	na	722	1.0019007921218872	0.32157087	Yes	
row_5	XM_047164713	na	731	1.0004663467407227	0.3895443	Yes	
row_6	XM_047167927	na	792	0.9743242263793945	0.45242003	Yes	
row_7	XM_047174286	na	1227	0.8183803558349609	0.48082688	Yes	
row_8	XM_047179139	na	1275	0.8032387495040894	0.5328188	Yes	
row_9	XM_047163221	na	1578	0.7130168676376343	0.5624115	Yes	
row_10	XM_047177295	na	2012	0.6333237886428833	0.57821476	Yes	
row_11	XM_047173900	na	2472	0.5537967085838318	0.58692026	Yes	
row_12	XM_047165567	na	3427	0.4076395332813263	0.55412865	No	
row_13	XM_047183891	na	4433	0.337933212518692	0.5133209	No	
row_14	XM_047174645	na	4868	0.27653127908706665	0.50463796	No	
row_15	XM_047168409	na	5038	0.2538716495037079	0.5112636	No	
row_16	XM_047165566	na	6401	0.06493580341339111	0.42905623	No	
row_17	XM_047163173	na	7052	0.010450854897499084	0.38841772	No	
row_18	XM_047174583	na	8014	0.0	0.32727763	No	
row_19	XM_047178704	na	9271	-0.010861088521778584	0.24811271	No	
row_20	XM_047178181	na	10098	-0.09010637551546097	0.20172931	No	
row_21	XM_047167092	na	10475	-0.12072145938873291	0.18607114	No	
row_22	XM_047164159	na	12648	-0.34401941299438477	0.07143393	No	
row_23	XM_047177843	na	13307	-0.42947477102279663	0.058968857	No	
row_24	XM_047167246	na	14669	-0.6817008852958679	0.019042997	No	
row_25	XM_047174582	na	14807	-0.7191009521484375	0.059549686	No	
