NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047171315	na	150	1.3839572668075562	0.11723882	Yes	
row_1	XM_047164731	na	888	0.9435172080993652	0.15677366	Yes	
row_2	XM_047183803	na	1151	0.8386546969413757	0.21692985	Yes	
row_3	XM_047164356	na	1817	0.6582203507423401	0.23491052	Yes	
row_4	XM_047171316	na	2257	0.5947763323783875	0.26146117	Yes	
row_5	XM_047173100	na	2821	0.48709383606910706	0.27025595	Yes	
row_6	XM_047165045	na	2938	0.4689292907714844	0.30583265	Yes	
row_7	XM_047167700	na	2985	0.4619855582714081	0.34522787	Yes	
row_8	XM_047169383	na	2986	0.4619617164134979	0.3875482	Yes	
row_9	XM_047173682	na	3238	0.423968642950058	0.410415	Yes	
row_10	XM_047175872	na	3497	0.39670249819755554	0.43033847	Yes	
row_11	XM_047168042	na	3598	0.3838696777820587	0.45914105	Yes	
row_12	XM_047182718	na	3674	0.37567076086997986	0.48878345	Yes	
row_13	XM_047176228	na	4998	0.2597884237766266	0.42839026	No	
row_14	XM_047184660	na	6140	0.10007356107234955	0.36494762	No	
row_15	XM_047164581	na	6427	0.06242375448346138	0.35246593	No	
row_16	XM_047183804	na	6755	0.03703790903091431	0.3350495	No	
row_17	XM_047166623	na	7444	0.0	0.2912669	No	
row_18	XM_047175669	na	8075	0.0	0.25117525	No	
row_19	XM_047180320	na	8404	0.0	0.23030214	No	
row_20	XM_047170388	na	9513	-0.03791360557079315	0.16326503	No	
row_21	XM_047166243	na	9889	-0.07094363868236542	0.14590012	No	
row_22	XM_047185803	na	10724	-0.1405506283044815	0.10570229	No	
row_23	XM_047178713	na	11032	-0.17039969563484192	0.1017759	No	
row_24	XM_047166805	na	11603	-0.2377927005290985	0.08728672	No	
row_25	XM_047164714	na	11664	-0.2459123134613037	0.10599652	No	
row_26	XM_047168700	na	12134	-0.31392401456832886	0.10490913	No	
row_27	XM_047174778	na	12238	-0.33111894130706787	0.12868829	No	
row_28	XM_047186201	na	13044	-0.3995792865753174	0.11406559	No	
row_29	XM_047174779	na	14452	-0.6290618777275085	0.08215601	No	
