NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047171315	na	150	1.3839572668075562	0.019951394	Yes	
row_1	XM_047169441	na	175	1.353009819984436	0.04729644	Yes	
row_2	XM_047165468	na	354	1.1847448348999023	0.061205942	Yes	
row_3	XM_047168033	na	373	1.1685711145401	0.08499779	Yes	
row_4	XM_047163063	na	456	1.114280104637146	0.1035398	Yes	
row_5	XM_047170997	na	628	1.0450291633605957	0.11491461	Yes	
row_6	XM_047171588	na	643	1.0412051677703857	0.1362436	Yes	
row_7	XM_047170840	na	664	1.0305321216583252	0.15696123	Yes	
row_8	XM_047163762	na	712	1.0043411254882812	0.17539395	Yes	
row_9	XM_047164713	na	731	1.0004663467407227	0.1955977	Yes	
row_10	XM_047167520	na	772	0.9821061491966248	0.21400326	Yes	
row_11	XM_047169161	na	996	0.8930296897888184	0.21880978	Yes	
row_12	XM_047169162	na	1116	0.8470858931541443	0.22928357	Yes	
row_13	XM_047179374	na	1149	0.8391056060791016	0.24514827	Yes	
row_14	XM_047183803	na	1151	0.8386546969413757	0.26298493	Yes	
row_15	XM_047176389	na	1174	0.8329957127571106	0.27935842	Yes	
row_16	XM_047167446	na	1180	0.8315055966377258	0.29678681	Yes	
row_17	XM_047165012	na	1303	0.7918837666511536	0.30589056	Yes	
row_18	XM_047170673	na	1497	0.7325780987739563	0.30919	Yes	
row_19	XM_047164207	na	1756	0.6729899644851685	0.30706263	Yes	
row_20	XM_047183938	na	1891	0.6467955112457275	0.3123025	Yes	
row_21	XM_047185206	na	1896	0.6451180577278137	0.32581648	Yes	
row_22	XM_047166508	na	2015	0.6327968239784241	0.3317803	Yes	
row_23	XM_047171639	na	2059	0.6268508434295654	0.3424114	Yes	
row_24	XM_047163648	na	2235	0.598179817199707	0.3439928	Yes	
row_25	XM_047169747	na	2239	0.5976852178573608	0.35655826	Yes	
row_26	XM_047178843	na	2242	0.5970036387443542	0.3691731	Yes	
