NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047164549	na	29	1.7322211265563965	0.12523834	Yes	
row_1	XM_047184235	na	431	1.1320074796676636	0.18277678	Yes	
row_2	XM_047164371	na	557	1.0730741024017334	0.25355	Yes	
row_3	XM_047164272	na	908	0.9344945549964905	0.2998425	Yes	
row_4	XM_047177929	na	1211	0.8251103162765503	0.34116375	Yes	
row_5	XM_047185748	na	1357	0.7741134762763977	0.38873157	Yes	
row_6	XM_047171467	na	1709	0.6831790804862976	0.41652286	Yes	
row_7	XM_047164207	na	1756	0.6729899644851685	0.46296993	Yes	
row_8	XM_047164969	na	2093	0.6226085424423218	0.4872718	Yes	
row_9	XM_047186085	na	2234	0.5981982350349426	0.5222518	Yes	
row_10	XM_047185526	na	2471	0.5539218187332153	0.5478762	Yes	
row_11	XM_047180210	na	2923	0.47099730372428894	0.5537392	Yes	
row_12	XM_047164691	na	2984	0.46246567368507385	0.5838506	Yes	
row_13	XM_047184717	na	3402	0.4096105694770813	0.587373	Yes	
row_14	XM_047186086	na	3642	0.3793303668498993	0.5999978	Yes	
row_15	XM_047171415	na	4843	0.2796650528907776	0.54417455	No	
row_16	XM_047172217	na	5960	0.12926815450191498	0.48266134	No	
row_17	XM_047165023	na	7352	0.0	0.3941697	No	
row_18	XM_047165025	na	7353	0.0	0.3941697	No	
row_19	XM_047185833	na	8806	0.0	0.30179742	No	
row_20	XM_047164253	na	9971	-0.07900522649288177	0.23354307	No	
row_21	XM_047170356	na	10607	-0.13065572082996368	0.20273156	No	
row_22	XM_047172416	na	13552	-0.4677567780017853	0.04975896	No	
row_23	XM_047164548	na	13988	-0.5495015978813171	0.062399257	No	
row_24	XM_047177187	na	14620	-0.6704281568527222	0.07144227	No	
