NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047184394	na	336	1.2040306329727173	0.07008748	Yes	
row_1	XM_047165468	na	354	1.1847448348999023	0.15901528	Yes	
row_2	XM_047179335	na	932	0.9247933030128479	0.19254741	Yes	
row_3	XM_047181843	na	1019	0.8834266662597656	0.2541907	Yes	
row_4	XM_047186370	na	1669	0.6933868527412415	0.2655589	Yes	
row_5	XM_047184483	na	1741	0.6767828464508057	0.31245744	Yes	
row_6	XM_047168969	na	1937	0.6423040628433228	0.34884343	Yes	
row_7	XM_047168675	na	2419	0.5634123086929321	0.36103073	Yes	
row_8	XM_047170861	na	2421	0.5633128881454468	0.40376425	Yes	
row_9	XM_047168359	na	2885	0.47704267501831055	0.41053548	Yes	
row_10	XM_047182814	na	3391	0.4114146828651428	0.4096472	Yes	
row_11	XM_047182798	na	3672	0.37582647800445557	0.42037722	Yes	
row_12	XM_047184482	na	3688	0.37293416261672974	0.44775575	Yes	
row_13	XM_047176398	na	3721	0.3679081201553345	0.47367033	Yes	
row_14	XM_047181743	na	4060	0.3574846386909485	0.47931492	Yes	
row_15	XM_047181453	na	5232	0.22350025177001953	0.42175665	No	
row_16	XM_047174296	na	5536	0.1870090216398239	0.41667742	No	
row_17	XM_047176014	na	5869	0.14452575147151947	0.4065246	No	
row_18	XM_047168674	na	6796	0.03464018553495407	0.350213	No	
row_19	XM_047181845	na	8527	0.0	0.24009207	No	
row_20	XM_047182792	na	8600	0.0	0.235509	No	
row_21	XM_047182806	na	8603	0.0	0.2353817	No	
row_22	XM_047180485	na	9622	-0.0482368990778923	0.17424695	No	
row_23	XM_047186205	na	9757	-0.05950090289115906	0.17023788	No	
row_24	XM_047165856	na	9769	-0.060728684067726135	0.1741515	No	
row_25	XM_047179400	na	10189	-0.09731833636760712	0.15487425	No	
row_26	XM_047181741	na	11428	-0.21811768412590027	0.09264224	No	
row_27	XM_047178245	na	11669	-0.24669981002807617	0.096108146	No	
row_28	XM_047168672	na	12307	-0.3396642208099365	0.081366405	No	
row_29	XM_047172405	na	12318	-0.3396642208099365	0.10653555	No	
row_30	XM_047176268	na	12638	-0.34334927797317505	0.112315655	No	
row_31	XM_047164159	na	12648	-0.34401941299438477	0.13787933	No	
row_32	XM_047181742	na	12716	-0.34401941299438477	0.1597511	No	
row_33	XM_047165150	na	13342	-0.4325820207595825	0.15283255	No	
