NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173469	na	1799	0.6610473394393921	-0.011682635	No	
row_1	XM_047163600	na	5602	0.17789609730243683	-0.22576602	No	
row_2	XM_047176488	na	8128	0.0	-0.38629752	No	
row_3	XM_047166646	na	11089	-0.1777793914079666	-0.5468673	Yes	
row_4	XM_047167181	na	11245	-0.19603480398654938	-0.52626824	Yes	
row_5	XM_047168425	na	11476	-0.22304613888263702	-0.5062412	Yes	
row_6	XM_047166325	na	11994	-0.2934623062610626	-0.49352178	Yes	
row_7	XM_047165373	na	12622	-0.3409583568572998	-0.48041743	Yes	
row_8	XM_047176909	na	12800	-0.3521874248981476	-0.43695906	Yes	
row_9	XM_047177863	na	13035	-0.3977043628692627	-0.39005366	Yes	
row_10	XM_047177589	na	13240	-0.416374146938324	-0.3383406	Yes	
row_11	XM_047168307	na	13904	-0.5323138236999512	-0.2977984	Yes	
row_12	XM_047185394	na	14982	-0.7753337025642395	-0.24582446	Yes	
row_13	XM_047170552	na	15245	-0.8877162337303162	-0.124577045	Yes	
row_14	XM_047171255	na	15450	-1.0053240060806274	0.018627895	Yes	
