NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047163874	na	756	0.9906342029571533	-0.012522732	Yes	
row_1	XM_047181843	na	1019	0.8834266662597656	0.0026121535	Yes	
row_2	XM_047172974	na	1088	0.8547223806381226	0.029091606	Yes	
row_3	XM_047172861	na	1154	0.8381215333938599	0.055163916	Yes	
row_4	XM_047168911	na	1306	0.7908002138137817	0.07404212	Yes	
row_5	XM_047165942	na	1396	0.7606135606765747	0.09578824	Yes	
row_6	XM_047175884	na	1416	0.7540532350540161	0.12176467	Yes	
row_7	XM_047171483	na	1418	0.7530083656311035	0.14885204	Yes	
row_8	XM_047175247	na	1450	0.7447722554206848	0.17372806	Yes	
row_9	XM_047168410	na	1455	0.7431480884552002	0.20026846	Yes	
row_10	XM_047164209	na	1468	0.7403861880302429	0.22619878	Yes	
row_11	XM_047170673	na	1497	0.7325780987739563	0.25082657	Yes	
row_12	XM_047170486	na	1502	0.7312476634979248	0.27693787	Yes	
row_13	XM_047181842	na	1519	0.7266964316368103	0.30211934	Yes	
row_14	XM_047172366	na	1591	0.7107915878295898	0.32321763	Yes	
row_15	XM_047172452	na	1607	0.7070707082748413	0.34775528	Yes	
row_16	XM_047185093	na	1658	0.6960546374320984	0.36966226	Yes	
row_17	XM_047184110	na	2100	0.6213268041610718	0.36392426	Yes	
row_18	XM_047174994	na	2110	0.618293046951294	0.38564372	Yes	
row_19	XM_047171313	na	2362	0.5761104822158813	0.39039963	Yes	
row_20	XM_047185526	na	2471	0.5539218187332153	0.40348065	Yes	
row_21	XM_047180264	na	2521	0.5454758405685425	0.42002207	Yes	
row_22	XM_047164250	na	2685	0.5115059018135071	0.42806402	Yes	
row_23	XM_047164244	na	3116	0.44315817952156067	0.41660374	No	
row_24	XM_047165899	na	3529	0.3930579125881195	0.4044856	No	
row_25	XM_047165900	na	3772	0.3616258203983307	0.40208218	No	
row_26	XM_047164210	na	4070	0.3557063937187195	0.39595565	No	
row_27	XM_047184112	na	4164	0.3544747233390808	0.4028024	No	
row_28	XM_047172367	na	4286	0.34460484981536865	0.40750656	No	
row_29	XM_047167929	na	4710	0.295769065618515	0.39117855	No	
row_30	XM_047163611	na	4822	0.2830240726470947	0.39430037	No	
row_31	XM_047163971	na	4990	0.2608962953090668	0.39305088	No	
row_32	XM_047184297	na	5278	0.21874220669269562	0.38262397	No	
row_33	XM_047180517	na	5371	0.20866301655769348	0.384277	No	
row_34	XM_047185465	na	5469	0.1965838074684143	0.38517544	No	
row_35	XM_047174659	na	5476	0.19551095366477966	0.3918421	No	
row_36	XM_047185467	na	5526	0.1883610188961029	0.395507	No	
row_37	XM_047172037	na	5914	0.13615162670612335	0.37572092	No	
row_38	XM_047165623	na	6073	0.1096295639872551	0.3695915	No	
row_39	XM_047168078	na	6391	0.0658188983798027	0.3517363	No	
row_40	XM_047171314	na	6393	0.06553900986909866	0.35403562	No	
row_41	XM_047186267	na	6447	0.05967916548252106	0.35280544	No	
row_42	XM_047163970	na	6512	0.05229833722114563	0.35060716	No	
row_43	XM_047174567	na	6568	0.050709594041109085	0.34892595	No	
row_44	XM_047171481	na	7800	0.0	0.2703732	No	
row_45	XM_047171922	na	7837	0.0	0.26807597	No	
row_46	XM_047172975	na	7906	0.0	0.26373672	No	
row_47	XM_047175004	na	8033	0.0	0.25569642	No	
row_48	XM_047176526	na	8133	0.0	0.24937901	No	
row_49	XM_047176542	na	8137	0.0	0.24918757	No	
row_50	XM_047181449	na	8507	0.0	0.2256409	No	
row_51	XM_047181845	na	8527	0.0	0.22442846	No	
row_52	XM_047185466	na	8780	0.0	0.2083478	No	
row_53	XM_047186132	na	8823	0.0	0.20566769	No	
row_54	XM_047166906	na	9367	-0.023896967992186546	0.17187935	No	
row_55	XM_047165404	na	9456	-0.033643804490566254	0.16747698	No	
row_56	XM_047167719	na	9581	-0.04503362998366356	0.16118805	No	
row_57	XM_047164253	na	9971	-0.07900522649288177	0.13921382	No	
row_58	XM_047166132	na	10062	-0.08695328235626221	0.136606	No	
row_59	XM_047184679	na	10110	-0.09090179949998856	0.13688447	No	
row_60	XM_047183307	na	10292	-0.10597585886716843	0.12915564	No	
row_61	XM_047170356	na	10607	-0.13065572082996368	0.11382967	No	
row_62	XM_047186287	na	10800	-0.14877863228321075	0.106942244	No	
row_63	XM_047169065	na	10954	-0.16318045556545258	0.10306277	No	
row_64	XM_047186453	na	11121	-0.18150216341018677	0.09901437	No	
row_65	XM_047176123	na	13033	-0.39723390340805054	-0.008607577	No	
row_66	XM_047165381	na	13215	-0.4116123914718628	-0.005316088	No	
row_67	XM_047164994	na	14344	-0.6181595921516418	-0.05500723	No	
row_68	XM_047165100	na	14545	-0.6471357941627502	-0.044435922	No	
row_69	XM_047164995	na	14558	-0.6523693203926086	-0.021679223	No	
row_70	XM_047178869	na	15032	-0.7956275343894958	-0.023174467	No	
row_71	XM_047174879	na	15261	-0.8973144292831421	-0.005369218	No	
row_72	XM_047180107	na	15436	-1.0001658201217651	0.019590393	No	
