NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176648	na	385	1.1604290008544922	0.025007013	No	
row_1	XM_047174843	na	1170	0.8344003558158875	0.010670089	No	
row_2	XM_047172053	na	1772	0.6698052287101746	9.6763065E-4	No	
row_3	XM_047181666	na	1863	0.6500146389007568	0.022982573	No	
row_4	XM_047178105	na	2156	0.6101865172386169	0.030425219	No	
row_5	XM_047181665	na	2165	0.609480082988739	0.055934947	No	
row_6	XM_047178155	na	2349	0.5789008140563965	0.068987735	No	
row_7	XM_047180754	na	2592	0.5308972597122192	0.076231554	No	
row_8	XM_047180651	na	2839	0.48282214999198914	0.08116809	No	
row_9	XM_047174819	na	3041	0.45378580689430237	0.087732546	No	
row_10	XM_047168042	na	3598	0.3838696777820587	0.06869064	No	
row_11	XM_047165000	na	3729	0.36671820282936096	0.07606238	No	
row_12	XM_047185406	na	3736	0.3656761646270752	0.09129124	No	
row_13	XM_047174185	na	4461	0.33369266986846924	0.059401803	No	
row_14	XM_047174184	na	4728	0.29187843203544617	0.054912247	No	
row_15	XM_047171755	na	4775	0.2877280116081238	0.06426449	No	
row_16	XM_047179241	na	4993	0.26064202189445496	0.061563823	No	
row_17	XM_047172753	na	5216	0.22598229348659515	0.05706487	No	
row_18	XM_047169866	na	5779	0.15841896831989288	0.02801584	No	
row_19	XM_047184660	na	6140	0.10007356107234955	0.009347949	No	
row_20	XM_047171754	na	6698	0.04166816174983978	-0.024366712	No	
row_21	XM_047174903	na	7071	0.009043822064995766	-0.047685456	No	
row_22	XM_047170653	na	7735	0.0	-0.08993359	No	
row_23	XM_047172924	na	7903	0.0	-0.100575276	No	
row_24	XM_047175669	na	8075	0.0	-0.111471854	No	
row_25	XM_047173935	na	9522	-0.03885053098201752	-0.20195627	No	
row_26	XM_047164745	na	10332	-0.10999270528554916	-0.24881218	No	
row_27	XM_047180766	na	10367	-0.11307696253061295	-0.24615134	No	
row_28	XM_047167093	na	10600	-0.13005676865577698	-0.25538272	No	
row_29	XM_047176319	na	11595	-0.23673121631145477	-0.30861667	No	
row_30	XM_047164714	na	11664	-0.2459123134613037	-0.3024515	No	
row_31	XM_047163719	na	11886	-0.277503103017807	-0.30468723	No	
row_32	XM_047178707	na	11915	-0.2818554639816284	-0.2944387	No	
row_33	XM_047174778	na	12238	-0.33111894130706787	-0.30082148	No	
row_34	XM_047167962	na	12405	-0.3397531807422638	-0.29689494	No	
row_35	XM_047183127	na	12786	-0.34999898076057434	-0.30616763	No	
row_36	XM_047180809	na	13107	-0.4045869708061218	-0.30928653	Yes	
row_37	XM_047170545	na	13169	-0.4068199098110199	-0.29580596	Yes	
row_38	XM_047169287	na	13324	-0.43202242255210876	-0.28717563	Yes	
row_39	XM_047166148	na	13824	-0.5170692801475525	-0.29689887	Yes	
row_40	XM_047179258	na	14266	-0.6068054437637329	-0.29909524	Yes	
row_41	XM_047174779	na	14452	-0.6290618777275085	-0.28402847	Yes	
row_42	XM_047186304	na	14581	-0.6598685383796692	-0.2640143	Yes	
row_43	XM_047173322	na	14942	-0.7627872824668884	-0.2543901	Yes	
row_44	XM_047183475	na	14974	-0.7740067839622498	-0.22332212	Yes	
row_45	XM_047165034	na	15145	-0.8396637439727783	-0.19830862	Yes	
row_46	XM_047175990	na	15214	-0.8694707751274109	-0.1655229	Yes	
row_47	XM_047172908	na	15243	-0.8873522877693176	-0.1294249	Yes	
row_48	XM_047185536	na	15412	-0.9813530445098877	-0.098235056	Yes	
row_49	XM_047185479	na	15573	-1.0917201042175293	-0.06182371	Yes	
row_50	XM_047172801	na	15725	-1.7004133462905884	0.001147056	Yes	
