NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185970	na	1679	0.6911721229553223	-0.05752035	No	
row_1	XM_047176346	na	2237	0.5980259776115417	-0.05028335	No	
row_2	XM_047185716	na	2734	0.5008571743965149	-0.046099845	No	
row_3	XM_047172233	na	2797	0.49141576886177063	-0.014969796	No	
row_4	XM_047168992	na	2859	0.48082202672958374	0.015467744	No	
row_5	XM_047185987	na	3081	0.4472424387931824	0.033325817	No	
row_6	XM_047172234	na	3226	0.42519596219062805	0.054510683	No	
row_7	XM_047166298	na	3479	0.39991047978401184	0.06701745	No	
row_8	XM_047174666	na	4476	0.33054032921791077	0.02722345	No	
row_9	XM_047179354	na	4679	0.3001776337623596	0.035793655	No	
row_10	XM_047182610	na	5004	0.2591345012187958	0.033670053	No	
row_11	XM_047172785	na	5149	0.23754702508449554	0.04146108	No	
row_12	XM_047166297	na	5516	0.18984073400497437	0.031718545	No	
row_13	XM_047186449	na	6244	0.08618278056383133	-0.008397402	No	
row_14	XM_047174667	na	6672	0.04352448135614395	-0.032465704	No	
row_15	XM_047182521	na	8570	0.0	-0.15319376	No	
row_16	XM_047182522	na	8571	0.0	-0.15319376	No	
row_17	XM_047178587	na	9273	-0.011092367582023144	-0.19701476	No	
row_18	XM_047171872	na	9440	-0.03230978921055794	-0.20527309	No	
row_19	XM_047178973	na	11254	-0.1976502388715744	-0.30654755	No	
row_20	XM_047170419	na	11487	-0.22367465496063232	-0.30534714	No	
row_21	XM_047166342	na	12194	-0.32467928528785706	-0.32710344	No	
row_22	XM_047185614	na	12940	-0.379345566034317	-0.34743983	No	
row_23	XM_047177522	na	14162	-0.5850518345832825	-0.3833869	Yes	
row_24	XM_047177497	na	14993	-0.7801277041435242	-0.38052616	Yes	
row_25	XM_047164551	na	15021	-0.7915193438529968	-0.32574815	Yes	
row_26	XM_047183560	na	15071	-0.813631534576416	-0.27079192	Yes	
row_27	XM_047177484	na	15163	-0.8450343608856201	-0.21626723	Yes	
row_28	XM_047182740	na	15342	-0.9383131265640259	-0.16062136	Yes	
row_29	XM_047185689	na	15462	-1.0111315250396729	-0.09602309	Yes	
row_30	XM_047186073	na	15717	-1.5949482917785645	0.0016547123	Yes	
