NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047172970	na	675	1.0253692865371704	-0.0051461663	No	
row_1	XM_047166807	na	994	0.8937017917633057	0.007604098	No	
row_2	XM_047172619	na	1107	0.8492406010627747	0.031845756	No	
row_3	XM_047166977	na	1232	0.8161824345588684	0.054100677	No	
row_4	XM_047168463	na	1293	0.7965185642242432	0.07970954	No	
row_5	XM_047173705	na	1538	0.7230018377304077	0.09086997	No	
row_6	XM_047173469	na	1799	0.6610473394393921	0.0987208	No	
row_7	XM_047171485	na	2711	0.5046341419219971	0.059284292	No	
row_8	XM_047173100	na	2821	0.48709383606910706	0.07033452	No	
row_9	XM_047169884	na	3936	0.36106404662132263	0.012649418	No	
row_10	XM_047173680	na	4717	0.2954030930995941	-0.026166517	No	
row_11	XM_047180085	na	4854	0.27799081802368164	-0.02456495	No	
row_12	XM_047164341	na	5031	0.2551085650920868	-0.026359338	No	
row_13	XM_047168533	na	5155	0.23654134571552277	-0.025460616	No	
row_14	XM_047176499	na	5262	0.22037188708782196	-0.024075508	No	
row_15	XM_047176500	na	5573	0.1826143115758896	-0.037092578	No	
row_16	XM_047163600	na	5602	0.17789609730243683	-0.032303892	No	
row_17	XM_047186070	na	5626	0.17653323709964752	-0.027246775	No	
row_18	XM_047183268	na	6396	0.06518491357564926	-0.0738688	No	
row_19	XM_047185535	na	6707	0.04093421250581741	-0.0921215	No	
row_20	XM_047168184	na	7547	0.0	-0.1456155	No	
row_21	XM_047169508	na	7633	0.0	-0.15103504	No	
row_22	XM_047176488	na	8128	0.0	-0.1825321	No	
row_23	XM_047170606	na	9350	-0.02098933234810829	-0.2596065	No	
row_24	XM_047173254	na	9407	-0.02848156914114952	-0.2621245	No	
row_25	XM_047174021	na	9701	-0.05521208792924881	-0.27876568	No	
row_26	XM_047184934	na	10303	-0.10695173591375351	-0.3131327	No	
row_27	XM_047165043	na	10630	-0.13284558057785034	-0.3290091	No	
row_28	XM_047179048	na	10703	-0.13819529116153717	-0.32849288	No	
row_29	XM_047166646	na	11089	-0.1777793914079666	-0.34647056	No	
row_30	XM_047167181	na	11245	-0.19603480398654938	-0.34910902	No	
row_31	XM_047167009	na	11510	-0.22516335546970367	-0.3576208	No	
row_32	XM_047166325	na	11994	-0.2934623062610626	-0.37757197	No	
row_33	XM_047176798	na	12018	-0.2973451316356659	-0.3680504	No	
row_34	XM_047177032	na	12325	-0.3396642208099365	-0.37500882	No	
row_35	XM_047169832	na	12846	-0.3630530834197998	-0.39474744	Yes	
row_36	XM_047175281	na	12877	-0.36851072311401367	-0.38304234	Yes	
row_37	XM_047167062	na	12987	-0.3887569010257721	-0.37562603	Yes	
row_38	XM_047168762	na	13024	-0.39520353078842163	-0.36331707	Yes	
row_39	XM_047184138	na	13207	-0.4104289710521698	-0.35975432	Yes	
row_40	XM_047180083	na	13662	-0.4876132905483246	-0.37068185	Yes	
row_41	XM_047168146	na	13668	-0.48917949199676514	-0.3529236	Yes	
row_42	XM_047167669	na	13748	-0.5021223425865173	-0.33940524	Yes	
row_43	XM_047177911	na	13866	-0.5254526138305664	-0.32744756	Yes	
row_44	XM_047168307	na	13904	-0.5323138236999512	-0.31013563	Yes	
row_45	XM_047167010	na	14057	-0.5619913339614868	-0.2990593	Yes	
row_46	XM_047167115	na	14115	-0.5761512517929077	-0.2814026	Yes	
row_47	XM_047171289	na	14265	-0.6065812706947327	-0.26848722	Yes	
row_48	XM_047176800	na	14284	-0.6121358871459961	-0.2470141	Yes	
row_49	XM_047174332	na	14596	-0.663845956325531	-0.24231158	Yes	
row_50	XM_047175252	na	14693	-0.687554657459259	-0.22302468	Yes	
row_51	XM_047181667	na	14701	-0.6920356750488281	-0.19789763	Yes	
row_52	XM_047173815	na	14862	-0.7355135083198547	-0.18091907	Yes	
row_53	XM_047180159	na	14928	-0.7601927518844604	-0.15697138	Yes	
row_54	XM_047170072	na	15172	-0.8501285314559937	-0.14104937	Yes	
row_55	XM_047176135	na	15183	-0.8544751405715942	-0.110110834	Yes	
row_56	XM_047170552	na	15245	-0.8877162337303162	-0.08119563	Yes	
row_57	XM_047184126	na	15374	-0.9584403038024902	-0.053938773	Yes	
row_58	XM_047177031	na	15501	-1.0312024354934692	-0.023865556	Yes	
row_59	XM_047164925	na	15545	-1.0616381168365479	0.012624395	Yes	
