NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166525	na	144	1.3882609605789185	0.13768017	Yes	
row_1	XM_047181274	na	282	1.2474974393844604	0.2609167	Yes	
row_2	XM_047174800	na	710	1.0047378540039062	0.34003055	Yes	
row_3	XM_047173244	na	1126	0.84400475025177	0.4029066	Yes	
row_4	XM_047162922	na	2140	0.6129562854766846	0.40330827	Yes	
row_5	XM_047178573	na	2300	0.5869316458702087	0.45527604	Yes	
row_6	XM_047171865	na	3202	0.42921140789985657	0.4433664	Yes	
row_7	XM_047178572	na	3305	0.4193231165409088	0.4812314	Yes	
row_8	XM_047170255	na	3474	0.4002213180065155	0.512878	Yes	
row_9	XM_047181479	na	3855	0.3616258203983307	0.5269579	Yes	
row_10	XM_047181387	na	4254	0.3449997305870056	0.53813446	Yes	
row_11	XM_047184770	na	4518	0.3246557116508484	0.55574584	Yes	
row_12	XM_047182229	na	5161	0.23510220646858215	0.5397786	No	
row_13	XM_047167264	na	6103	0.10518399626016617	0.49105167	No	
row_14	XM_047185648	na	6261	0.08366822451353073	0.48991543	No	
row_15	XM_047167503	na	6375	0.06769538670778275	0.48988834	No	
row_16	XM_047163417	na	7239	0.0	0.4349971	No	
row_17	XM_047173243	na	7918	0.0	0.39187282	No	
row_18	XM_047178661	na	8277	0.0	0.36910218	No	
row_19	XM_047173017	na	9703	-0.055364977568387985	0.28432092	No	
row_20	XM_047173321	na	11320	-0.20602072775363922	0.20332627	No	
row_21	XM_047173547	na	14866	-0.7368271350860596	0.055781804	No	
