NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047177625	na	1229	0.8171461224555969	-0.052691843	No	
row_1	XM_047176244	na	1330	0.7844180464744568	-0.03433085	No	
row_2	XM_047175884	na	1416	0.7540532350540161	-0.015970035	No	
row_3	XM_047174497	na	1552	0.718489944934845	-0.0019235692	No	
row_4	XM_047172452	na	1607	0.7070707082748413	0.01693441	No	
row_5	XM_047169140	na	1696	0.6864060163497925	0.032969624	No	
row_6	XM_047164356	na	1817	0.6582203507423401	0.04607251	No	
row_7	XM_047183968	na	2006	0.6340512037277222	0.054071218	No	
row_8	XM_047185706	na	2009	0.6340512037277222	0.073945805	No	
row_9	XM_047166464	na	2437	0.5601977109909058	0.06435481	No	
row_10	XM_047183966	na	2534	0.5434699058532715	0.07537005	No	
row_11	XM_047172479	na	2699	0.508040726184845	0.080925904	No	
row_12	XM_047184530	na	2997	0.4603572487831116	0.076485604	No	
row_13	XM_047175570	na	3138	0.439515620470047	0.081412084	No	
row_14	XM_047167296	na	3327	0.41577577590942383	0.082524896	No	
row_15	XM_047166992	na	3567	0.3881675601005554	0.07951047	No	
row_16	XM_047178876	na	3625	0.38082385063171387	0.087884866	No	
row_17	XM_047183969	na	3867	0.3616258203983307	0.083905436	No	
row_18	XM_047185786	na	4211	0.3513529598712921	0.07308936	No	
row_19	XM_047173028	na	4287	0.34460484981536865	0.07917187	No	
row_20	XM_047184667	na	4451	0.33567124605178833	0.07935387	No	
row_21	XM_047169378	na	4481	0.33000579476356506	0.08791288	No	
row_22	XM_047184572	na	4601	0.31095045804977417	0.09012436	No	
row_23	XM_047184892	na	5143	0.2386736273765564	0.06311155	No	
row_24	XM_047169649	na	5380	0.20841188728809357	0.054617956	No	
row_25	XM_047176246	na	5394	0.2062070518732071	0.060293093	No	
row_26	XM_047174659	na	5476	0.19551095366477966	0.061289083	No	
row_27	XM_047165534	na	5532	0.187925785779953	0.063705854	No	
row_28	XM_047172196	na	5552	0.18513411283493042	0.06833312	No	
row_29	XM_047167707	na	5750	0.1617683619260788	0.060858175	No	
row_30	XM_047164581	na	6427	0.06242375448346138	0.019665651	No	
row_31	XM_047181871	na	6435	0.06084832549095154	0.021138279	No	
row_32	XM_047185651	na	6490	0.05423027276992798	0.019401236	No	
row_33	XM_047166727	na	6548	0.05163295567035675	0.017390708	No	
row_34	XM_047184410	na	6787	0.034843456000089645	0.0032938907	No	
row_35	XM_047163087	na	7206	0.0	-0.02339491	No	
row_36	XM_047166623	na	7444	0.0	-0.038527075	No	
row_37	XM_047169136	na	7607	0.0	-0.048870582	No	
row_38	XM_047169137	na	7608	0.0	-0.048870582	No	
row_39	XM_047169139	na	7609	0.0	-0.048870582	No	
row_40	XM_047175571	na	8066	0.0	-0.07798564	No	
row_41	XM_047176558	na	8139	0.0	-0.08258275	No	
row_42	XM_047183449	na	8646	0.0	-0.11489025	No	
row_43	XM_047185709	na	8798	0.0	-0.12453142	No	
row_44	XM_047164562	na	9295	-0.01383959036320448	-0.15576383	No	
row_45	XM_047165706	na	9354	-0.021415814757347107	-0.15879147	No	
row_46	XM_047165491	na	9523	-0.038922324776649475	-0.16829018	No	
row_47	XM_047176762	na	9875	-0.07021581381559372	-0.18848604	No	
row_48	XM_047184010	na	9951	-0.07788322120904922	-0.19081773	No	
row_49	XM_047165256	na	10023	-0.08388648927211761	-0.19270465	No	
row_50	XM_047164073	na	10226	-0.10051808506250381	-0.20243108	No	
row_51	XM_047172647	na	10406	-0.11565771698951721	-0.21021138	No	
row_52	XM_047177436	na	10589	-0.12926647067070007	-0.21775392	No	
row_53	XM_047185707	na	10591	-0.12926647067070007	-0.21373983	No	
row_54	XM_047164002	na	10680	-0.13632912933826447	-0.21505778	No	
row_55	XM_047176843	na	11246	-0.19608385860919952	-0.24494654	No	
row_56	XM_047183448	na	11339	-0.20811200141906738	-0.24425536	No	
row_57	XM_047179815	na	12334	-0.3396642208099365	-0.29700574	Yes	
row_58	XM_047167478	na	12402	-0.3397531807422638	-0.2905655	Yes	
row_59	XM_047174537	na	12432	-0.3397531807422638	-0.281699	Yes	
row_60	XM_047171096	na	12801	-0.352659672498703	-0.29407007	Yes	
row_61	XM_047164357	na	12934	-0.37756526470184326	-0.29058713	Yes	
row_62	XM_047167762	na	13023	-0.39515143632888794	-0.28374007	Yes	
row_63	XM_047165253	na	13039	-0.3984273672103882	-0.2721287	Yes	
row_64	XM_047166414	na	13411	-0.4410032033920288	-0.28190437	Yes	
row_65	XM_047165026	na	13422	-0.44355547428131104	-0.2685501	Yes	
row_66	XM_047173256	na	13425	-0.4444202780723572	-0.25465778	Yes	
row_67	XM_047171913	na	13749	-0.5021311044692993	-0.2594403	Yes	
row_68	XM_047172822	na	13893	-0.5304654240608215	-0.2518362	Yes	
row_69	XM_047174521	na	14031	-0.5577236413955688	-0.2429891	Yes	
row_70	XM_047177112	na	14183	-0.5880904197692871	-0.2340779	Yes	
row_71	XM_047168639	na	14490	-0.6343501806259155	-0.23360391	Yes	
row_72	XM_047170760	na	14580	-0.659408688545227	-0.21848422	Yes	
row_73	XM_047171041	na	14880	-0.7434069514274597	-0.21412292	Yes	
row_74	XM_047176877	na	15159	-0.8433599472045898	-0.20526758	Yes	
row_75	XM_047177228	na	15171	-0.8483741283416748	-0.17920643	Yes	
row_76	XM_047169385	na	15227	-0.8751245141029358	-0.15511075	Yes	
row_77	XM_047172304	na	15322	-0.9234884977340698	-0.13197944	Yes	
row_78	XM_047172434	na	15504	-1.034359097480774	-0.11090536	Yes	
row_79	XM_047177626	na	15621	-1.198858380317688	-0.08049168	Yes	
row_80	XM_047173711	na	15655	-1.2805156707763672	-0.042202525	Yes	
row_81	XM_047172435	na	15706	-1.5138572454452515	0.0023623786	Yes	
