NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185585	na	210	1.3236171007156372	0.017321683	No	
row_1	XM_047176730	na	841	0.9602681994438171	-6.4981444E-4	No	
row_2	XM_047185414	na	899	0.9383030533790588	0.017502917	No	
row_3	XM_047170557	na	1017	0.8835151195526123	0.03054684	No	
row_4	XM_047184483	na	1741	0.6767828464508057	4.3998363E-5	No	
row_5	XM_047172879	na	1859	0.6500146389007568	0.0076636514	No	
row_6	XM_047178220	na	2201	0.6038228869438171	-1.11076435E-4	No	
row_7	XM_047182424	na	2331	0.5809706449508667	0.0051374533	No	
row_8	XM_047169962	na	2581	0.5328812599182129	0.0015967122	No	
row_9	XM_047182645	na	2744	0.49935275316238403	0.0028394	No	
row_10	XM_047185584	na	2858	0.48088181018829346	0.006785795	No	
row_11	XM_047185442	na	3000	0.4598996937274933	0.008454604	No	
row_12	XM_047173955	na	3021	0.4571671783924103	0.017796014	No	
row_13	XM_047169036	na	3073	0.44907644391059875	0.024967505	No	
row_14	XM_047173591	na	3197	0.4299953877925873	0.027092451	No	
row_15	XM_047177130	na	3389	0.41163426637649536	0.024443315	No	
row_16	XM_047184043	na	3544	0.3914651870727539	0.023691228	No	
row_17	XM_047182810	na	3619	0.38123929500579834	0.02781635	No	
row_18	XM_047184482	na	3688	0.37293416261672974	0.03213215	No	
row_19	XM_047175566	na	4243	0.34613150358200073	0.004753135	No	
row_20	XM_047182786	na	4247	0.34573978185653687	0.012592947	No	
row_21	XM_047176802	na	4302	0.34460484981536865	0.017145734	No	
row_22	XM_047184042	na	4495	0.3275240361690521	0.012478764	No	
row_23	XM_047178339	na	4611	0.30927470326423645	0.012310818	No	
row_24	XM_047185838	na	4688	0.2984709143638611	0.014385343	No	
row_25	XM_047173171	na	4972	0.2632123529911041	0.002406355	No	
row_26	XM_047163561	na	5181	0.23094713687896729	-0.005527071	No	
row_27	XM_047172294	na	5327	0.21192213892936707	-0.009874577	No	
row_28	XM_047163262	na	5437	0.19990357756614685	-0.012199634	No	
row_29	XM_047163432	na	5461	0.19694854319095612	-0.0090949675	No	
row_30	XM_047185615	na	5522	0.18897277116775513	-0.0085411575	No	
row_31	XM_047176772	na	5879	0.1421341449022293	-0.02800004	No	
row_32	XM_047165623	na	6073	0.1096295639872551	-0.037792686	No	
row_33	XM_047176801	na	6102	0.10544700920581818	-0.03713329	No	
row_34	XM_047163081	na	6349	0.07175047695636749	-0.051194407	No	
row_35	XM_047179382	na	6374	0.06777603924274445	-0.051154383	No	
row_36	XM_047168394	na	6524	0.05218254029750824	-0.059468415	No	
row_37	XM_047171104	na	6702	0.04121580719947815	-0.06982737	No	
row_38	XM_047185586	na	6837	0.032464105635881424	-0.07764045	No	
row_39	XM_047176652	na	6852	0.03093850053846836	-0.07781683	No	
row_40	XM_047179057	na	6928	0.024147318676114082	-0.08205097	No	
row_41	XM_047166405	na	7427	0.0	-0.113890365	No	
row_42	XM_047167083	na	7466	0.0	-0.11631988	No	
row_43	XM_047170884	na	7753	0.0	-0.13460515	No	
row_44	XM_047171584	na	7809	0.0	-0.13812155	No	
row_45	XM_047173671	na	7959	0.0	-0.1476478	No	
row_46	XM_047177866	na	8230	0.0	-0.16491012	No	
row_47	XM_047177914	na	8235	0.0	-0.16516586	No	
row_48	XM_047178335	na	8261	0.0	-0.16676423	No	
row_49	XM_047182425	na	8564	0.0	-0.18607245	No	
row_50	XM_047164968	na	9269	-0.010719791986048222	-0.23083334	No	
row_51	XM_047173592	na	9280	-0.012217165902256966	-0.23118888	No	
row_52	XM_047173254	na	9407	-0.02848156914114952	-0.238583	No	
row_53	XM_047184930	na	9479	-0.03514073044061661	-0.24230601	No	
row_54	XM_047175598	na	9690	-0.054395612329244614	-0.25446865	No	
row_55	XM_047177376	na	9978	-0.08000505715608597	-0.27095932	No	
row_56	XM_047183307	na	10292	-0.10597585886716843	-0.28850898	No	
row_57	XM_047175810	na	10821	-0.15011578798294067	-0.3187792	No	
row_58	XM_047164249	na	10832	-0.15094958245754242	-0.31591195	No	
row_59	XM_047178256	na	11206	-0.19152957201004028	-0.33531025	No	
row_60	XM_047165802	na	11474	-0.2228870689868927	-0.34720305	No	
row_61	XM_047168425	na	11476	-0.22304613888263702	-0.34208557	No	
row_62	XM_047175551	na	11590	-0.23640340566635132	-0.34381846	No	
row_63	XM_047176319	na	11595	-0.23673121631145477	-0.3385749	No	
row_64	XM_047171393	na	11874	-0.2757861912250519	-0.3499421	No	
row_65	XM_047185700	na	12005	-0.2955504357814789	-0.3513879	No	
row_66	XM_047177865	na	12560	-0.3407037854194641	-0.378893	No	
row_67	XM_047169210	na	12628	-0.3414994776248932	-0.37524348	No	
row_68	XM_047173607	na	12889	-0.3698900043964386	-0.38327384	Yes	
row_69	XM_047166090	na	12913	-0.3734799921512604	-0.3760683	Yes	
row_70	XM_047165192	na	12927	-0.3762735426425934	-0.36815852	Yes	
row_71	XM_047163258	na	13119	-0.40477606654167175	-0.37096697	Yes	
row_72	XM_047165381	na	13215	-0.4116123914718628	-0.3674789	Yes	
row_73	XM_047184317	na	13233	-0.4152132570743561	-0.35892028	Yes	
row_74	XM_047162985	na	13397	-0.4386722147464752	-0.35915115	Yes	
row_75	XM_047174894	na	13509	-0.45764532685279846	-0.3556167	Yes	
row_76	XM_047171056	na	13674	-0.48989853262901306	-0.3547215	Yes	
row_77	XM_047181647	na	13690	-0.49136507511138916	-0.34426597	Yes	
row_78	XM_047179669	na	13691	-0.49179142713546753	-0.33284155	Yes	
row_79	XM_047182473	na	13831	-0.5202144980430603	-0.32964376	Yes	
row_80	XM_047168307	na	13904	-0.5323138236999512	-0.32188126	Yes	
row_81	XM_047178294	na	13978	-0.5479239821434021	-0.31382006	Yes	
row_82	XM_047173463	na	14092	-0.5687509775161743	-0.30783245	Yes	
row_83	XM_047162907	na	14133	-0.5788403749465942	-0.29694325	Yes	
row_84	XM_047180903	na	14219	-0.5958170890808105	-0.2885367	Yes	
row_85	XM_047167468	na	14509	-0.6363031268119812	-0.2922323	Yes	
row_86	XM_047165100	na	14545	-0.6471357941627502	-0.27943692	Yes	
row_87	XM_047185267	na	14834	-0.7248179912567139	-0.28101236	Yes	
row_88	XM_047181245	na	14855	-0.7326728105545044	-0.2652709	Yes	
row_89	XM_047175108	na	14930	-0.7608335018157959	-0.2523277	Yes	
row_90	XM_047185394	na	14982	-0.7753337025642395	-0.23757719	Yes	
row_91	XM_047175058	na	15001	-0.7818297147750854	-0.22056592	Yes	
row_92	XM_047178869	na	15032	-0.7956275343894958	-0.20400134	Yes	
row_93	XM_047168827	na	15087	-0.815909206867218	-0.18850003	Yes	
row_94	XM_047170286	na	15091	-0.8175854682922363	-0.16969913	Yes	
row_95	XM_047169397	na	15194	-0.8596698045730591	-0.15625013	Yes	
