NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047175343	na	384	1.1607187986373901	0.06249932	Yes	
row_1	XM_047168305	na	499	1.0940725803375244	0.13718706	Yes	
row_2	XM_047185445	na	609	1.0530081987380981	0.20911738	Yes	
row_3	XM_047168323	na	773	0.9805608987808228	0.27218574	Yes	
row_4	XM_047173968	na	992	0.8957679867744446	0.32540384	Yes	
row_5	XM_047182699	na	1101	0.8504787683486938	0.38222918	Yes	
row_6	XM_047175779	na	1168	0.8349009156227112	0.44056025	Yes	
row_7	XM_047166180	na	1958	0.6395156979560852	0.4382537	Yes	
row_8	XM_047185447	na	1961	0.6388270854949951	0.48597193	Yes	
row_9	XM_047178610	na	2840	0.4827573001384735	0.46626183	Yes	
row_10	XM_047163313	na	2974	0.4637659788131714	0.49253327	Yes	
row_11	XM_047163057	na	3439	0.405917227268219	0.4934107	Yes	
row_12	XM_047186093	na	4711	0.29574793577194214	0.434688	No	
row_13	XM_047164450	na	6245	0.08604397624731064	0.34358844	No	
row_14	XM_047175458	na	6554	0.05102385953068733	0.32781208	No	
row_15	XM_047164656	na	6584	0.049933139234781265	0.32970658	No	
row_16	XM_047185018	na	6818	0.032745543867349625	0.31733343	No	
row_17	XM_047163190	na	7219	0.0	0.29188168	No	
row_18	XM_047168314	na	7554	0.0	0.27062944	No	
row_19	XM_047172867	na	9330	-0.01873360015451908	0.1590903	No	
row_20	XM_047185126	na	9818	-0.06506343185901642	0.13297574	No	
row_21	XM_047166107	na	10510	-0.12261275202035904	0.09819101	No	
row_22	XM_047178713	na	11032	-0.17039969563484192	0.07780231	No	
row_23	XM_047170487	na	12006	-0.29559755325317383	0.03802991	No	
row_24	XM_047172868	na	13103	-0.4045869708061218	-0.001406052	No	
row_25	XM_047180809	na	13107	-0.4045869708061218	0.028704943	No	
row_26	XM_047173322	na	14942	-0.7627872824668884	-0.030861815	No	
row_27	XM_047185479	na	15573	-1.0917201042175293	0.010816951	No	
