NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176920	na	2	2.8450276851654053	0.3056323	Yes	
row_1	XM_047167938	na	1265	0.8077936768531799	0.31216723	Yes	
row_2	XM_047168073	na	1376	0.7661807537078857	0.38751242	Yes	
row_3	XM_047176468	na	1767	0.6705328822135925	0.43476644	Yes	
row_4	XM_047176923	na	2114	0.6170204281806946	0.47906843	Yes	
row_5	XM_047168578	na	3588	0.3857223391532898	0.4268203	Yes	
row_6	XM_047176913	na	3827	0.3616258203983307	0.45054483	Yes	
row_7	XM_047168427	na	4273	0.34460484981536865	0.45927218	Yes	
row_8	XM_047168429	na	4274	0.34460484981536865	0.49630737	Yes	
row_9	XM_047168116	na	4442	0.33700641989707947	0.52190256	Yes	
row_10	XM_047168129	na	4457	0.33436858654022217	0.5569471	Yes	
row_11	XM_047168072	na	6092	0.10676127672195435	0.46447688	No	
row_12	XM_047176487	na	7143	0.0031734101939946413	0.39802402	No	
row_13	XM_047168071	na	7536	0.0	0.37308764	No	
row_14	XM_047168115	na	7538	0.0	0.37302405	No	
row_15	XM_047168428	na	7563	0.0	0.3714973	No	
row_16	XM_047168623	na	7570	0.0	0.37111562	No	
row_17	XM_047176921	na	8164	0.0	0.33339298	No	
row_18	XM_047176384	na	9843	-0.067434161901474	0.23389724	No	
row_19	XM_047176386	na	10057	-0.08663182705640793	0.22965808	No	
row_20	XM_047186227	na	11125	-0.18186220526695251	0.18132778	No	
row_21	XM_047168128	na	12034	-0.2991468608379364	0.15571673	No	
row_22	XM_047165182	na	12511	-0.3407037854194641	0.1620528	No	
row_23	XM_047168622	na	13097	-0.4045869708061218	0.16832064	No	
