NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176920	na	2	2.8450276851654053	0.18899731	Yes	
row_1	XM_047181274	na	282	1.2474974393844604	0.25416705	Yes	
row_2	XM_047186310	na	604	1.0550554990768433	0.30387086	Yes	
row_3	XM_047184777	na	744	0.9964151382446289	0.3612607	Yes	
row_4	XM_047181061	na	1403	0.7575291991233826	0.36973637	Yes	
row_5	XM_047176923	na	2114	0.6170204281806946	0.36556184	Yes	
row_6	XM_047167980	na	2258	0.5947247743606567	0.39599454	Yes	
row_7	XM_047178573	na	2300	0.5869316458702087	0.43240148	Yes	
row_8	XM_047186312	na	2669	0.5144708752632141	0.44317812	Yes	
row_9	XM_047171119	na	2782	0.49412503838539124	0.46889654	Yes	
row_10	XM_047178572	na	3305	0.4193231165409088	0.46354613	Yes	
row_11	XM_047184522	na	3354	0.41484519839286804	0.48806798	Yes	
row_12	XM_047176913	na	3827	0.3616258203983307	0.4820646	Yes	
row_13	XM_047181479	na	3855	0.3616258203983307	0.5043853	Yes	
row_14	XM_047184839	na	4165	0.3544747233390808	0.50828147	Yes	
row_15	XM_047182773	na	4340	0.34460484981536865	0.5201142	Yes	
row_16	XM_047184767	na	4561	0.31830158829689026	0.5272705	Yes	
row_17	XM_047186351	na	5219	0.22572864592075348	0.5004581	No	
row_18	XM_047184840	na	5424	0.2020801454782486	0.50090694	No	
row_19	XM_047181198	na	5888	0.13990068435668945	0.4807371	No	
row_20	XM_047167264	na	6103	0.10518399626016617	0.47410822	No	
row_21	XM_047184519	na	6351	0.07163142412900925	0.4631485	No	
row_22	XM_047167503	na	6375	0.06769538670778275	0.46618465	No	
row_23	XM_047166932	na	6485	0.05477050319314003	0.46288773	No	
row_24	XM_047176921	na	8164	0.0	0.35608357	No	
row_25	XM_047186311	na	8835	0.0	0.3134383	No	
row_26	XM_047186313	na	8836	0.0	0.3134383	No	
row_27	XM_047173479	na	9553	-0.04212769493460655	0.2706656	No	
row_28	XM_047167965	na	11384	-0.21420811116695404	0.16842629	No	
row_29	XM_047180955	na	11913	-0.28169476985931396	0.15354505	No	
row_30	XM_047176247	na	12805	-0.3535842299461365	0.12033789	No	
row_31	XM_047167165	na	13073	-0.4045238494873047	0.13023435	No	
row_32	XM_047180956	na	14220	-0.5964099764823914	0.09693847	No	
