NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047175016	na	49	1.630523443222046	0.026632143	No	
row_1	XM_047167920	na	180	1.3485463857650757	0.04293009	No	
row_2	XM_047167956	na	699	1.011911392211914	0.028240366	No	
row_3	XM_047178510	na	860	0.9530426859855652	0.035396647	No	
row_4	XM_047167921	na	948	0.9175529479980469	0.04657877	No	
row_5	XM_047166807	na	994	0.8937017917633057	0.06001446	No	
row_6	XM_047170557	na	1017	0.8835151195526123	0.07473674	No	
row_7	XM_047178441	na	1135	0.8412660360336304	0.0826053	No	
row_8	XM_047174843	na	1170	0.8344003558158875	0.09566257	No	
row_9	XM_047164556	na	1621	0.703498125076294	0.07969565	No	
row_10	XM_047168163	na	2028	0.6301088333129883	0.06520591	No	
row_11	XM_047184217	na	2049	0.6281724572181702	0.0753943	No	
row_12	XM_047178155	na	2349	0.5789008140563965	0.06682026	No	
row_13	XM_047164708	na	2473	0.5536950826644897	0.06905434	No	
row_14	XM_047166118	na	2606	0.5277062058448792	0.07023771	No	
row_15	XM_047186157	na	2772	0.4952167868614197	0.068715096	No	
row_16	XM_047180651	na	2839	0.48282214999198914	0.07330462	No	
row_17	XM_047167144	na	2944	0.4686425030231476	0.07520232	No	
row_18	XM_047174819	na	3041	0.45378580689430237	0.077340975	No	
row_19	XM_047165405	na	3191	0.43149039149284363	0.075679265	No	
row_20	XM_047184659	na	3253	0.42104387283325195	0.07946099	No	
row_21	XM_047178509	na	3371	0.41330814361572266	0.079516105	No	
row_22	XM_047165567	na	3427	0.4076395332813263	0.08343725	No	
row_23	XM_047180061	na	3584	0.38593387603759766	0.08049562	No	
row_24	XM_047182810	na	3619	0.38123929500579834	0.08527927	No	
row_25	XM_047165000	na	3729	0.36671820282936096	0.08499597	No	
row_26	XM_047167955	na	3783	0.3616258203983307	0.08820506	No	
row_27	XM_047175658	na	4131	0.3544747233390808	0.07246037	No	
row_28	XM_047165718	na	4265	0.34460484981536865	0.070236735	No	
row_29	XM_047173028	na	4287	0.34460484981536865	0.07518385	No	
row_30	XM_047174185	na	4461	0.33369266986846924	0.07020001	No	
row_31	XM_047166117	na	4507	0.32646259665489197	0.07327931	No	
row_32	XM_047174184	na	4728	0.29187843203544617	0.064522885	No	
row_33	XM_047171475	na	4740	0.290910542011261	0.06912992	No	
row_34	XM_047178508	na	4799	0.28619667887687683	0.07064175	No	
row_35	XM_047179241	na	4993	0.26064202189445496	0.063043684	No	
row_36	XM_047177189	na	5022	0.25630900263786316	0.06593057	No	
row_37	XM_047164341	na	5031	0.2551085650920868	0.070076026	No	
row_38	XM_047180841	na	5089	0.24743875861167908	0.07094425	No	
row_39	XM_047163932	na	5481	0.19506968557834625	0.049472127	No	
row_40	XM_047171477	na	5696	0.16787904500961304	0.038835924	No	
row_41	XM_047173738	na	5733	0.1640489101409912	0.03952617	No	
row_42	XM_047176519	na	5807	0.15388517081737518	0.03766194	No	
row_43	XM_047166355	na	5811	0.15308356285095215	0.040264793	No	
row_44	XM_047178443	na	5995	0.12448957562446594	0.030821169	No	
row_45	XM_047164980	na	6048	0.11530710011720657	0.029597115	No	
row_46	XM_047173324	na	6051	0.11501564085483551	0.031568967	No	
row_47	XM_047179775	na	6083	0.10810349881649017	0.03155791	No	
row_48	XM_047182027	na	6193	0.09383165091276169	0.026292365	No	
row_49	XM_047175015	na	6222	0.08995911478996277	0.02614211	No	
row_50	XM_047165566	na	6401	0.06493580341339111	0.0159313	No	
row_51	XM_047174903	na	7071	0.009043822064995766	-0.026736028	No	
row_52	XM_047164331	na	7291	0.0	-0.040757414	No	
row_53	XM_047166887	na	7462	0.0	-0.05164159	No	
row_54	XM_047171664	na	7816	0.0	-0.07424227	No	
row_55	XM_047172924	na	7903	0.0	-0.079748385	No	
row_56	XM_047175064	na	8039	0.0	-0.08839171	No	
row_57	XM_047180062	na	8384	0.0	-0.11041616	No	
row_58	XM_047163795	na	9261	-0.00926159881055355	-0.1663326	No	
row_59	XM_047173935	na	9522	-0.03885053098201752	-0.18226968	No	
row_60	XM_047178290	na	9751	-0.05915825814008713	-0.1957872	No	
row_61	XM_047166244	na	10088	-0.089421346783638	-0.21566685	No	
row_62	XM_047186057	na	10171	-0.09573619067668915	-0.21916896	No	
row_63	XM_047167093	na	10600	-0.13005676865577698	-0.24419697	No	
row_64	XM_047169074	na	10608	-0.13072469830513	-0.24225843	No	
