NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047180165	na	203	1.330262303352356	0.01951027	No	
row_1	XM_047186051	na	349	1.1937631368637085	0.039393507	No	
row_2	XM_047185943	na	810	0.969218909740448	0.03366759	No	
row_3	XM_047166445	na	1006	0.8887758255004883	0.04290934	No	
row_4	XM_047166538	na	1054	0.8703927993774414	0.061158504	No	
row_5	XM_047179849	na	1193	0.8286503553390503	0.072574124	No	
row_6	XM_047168463	na	1293	0.7965185642242432	0.08569705	No	
row_7	XM_047173520	na	1717	0.6825047135353088	0.07533457	No	
row_8	XM_047170567	na	1967	0.6380043029785156	0.075003035	No	
row_9	XM_047165732	na	2083	0.6239252090454102	0.08288949	No	
row_10	XM_047166759	na	2482	0.5520484447479248	0.070939034	No	
row_11	XM_047175879	na	2706	0.5051008462905884	0.06902367	No	
row_12	XM_047167903	na	2968	0.46427014470100403	0.06368339	No	
row_13	XM_047167899	na	3013	0.45861339569091797	0.07206991	No	
row_14	XM_047180967	na	3154	0.43660444021224976	0.07378526	No	
row_15	XM_047174649	na	3358	0.4145601689815521	0.07093706	No	
row_16	XM_047170743	na	3694	0.3720984160900116	0.05861811	No	
row_17	XM_047174908	na	4293	0.34460484981536865	0.028823819	No	
row_18	XM_047163508	na	4793	0.2867358922958374	0.00394203	No	
row_19	XM_047163578	na	4879	0.2750401496887207	0.0052266545	No	
row_20	XM_047175883	na	5042	0.2533321976661682	0.0010614273	No	
row_21	XM_047177291	na	5302	0.21568281948566437	-0.010220762	No	
row_22	XM_047169991	na	5446	0.1988205760717392	-0.014503006	No	
row_23	XM_047167656	na	5583	0.18063700199127197	-0.018781979	No	
row_24	XM_047177621	na	5611	0.17719928920269012	-0.016180476	No	
row_25	XM_047176847	na	5621	0.17657370865345	-0.012444163	No	
row_26	XM_047183205	na	5886	0.14005731046199799	-0.02589235	No	
row_27	XM_047172104	na	6248	0.08579652011394501	-0.046863098	No	
row_28	XM_047172906	na	6264	0.08328668028116226	-0.04578791	No	
row_29	XM_047183268	na	6396	0.06518491357564926	-0.05256638	No	
row_30	XM_047170267	na	6812	0.03383622318506241	-0.078256086	No	
row_31	XM_047167902	na	6900	0.025647059082984924	-0.08318862	No	
row_32	XM_047163594	na	7245	0.0	-0.10516805	No	
row_33	XM_047163595	na	7246	0.0	-0.10516805	No	
row_34	XM_047171933	na	7838	0.0	-0.14292921	No	
row_35	XM_047174214	na	7984	0.0	-0.1521938	No	
row_36	XM_047181896	na	8532	0.0	-0.18714364	No	
row_37	XM_047183760	na	8673	0.0	-0.19608876	No	
row_38	XM_047168421	na	9363	-0.023122349753975868	-0.23954694	No	
row_39	XM_047165009	na	9572	-0.044105466455221176	-0.25175992	No	
row_40	XM_047174021	na	9701	-0.05521208792924881	-0.2585902	No	
row_41	XM_047166257	na	9799	-0.06381120532751083	-0.26322982	No	
row_42	XM_047184182	na	10079	-0.08819887042045593	-0.27890262	No	
row_43	XM_047169702	na	10202	-0.09835860878229141	-0.28429607	No	
row_44	XM_047163785	na	10394	-0.1145775318145752	-0.29370216	No	
row_45	XM_047176354	na	10860	-0.1550058126449585	-0.31962797	No	
row_46	XM_047176079	na	10998	-0.16740576922893524	-0.3242939	No	
row_47	XM_047166181	na	11090	-0.17805440723896027	-0.32576072	No	
row_48	XM_047178641	na	11148	-0.18412524461746216	-0.32490692	No	
row_49	XM_047185480	na	11512	-0.22538353502750397	-0.3425972	Yes	
row_50	XM_047178252	na	11551	-0.23072999715805054	-0.33939147	Yes	
row_51	XM_047174436	na	11667	-0.24619191884994507	-0.34072804	Yes	
row_52	XM_047171526	na	11675	-0.24716463685035706	-0.33514035	Yes	
row_53	XM_047166791	na	11720	-0.2520867586135864	-0.33179653	Yes	
row_54	XM_047185960	na	11867	-0.27466368675231934	-0.3344186	Yes	
row_55	XM_047183206	na	12017	-0.29722490906715393	-0.3366815	Yes	
row_56	XM_047176761	na	12022	-0.2975383698940277	-0.32967216	Yes	
