NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047180165	na	203	1.330262303352356	0.018272296	No	
row_1	XM_047186051	na	349	1.1937631368637085	0.037045345	No	
row_2	XM_047185943	na	810	0.969218909740448	0.030411081	No	
row_3	XM_047166445	na	1006	0.8887758255004883	0.038824506	No	
row_4	XM_047166538	na	1054	0.8703927993774414	0.056265414	No	
row_5	XM_047179849	na	1193	0.8286503553390503	0.06690964	No	
row_6	XM_047168463	na	1293	0.7965185642242432	0.07929176	No	
row_7	XM_047173520	na	1717	0.6825047135353088	0.06828762	No	
row_8	XM_047170567	na	1967	0.6380043029785156	0.06735925	No	
row_9	XM_047165732	na	2083	0.6239252090454102	0.07466466	No	
row_10	XM_047166759	na	2482	0.5520484447479248	0.06219405	No	
row_11	XM_047175879	na	2706	0.5051008462905884	0.059805643	No	
row_12	XM_047167903	na	2968	0.46427014470100403	0.05402942	No	
row_13	XM_047167899	na	3013	0.45861339569091797	0.06198968	No	
row_14	XM_047180967	na	3154	0.43660444021224976	0.06329722	No	
row_15	XM_047174649	na	3358	0.4145601689815521	0.06006036	No	
row_16	XM_047170743	na	3694	0.3720984160900116	0.047389448	No	
row_17	XM_047174908	na	4293	0.34460484981536865	0.017263325	No	
row_18	XM_047163508	na	4793	0.2867358922958374	-0.007894602	No	
row_19	XM_047163578	na	4879	0.2750401496887207	-0.0068668146	No	
row_20	XM_047175883	na	5042	0.2533321976661682	-0.011270316	No	
row_21	XM_047177291	na	5302	0.21568281948566437	-0.022757841	No	
row_22	XM_047169991	na	5446	0.1988205760717392	-0.027227413	No	
row_23	XM_047167656	na	5583	0.18063700199127197	-0.031676702	No	
row_24	XM_047177621	na	5611	0.17719928920269012	-0.029240107	No	
row_25	XM_047176847	na	5621	0.17657370865345	-0.02566775	No	
row_26	XM_047181808	na	5808	0.15384194254875183	-0.03394214	No	
row_27	XM_047183205	na	5886	0.14005731046199799	-0.035573687	No	
row_28	XM_047172104	na	6248	0.08579652011394501	-0.056631383	No	
row_29	XM_047172906	na	6264	0.08328668028116226	-0.05563375	No	
row_30	XM_047183268	na	6396	0.06518491357564926	-0.062475353	No	
row_31	XM_047170267	na	6812	0.03383622318506241	-0.08820492	No	
row_32	XM_047167902	na	6900	0.025647059082984924	-0.09316301	No	
row_33	XM_047163594	na	7245	0.0	-0.11514947	No	
row_34	XM_047163595	na	7246	0.0	-0.11514947	No	
row_35	XM_047170235	na	7694	0.0	-0.14371906	No	
row_36	XM_047171933	na	7838	0.0	-0.15285878	No	
row_37	XM_047174214	na	7984	0.0	-0.16212633	No	
row_38	XM_047181896	na	8532	0.0	-0.19708735	No	
row_39	XM_047183760	na	8673	0.0	-0.20603532	No	
