NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047168271	na	18	1.954746961593628	0.022664202	Yes	
row_1	XM_047178732	na	22	1.8281916379928589	0.044750467	Yes	
row_2	XM_047172994	na	45	1.643429160118103	0.063363664	Yes	
row_3	XM_047184585	na	208	1.325211524963379	0.06909861	Yes	
row_4	XM_047171596	na	231	1.2921905517578125	0.08343146	Yes	
row_5	XM_047176534	na	253	1.2702947854995728	0.09756177	Yes	
row_6	XM_047178867	na	304	1.2304929494857788	0.10934269	Yes	
row_7	XM_047168033	na	373	1.1685711145401	0.11921181	Yes	
row_8	XM_047184131	na	441	1.1282392740249634	0.12865372	Yes	
row_9	XM_047178228	na	504	1.090505599975586	0.13795723	Yes	
row_10	XM_047184636	na	506	1.0903528928756714	0.15118046	Yes	
row_11	XM_047165843	na	721	1.0020960569381714	0.1496348	Yes	
row_12	XM_047176891	na	727	1.0014070272445679	0.16151693	Yes	
row_13	XM_047178362	na	799	0.9729215502738953	0.16880892	Yes	
row_14	XM_047166590	na	816	0.9679688811302185	0.1795764	Yes	
row_15	XM_047177787	na	842	0.9602084755897522	0.18967071	Yes	
row_16	XM_047171530	na	878	0.9481281638145447	0.19897494	Yes	
row_17	XM_047173240	na	900	0.9375628232955933	0.20905043	Yes	
row_18	XM_047166589	na	1069	0.862190842628479	0.20875707	Yes	
row_19	XM_047182785	na	1152	0.8385440707206726	0.2137043	Yes	
row_20	XM_047166172	na	1161	0.8361007571220398	0.22337909	Yes	
row_21	XM_047172130	na	1201	0.8266983032226562	0.23094636	Yes	
row_22	XM_047175492	na	1214	0.8236187696456909	0.24021187	Yes	
row_23	XM_047175052	na	1218	0.8223596811294556	0.25004065	Yes	
row_24	XM_047172870	na	1294	0.7958931922912598	0.25491813	Yes	
row_25	XM_047166211	na	1334	0.7822520136833191	0.26194376	Yes	
row_26	XM_047185748	na	1357	0.7741134762763977	0.26996312	Yes	
row_27	XM_047170596	na	1543	0.7221666574478149	0.26687047	Yes	
row_28	XM_047174627	na	1650	0.6977686285972595	0.26855925	Yes	
row_29	XM_047178752	na	1694	0.6868311166763306	0.2741649	Yes	
row_30	XM_047165368	na	1721	0.6812999248504639	0.280796	Yes	
row_31	XM_047175840	na	1730	0.6795633435249329	0.28856313	Yes	
row_32	XM_047185142	na	1732	0.6793707609176636	0.29677796	Yes	
row_33	XM_047184923	na	1845	0.6522122025489807	0.29752585	Yes	
row_34	XM_047180658	na	1874	0.6499664187431335	0.30364653	Yes	
row_35	XM_047180500	na	1911	0.6442350745201111	0.3091831	Yes	
row_36	XM_047186009	na	1950	0.6410697102546692	0.31455252	Yes	
row_37	XM_047185914	na	2126	0.6157032251358032	0.31080532	Yes	
