NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166387	na	96	1.449891209602356	0.01779407	No	
row_1	XM_047166878	na	132	1.4071165323257446	0.03879069	No	
row_2	XM_047166168	na	272	1.2540521621704102	0.050594818	No	
row_3	XM_047167314	na	454	1.1148359775543213	0.05740825	No	
row_4	XM_047180079	na	558	1.071970820426941	0.068512134	No	
row_5	XM_047184527	na	590	1.0596113204956055	0.08402579	No	
row_6	XM_047166105	na	689	1.0153255462646484	0.094514556	No	
row_7	XM_047166426	na	715	1.0040432214736938	0.10949496	No	
row_8	XM_047167185	na	950	0.9156132936477661	0.10962175	No	
row_9	XM_047163908	na	1076	0.8581992387771606	0.11578525	No	
row_10	XM_047185164	na	1342	0.7790660262107849	0.111670315	No	
row_11	XM_047166104	na	1405	0.7569000720977783	0.12019795	No	
row_12	XM_047163530	na	1469	0.7403623461723328	0.12838838	No	
row_13	XM_047184175	na	1590	0.7108336091041565	0.13243844	No	
row_14	XM_047166311	na	1726	0.680030107498169	0.13501853	No	
row_15	XM_047171730	na	1822	0.6567651033401489	0.13977766	No	
row_16	XM_047177977	na	1932	0.6438487768173218	0.14342633	No	
row_17	XM_047185613	na	2151	0.6116060614585876	0.13955754	No	
row_18	XM_047166388	na	2249	0.5962416529655457	0.14318891	No	
row_19	XM_047166134	na	2337	0.5801702737808228	0.14719568	No	
row_20	XM_047166464	na	2437	0.5601977109909058	0.15010361	No	
row_21	XM_047175040	na	2655	0.5166195034980774	0.14473014	No	
row_22	XM_047170837	na	2950	0.46737784147262573	0.13360909	No	
row_23	XM_047184530	na	2997	0.4603572487831116	0.13826443	No	
row_24	XM_047186233	na	3137	0.4395304322242737	0.13661619	No	
row_25	XM_047164537	na	3158	0.4360661208629608	0.14253646	No	
row_26	XM_047179245	na	3306	0.4193231165409088	0.14004181	No	
row_27	XM_047169879	na	3376	0.41292643547058105	0.14243992	No	
row_28	XM_047177449	na	3533	0.39250314235687256	0.13892558	No	
row_29	XM_047167186	na	3750	0.3626765310764313	0.13107371	No	
row_30	XM_047171901	na	3803	0.3616258203983307	0.13371395	No	
row_31	XM_047172807	na	3948	0.36106404662132263	0.13044935	No	
row_32	XM_047174915	na	3955	0.36106404662132263	0.13602808	No	
row_33	XM_047179079	na	4147	0.3544747233390808	0.12964281	No	
row_34	XM_047184572	na	4601	0.31095045804977417	0.10574922	No	
row_35	XM_047171996	na	4666	0.3013947904109955	0.106625706	No	
row_36	XM_047186234	na	4702	0.2965528964996338	0.10928061	No	
row_37	XM_047177450	na	4804	0.2856687903404236	0.10752634	No	
row_38	XM_047179078	na	4874	0.2762599289417267	0.107667305	No	
row_39	XM_047174917	na	4890	0.27409905195236206	0.111233	No	
row_40	XM_047185062	na	5390	0.20686650276184082	0.08267262	No	
row_41	XM_047165480	na	5537	0.18690691888332367	0.07640354	No	
row_42	XM_047170178	na	6016	0.12100401520729065	0.0477708	No	
row_43	XM_047170808	na	6032	0.11801742017269135	0.048758704	No	
row_44	XM_047172252	na	6159	0.09808272868394852	0.042304274	No	
