NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174921	na	2573	0.5348439812660217	-0.06219973	No	
row_1	XM_047169190	na	4582	0.31372249126434326	-0.13039368	No	
row_2	XM_047166149	na	4801	0.2858973741531372	-0.09005957	No	
row_3	XM_047181917	na	5279	0.21873456239700317	-0.07892304	No	
row_4	XM_047179343	na	5966	0.12869352102279663	-0.09814198	No	
row_5	XM_047169192	na	5990	0.12518922984600067	-0.07587375	No	
row_6	XM_047170907	na	6335	0.07319504022598267	-0.08386954	No	
row_7	XM_047162978	na	7197	0.0	-0.13860919	No	
row_8	XM_047162979	na	7198	0.0	-0.13860919	No	
row_9	XM_047175436	na	12639	-0.3433645963668823	-0.41937995	Yes	
row_10	XM_047175319	na	13502	-0.4563228487968445	-0.387684	Yes	
row_11	XM_047162976	na	14027	-0.5566229224205017	-0.31548643	Yes	
row_12	XM_047176455	na	14591	-0.6623938083648682	-0.22571877	Yes	
row_13	XM_047175107	na	14616	-0.6690139770507812	-0.1004283	Yes	
row_14	XM_047174707	na	15289	-0.9074621200561523	0.02886392	Yes	
