NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176850	na	4939	0.2685929536819458	-0.25645715	No	
row_1	XM_047172906	na	6264	0.08328668028116226	-0.32278535	No	
row_2	XM_047163223	na	6724	0.0401432141661644	-0.34336263	No	
row_3	XM_047176849	na	7154	0.0021889384370297194	-0.3701728	No	
row_4	XM_047174466	na	8004	0.0	-0.42415982	No	
row_5	XM_047183760	na	8673	0.0	-0.46663725	No	
row_6	XM_047184930	na	9479	-0.03514073044061661	-0.51028925	No	
row_7	XM_047186032	na	9946	-0.07745009660720825	-0.52330995	No	
row_8	XM_047166181	na	11090	-0.17805440723896027	-0.55780244	Yes	
row_9	XM_047176852	na	11843	-0.27146682143211365	-0.54739624	Yes	
row_10	XM_047169411	na	12289	-0.33894413709640503	-0.50299543	Yes	
row_11	XM_047169951	na	12883	-0.36926621198654175	-0.46150228	Yes	
row_12	XM_047185418	na	13050	-0.40012991428375244	-0.38623685	Yes	
row_13	XM_047174467	na	13104	-0.4045869708061218	-0.30282992	Yes	
row_14	XM_047170668	na	13414	-0.4412430226802826	-0.22783963	Yes	
row_15	XM_047171320	na	13835	-0.520733654499054	-0.14285831	Yes	
row_16	XM_047170382	na	14045	-0.5602810978889465	-0.035977464	Yes	
row_17	XM_047168537	na	14623	-0.6708589792251587	0.071219765	Yes	
