NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173661	na	3053	0.452706903219223	-0.12202664	No	
row_1	XM_047181674	na	3435	0.40688782930374146	-0.081451505	No	
row_2	XM_047173645	na	4288	0.34460484981536865	-0.080744065	No	
row_3	XM_047181676	na	4762	0.2888510823249817	-0.06481729	No	
row_4	XM_047165303	na	5260	0.22046644985675812	-0.061307494	No	
row_5	XM_047165302	na	6406	0.06457250565290451	-0.1238284	No	
row_6	XM_047181673	na	6596	0.049933139234781265	-0.1278936	No	
row_7	XM_047173652	na	7958	0.0	-0.21443267	No	
row_8	XM_047185417	na	9705	-0.055460017174482346	-0.3166194	No	
row_9	XM_047170282	na	12121	-0.3117072880268097	-0.42053446	Yes	
row_10	XM_047165304	na	12652	-0.34401941299438477	-0.3994459	Yes	
row_11	XM_047163981	na	13161	-0.4060269594192505	-0.36708316	Yes	
row_12	XM_047180313	na	13209	-0.4109104573726654	-0.30463004	Yes	
row_13	XM_047185751	na	13423	-0.443666934967041	-0.24751519	Yes	
row_14	XM_047179482	na	14610	-0.6671364903450012	-0.21667871	Yes	
row_15	XM_047176274	na	15164	-0.845299243927002	-0.11721876	Yes	
row_16	XM_047166558	na	15387	-0.9667880535125732	0.022636121	Yes	
