NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047170780	na	12	2.216639518737793	0.122561015	Yes	
row_1	XM_047179971	na	28	1.7561410665512085	0.2193105	Yes	
row_2	XM_047164053	na	602	1.0554574728012085	0.24152839	Yes	
row_3	XM_047179479	na	926	0.9290706515312195	0.2726412	Yes	
row_4	XM_047163664	na	974	0.9049856066703796	0.319997	Yes	
row_5	XM_047162834	na	991	0.8958175778388977	0.36881763	Yes	
row_6	XM_047180703	na	1966	0.6381490230560303	0.34227175	Yes	
row_7	XM_047170776	na	2281	0.5913280248641968	0.3551672	Yes	
row_8	XM_047164205	na	2481	0.5522128939628601	0.37321267	Yes	
row_9	XM_047171832	na	2568	0.5372061133384705	0.39762205	Yes	
row_10	XM_047169907	na	2969	0.46404939889907837	0.39795744	Yes	
row_11	XM_047173952	na	3195	0.4304470121860504	0.40757194	Yes	
row_12	XM_047165991	na	3753	0.36241573095321655	0.3922509	Yes	
row_13	XM_047165327	na	3917	0.36106404662132263	0.40195498	Yes	
row_14	XM_047165326	na	4088	0.3544747233390808	0.41084653	Yes	
row_15	XM_047169693	na	4102	0.3544747233390808	0.42973998	Yes	
row_16	XM_047170782	na	4109	0.3544747233390808	0.4490794	Yes	
row_17	XM_047170781	na	4919	0.27117952704429626	0.4126283	No	
row_18	XM_047180427	na	5585	0.18050138652324677	0.38030592	No	
row_19	XM_047163945	na	5640	0.1746574342250824	0.38658306	No	
row_20	XM_047179860	na	5925	0.13466937839984894	0.3759829	No	
row_21	XM_047180176	na	5965	0.12869855761528015	0.3806587	No	
row_22	XM_047170779	na	6079	0.1085311695933342	0.37949812	No	
row_23	XM_047171831	na	6086	0.10753631591796875	0.3850988	No	
row_24	XM_047171829	na	6471	0.05660557374358177	0.36378485	No	
row_25	XM_047169692	na	6620	0.04854520410299301	0.35705715	No	
row_26	XM_047169695	na	6908	0.024809813126921654	0.34015372	No	
row_27	XM_047180089	na	7078	0.009043822064995766	0.32989052	No	
row_28	XM_047165324	na	7372	0.0	0.31122452	No	
row_29	XM_047165990	na	7408	0.0	0.3089948	No	
row_30	XM_047165992	na	7409	0.0	0.3089948	No	
row_31	XM_047168339	na	7555	0.0	0.29975736	No	
row_32	XM_047170778	na	7744	0.0	0.28778055	No	
row_33	XM_047171830	na	7832	0.0	0.2822381	No	
row_34	XM_047180097	na	8386	0.0	0.24700843	No	
row_35	XM_047184578	na	8715	0.0	0.22611271	No	
row_36	XM_047164693	na	9521	-0.038804326206445694	0.17698795	No	
row_37	XM_047169920	na	9763	-0.05992616340517998	0.16496876	No	
row_38	XM_047168337	na	9831	-0.06622857600450516	0.16438514	No	
row_39	XM_047175839	na	10333	-0.11010200530290604	0.13859387	No	
row_40	XM_047180095	na	10361	-0.11266972124576569	0.14314231	No	
row_41	XM_047178322	na	12136	-0.3141113221645355	0.047603063	No	
row_42	XM_047170777	na	12666	-0.34401941299438477	0.0330423	No	
row_43	XM_047184005	na	13901	-0.5321924090385437	-0.015962267	No	
row_44	XM_047180096	na	14445	-0.6283248662948608	-0.015597234	No	
row_45	XM_047165762	na	15174	-0.8506112694740295	-0.014650711	No	
row_46	XM_047180630	na	15301	-0.9137220978736877	0.02815834	No	
