NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166118	na	1069	0.7493641972541809	0.0056490893	No	
row_1	XM_047170557	na	2650	0.4294496774673462	-0.052623753	No	
row_2	XM_047175064	na	2832	0.41252630949020386	-0.023603927	No	
row_3	XM_047172924	na	3389	0.3689509630203247	-0.022709513	No	
row_4	XM_047164980	na	4747	0.23211637139320374	-0.08618995	No	
row_5	XM_047166117	na	4959	0.20639385282993317	-0.079329185	No	
row_6	XM_047165717	na	9761	-0.009591377340257168	-0.38365808	No	
row_7	XM_047175065	na	11269	-0.18847954273223877	-0.46096337	No	
row_8	XM_047165718	na	13217	-0.39400115609169006	-0.54605454	Yes	
row_9	XM_047171477	na	13234	-0.39400115609169006	-0.5083632	Yes	
row_10	XM_047171475	na	14193	-0.5308593511581421	-0.5171232	Yes	
row_11	XM_047182737	na	14974	-0.7162153720855713	-0.4963548	Yes	
row_12	XM_047181940	na	15046	-0.7431036233901978	-0.427863	Yes	
row_13	XM_047175066	na	15348	-0.8954998850822449	-0.35902357	Yes	
row_14	XM_047172525	na	15491	-1.025687336921692	-0.2672839	Yes	
row_15	XM_047165034	na	15585	-1.1164798736572266	-0.16350858	Yes	
row_16	XM_047185536	na	15731	-1.765903353691101	7.6297874E-4	Yes	
