NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047169691	na	70	1.4110172986984253	0.07279055	Yes	
row_1	XM_047180005	na	96	1.336612582206726	0.14437523	Yes	
row_2	XM_047164581	na	216	1.159572720527649	0.2002769	Yes	
row_3	XM_047171924	na	266	1.1163088083267212	0.2582708	Yes	
row_4	XM_047185049	na	599	0.9362996220588684	0.28837472	Yes	
row_5	XM_047174623	na	885	0.8010401725769043	0.31406856	Yes	
row_6	XM_047184732	na	937	0.7856459021568298	0.35383162	Yes	
row_7	XM_047180313	na	1177	0.7177311182022095	0.3778958	Yes	
row_8	XM_047164499	na	1410	0.6658139824867249	0.39956367	Yes	
row_9	XM_047173675	na	1735	0.6139919757843018	0.4125315	Yes	
row_10	XM_047175882	na	1762	0.6054002046585083	0.4440195	Yes	
row_11	XM_047175906	na	1782	0.6023021936416626	0.47578397	Yes	
row_12	XM_047169747	na	3033	0.38994351029396057	0.41747448	No	
row_13	XM_047165129	na	3529	0.3623338043689728	0.40576705	No	
row_14	XM_047186505	na	4098	0.3164144456386566	0.38689357	No	
row_15	XM_047175686	na	4177	0.3051663041114807	0.39863035	No	
row_16	XM_047164506	na	4634	0.24717159569263458	0.38310328	No	
row_17	XM_047186307	na	4875	0.21765166521072388	0.379725	No	
row_18	XM_047185134	na	4972	0.20406801998615265	0.38477972	No	
row_19	XM_047184080	na	5122	0.1868523359298706	0.38551438	No	
row_20	XM_047166136	na	5153	0.181838721036911	0.393558	No	
row_21	XM_047165012	na	5391	0.15289750695228577	0.3868257	No	
row_22	XM_047165127	na	5436	0.14787840843200684	0.3921179	No	
row_23	XM_047168930	na	6037	0.07119143009185791	0.3577795	No	
row_24	XM_047173661	na	6743	0.004037221893668175	0.3130732	No	
row_25	XM_047164310	na	6931	0.0	0.30115628	No	
row_26	XM_047164311	na	6932	0.0	0.30115628	No	
row_27	XM_047164484	na	6953	0.0	0.29988176	No	
row_28	XM_047164913	na	7038	0.0	0.2945287	No	
row_29	XM_047164998	na	7055	0.0	0.29350907	No	
row_30	XM_047165128	na	7063	0.0	0.29306298	No	
row_31	XM_047166623	na	7172	0.0	0.2861805	No	
row_32	XM_047166868	na	7193	0.0	0.28490597	No	
row_33	XM_047173645	na	7932	0.0	0.23787563	No	
row_34	XM_047173652	na	7933	0.0	0.23787563	No	
row_35	XM_047178136	na	8360	0.0	0.21072805	No	
row_36	XM_047186063	na	9202	0.0	0.15713386	No	
row_37	XM_047186306	na	9228	0.0	0.15554069	No	
row_38	XM_047166558	na	9874	-0.02142360992729664	0.11560986	No	
row_39	XM_047184716	na	10170	-0.05391767621040344	0.099762395	No	
row_40	XM_047182938	na	10311	-0.07395544648170471	0.09488962	No	
row_41	XM_047177945	na	10377	-0.08042623847723007	0.09515062	No	
row_42	XM_047166788	na	10642	-0.1118537187576294	0.08445061	No	
row_43	XM_047185357	na	10821	-0.13404087722301483	0.08044582	No	
row_44	XM_047169757	na	11048	-0.16405239701271057	0.07502524	No	
row_45	XM_047164995	na	11144	-0.17237067222595215	0.07840828	No	
row_46	XM_047176659	na	11541	-0.2226642668247223	0.06536307	No	
row_47	XM_047165620	na	12123	-0.3015812635421753	0.044849034	No	
row_48	XM_047164356	na	12183	-0.3105824589729309	0.058093157	No	
row_49	XM_047177943	na	15319	-0.877212405204773	-0.093663886	No	
row_50	XM_047164555	na	15450	-0.9822563529014587	-0.04817107	No	
row_51	XM_047164994	na	15642	-1.2197414636611938	0.0064364336	No	
