NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047170096	na	210	1.1633903980255127	0.13213623	Yes	
row_1	XM_047163287	na	296	1.1021320819854736	0.26456076	Yes	
row_2	XM_047179163	na	920	0.7897234559059143	0.3237032	Yes	
row_3	XM_047164049	na	1017	0.7615457773208618	0.41283533	Yes	
row_4	XM_047164439	na	1205	0.7108027338981628	0.4898347	Yes	
row_5	XM_047164054	na	2013	0.5526816248893738	0.50763214	Yes	
row_6	XM_047165310	na	2885	0.4092094302177429	0.5034174	Yes	
row_7	XM_047178958	na	3896	0.3471410870552063	0.48260105	Yes	
row_8	XM_047166977	na	3907	0.3456055521965027	0.5251857	Yes	
row_9	XM_047172106	na	4603	0.25088945031166077	0.51236415	Yes	
row_10	XM_047173028	na	4668	0.24161674082279205	0.5385102	Yes	
row_11	XM_047167513	na	5142	0.18315429985523224	0.53133553	Yes	
row_12	XM_047185027	na	5273	0.16703008115291595	0.5439568	Yes	
row_13	XM_047186420	na	5675	0.11672147363424301	0.5330529	Yes	
row_14	XM_047170539	na	5688	0.11454948782920837	0.5466151	Yes	
row_15	XM_047180901	na	6333	0.03711986914277077	0.5103033	No	
row_16	XM_047179701	na	10077	-0.04467492178082466	0.27786165	No	
row_17	XM_047178092	na	10887	-0.1438387632369995	0.24440303	No	
row_18	XM_047177862	na	14110	-0.5144911408424377	0.103847384	No	
