NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185511	na	1376	0.6704244613647461	-4.3744594E-4	No	
row_1	XM_047185745	na	3480	0.3687800168991089	-0.08629724	No	
row_2	XM_047167707	na	4834	0.22221465408802032	-0.14349094	No	
row_3	XM_047178556	na	6351	0.0365297831594944	-0.23517138	No	
row_4	XM_047162872	na	6389	0.03234121948480606	-0.23332389	No	
row_5	XM_047171761	na	7706	0.0	-0.31702825	No	
row_6	XM_047183969	na	8973	0.0	-0.39755234	No	
row_7	XM_047178343	na	10838	-0.13647206127643585	-0.4983856	Yes	
row_8	XM_047185512	na	10884	-0.14304141700267792	-0.4826678	Yes	
row_9	XM_047184667	na	11162	-0.1748773753643036	-0.47757116	Yes	
row_10	XM_047171096	na	11235	-0.1845332384109497	-0.4581812	Yes	
row_11	XM_047164562	na	11923	-0.2712138295173645	-0.46664923	Yes	
row_12	XM_047178344	na	12155	-0.30672773718833923	-0.44150034	Yes	
row_13	XM_047167424	na	12196	-0.3125877380371094	-0.4034417	Yes	
row_14	XM_047185516	na	12303	-0.32862257957458496	-0.3674982	Yes	
row_15	XM_047181042	na	12696	-0.35576146841049194	-0.34622058	Yes	
row_16	XM_047183968	na	12865	-0.3661865293979645	-0.3093413	Yes	
row_17	XM_047183966	na	13832	-0.4684903025627136	-0.3099304	Yes	
row_18	XM_047179642	na	14946	-0.7080481648445129	-0.28875268	Yes	
row_19	XM_047178876	na	15300	-0.8678681254386902	-0.19847557	Yes	
row_20	XM_047165253	na	15303	-0.868464469909668	-0.08579561	Yes	
row_21	XM_047179777	na	15315	-0.8754783868789673	0.027222957	Yes	
