NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047165488	na	94	1.3375681638717651	0.122961596	Yes	
row_1	XM_047166229	na	158	1.2264245748519897	0.23718184	Yes	
row_2	XM_047177237	na	795	0.836747407913208	0.27736503	Yes	
row_3	XM_047175353	na	942	0.7843928933143616	0.34368947	Yes	
row_4	XM_047164499	na	1410	0.6658139824867249	0.3781511	Yes	
row_5	XM_047169747	na	3033	0.38994351029396057	0.31250277	No	
row_6	XM_047173963	na	4043	0.32594555616378784	0.27970216	No	
row_7	XM_047164214	na	4280	0.29196277260780334	0.29282674	No	
row_8	XM_047170410	na	4439	0.26905742287635803	0.30870783	No	
row_9	XM_047164506	na	4634	0.24717159569263458	0.32018772	No	
row_10	XM_047167752	na	4661	0.24235250055789948	0.34189618	No	
row_11	XM_047165012	na	5391	0.15289750695228577	0.31023523	No	
row_12	XM_047166483	na	5716	0.1107676774263382	0.300291	No	
row_13	XM_047170407	na	5831	0.09643946588039398	0.30233192	No	
row_14	XM_047167753	na	6015	0.07363590598106384	0.29778272	No	
row_15	XM_047172230	na	6223	0.050684936344623566	0.28949338	No	
row_16	XM_047165319	na	6502	0.02161550149321556	0.27388257	No	
row_17	XM_047182466	na	6545	0.016628004610538483	0.27281225	No	
row_18	XM_047176319	na	6780	7.538457284681499E-4	0.2579909	No	
row_19	XM_047173964	na	7956	0.0	0.18320253	No	
row_20	XM_047180760	na	8665	0.0	0.13813856	No	
row_21	XM_047169678	na	9867	-0.020582670345902443	0.06367953	No	
row_22	XM_047168686	na	10171	-0.05430063605308533	0.04962839	No	
row_23	XM_047181340	na	10451	-0.08949471265077591	0.04049763	No	
row_24	XM_047173171	na	10675	-0.11387667804956436	0.03728173	No	
row_25	XM_047165267	na	10719	-0.11902771145105362	0.04601934	No	
row_26	XM_047164031	na	10930	-0.14800934493541718	0.046921354	No	
row_27	XM_047169757	na	11048	-0.16405239701271057	0.055289373	No	
row_28	XM_047164995	na	11144	-0.17237067222595215	0.065859586	No	
row_29	XM_047168026	na	11193	-0.17801325023174286	0.07996529	No	
row_30	XM_047181315	na	12001	-0.28221189975738525	0.05580589	No	
row_31	XM_047172228	na	14820	-0.6707093119621277	-0.058900945	No	
row_32	XM_047164994	na	15642	-1.2197414636611938	0.0064285826	No	
