NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176850	na	1431	0.6616960167884827	0.051147588	No	
row_1	XM_047166992	na	2872	0.41099968552589417	0.047873557	No	
row_2	XM_047169951	na	5175	0.18004341423511505	-0.059816428	No	
row_3	XM_047167762	na	5923	0.08541563898324966	-0.08896413	No	
row_4	XM_047171270	na	7648	0.0	-0.19857755	No	
row_5	XM_047176852	na	9923	-0.026980632916092873	-0.33736503	No	
row_6	XM_047174320	na	9985	-0.034539543092250824	-0.3338244	No	
row_7	XM_047176849	na	10254	-0.0678623616695404	-0.3362873	No	
row_8	XM_047170565	na	10487	-0.09419132024049759	-0.33080584	No	
row_9	XM_047167296	na	10638	-0.11141098290681839	-0.31641197	No	
row_10	XM_047171320	na	11140	-0.17173776030540466	-0.31137684	No	
row_11	XM_047176092	na	13554	-0.42491641640663147	-0.37352577	Yes	
row_12	XM_047176072	na	13892	-0.47821611166000366	-0.29223204	Yes	
row_13	XM_047167478	na	14174	-0.5269880294799805	-0.19690163	Yes	
row_14	XM_047174227	na	14814	-0.6697202920913696	-0.09367439	Yes	
row_15	XM_047172331	na	14958	-0.7107911705970764	0.04991096	Yes	
