NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185702	na	173	1.2067261934280396	0.09900363	No	
row_1	XM_047177275	na	929	0.7880685925483704	0.12282089	No	
row_2	XM_047185745	na	3480	0.3687800168991089	-0.0057636728	No	
row_3	XM_047172998	na	4801	0.22552187740802765	-0.069168694	No	
row_4	XM_047162985	na	6325	0.03790369629859924	-0.16259009	No	
row_5	XM_047178556	na	6351	0.0365297831594944	-0.16085018	No	
row_6	XM_047170731	na	9768	-0.009739306755363941	-0.3772513	No	
row_7	XM_047170315	na	9956	-0.031229788437485695	-0.38629925	No	
row_8	XM_047170732	na	10010	-0.03715170919895172	-0.3862837	No	
row_9	XM_047171096	na	11235	-0.1845332384109497	-0.44731885	No	
row_10	XM_047168307	na	11243	-0.1854279637336731	-0.43086004	No	
row_11	XM_047167424	na	12196	-0.3125877380371094	-0.46291977	Yes	
row_12	XM_047177914	na	12531	-0.3472333252429962	-0.45251063	Yes	
row_13	XM_047181042	na	12696	-0.35576146841049194	-0.43051046	Yes	
row_14	XM_047174334	na	13463	-0.41548603773117065	-0.44135842	Yes	
row_15	XM_047183307	na	13992	-0.4952934980392456	-0.42979193	Yes	
row_16	XM_047173592	na	14392	-0.5723183155059814	-0.40299812	Yes	
row_17	XM_047186132	na	14829	-0.6707093119621277	-0.36958826	Yes	
row_18	XM_047179642	na	14946	-0.7080481648445129	-0.3124196	Yes	
row_19	XM_047165253	na	15303	-0.868464469909668	-0.25589317	Yes	
row_20	XM_047179777	na	15315	-0.8754783868789673	-0.17678219	Yes	
row_21	XM_047168425	na	15470	-1.0014736652374268	-0.095281295	Yes	
row_22	XM_047185394	na	15649	-1.2349705696105957	0.00597911	Yes	
