NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174578	na	159	1.2241063117980957	0.05556672	Yes	
row_1	XM_047179343	na	323	1.0830007791519165	0.10330486	Yes	
row_2	XM_047185049	na	599	0.9362996220588684	0.13602985	Yes	
row_3	XM_047184732	na	937	0.7856459021568298	0.15671669	Yes	
row_4	XM_047181734	na	1309	0.680797278881073	0.1696087	Yes	
row_5	XM_047168731	na	1772	0.6043127179145813	0.1725949	Yes	
row_6	XM_047177101	na	1798	0.5985865592956543	0.20312947	Yes	
row_7	XM_047162877	na	1800	0.5976446270942688	0.23514329	Yes	
row_8	XM_047176706	na	1989	0.5580002069473267	0.25310934	Yes	
row_9	XM_047183769	na	2335	0.4811951220035553	0.25694534	Yes	
row_10	XM_047170670	na	2474	0.45758846402168274	0.2727091	Yes	
row_11	XM_047175493	na	2871	0.41145187616348267	0.26955086	Yes	
row_12	XM_047175436	na	3024	0.3917688727378845	0.28088948	Yes	
row_13	XM_047176019	na	3402	0.3689509630203247	0.2766612	Yes	
row_14	XM_047179963	na	3429	0.3689509630203247	0.2948067	Yes	
row_15	XM_047174305	na	3690	0.35229620337486267	0.29714242	Yes	
row_16	XM_047175329	na	3928	0.34278056025505066	0.30043352	Yes	
row_17	XM_047168354	na	4198	0.30363908410072327	0.29958397	Yes	
row_18	XM_047169190	na	4234	0.2974259853363037	0.3133168	Yes	
row_19	XM_047168418	na	4291	0.2899757921695709	0.32531115	Yes	
row_20	XM_047176017	na	4489	0.2636612057685852	0.32690537	Yes	
row_21	XM_047186307	na	4875	0.21765166521072388	0.31404638	No	
row_22	XM_047181725	na	5104	0.18856200575828552	0.30963373	No	
row_23	XM_047162886	na	5389	0.1529572457075119	0.29974046	No	
row_24	XM_047170530	na	5489	0.1392468512058258	0.30090374	No	
row_25	XM_047164998	na	7055	0.0	0.20114596	No	
row_26	XM_047176018	na	8158	0.0	0.13090119	No	
row_27	XM_047178249	na	8367	0.0	0.11764264	No	
row_28	XM_047184224	na	8995	0.0	0.07767579	No	
row_29	XM_047184673	na	9027	0.0	0.075699754	No	
row_30	XM_047184884	na	9046	0.0	0.07455238	No	
row_31	XM_047186028	na	9196	0.0	0.06505468	No	
row_32	XM_047186063	na	9202	0.0	0.064735964	No	
row_33	XM_047186306	na	9228	0.0	0.06314239	No	
row_34	XM_047167793	na	9825	-0.017665589228272438	0.026099734	No	
row_35	XM_047183561	na	10082	-0.044966232031583786	0.012195015	No	
row_36	XM_047185889	na	10375	-0.07981894910335541	-0.0021337897	No	
row_37	XM_047165800	na	10649	-0.11193661391735077	-0.013527617	No	
row_38	XM_047175759	na	10662	-0.11299023777246475	-0.00822797	No	
row_39	XM_047174707	na	10829	-0.1349450796842575	-0.011566356	No	
row_40	XM_047175107	na	10858	-0.14024385809898376	-0.005823806	No	
row_41	XM_047172925	na	11004	-0.1576300859451294	-0.0066060084	No	
row_42	XM_047174230	na	11051	-0.1642608344554901	-7.2176126E-4	No	
row_43	XM_047169192	na	11133	-0.17104704678058624	0.0032957196	No	
row_44	XM_047186208	na	11347	-0.1988922506570816	3.9367017E-4	No	
row_45	XM_047175319	na	11518	-0.21961449086666107	0.0013448014	No	
row_46	XM_047171288	na	12035	-0.2870151102542877	-0.016141526	No	
row_47	XM_047183770	na	12103	-0.2979539632797241	-0.0044201277	No	
row_48	XM_047181403	na	12285	-0.3254508376121521	0.0015104185	No	
row_49	XM_047175479	na	13244	-0.39400115609169006	-0.038408015	No	
row_50	XM_047184078	na	13438	-0.41256970167160034	-0.028566426	No	
row_51	XM_047168424	na	14017	-0.49814271926879883	-0.0386729	No	
row_52	XM_047171915	na	14278	-0.5492367744445801	-0.025766717	No	
row_53	XM_047167098	na	14466	-0.5927442908287048	-0.005872099	No	
row_54	XM_047178248	na	14651	-0.6391366124153137	0.016703775	No	
row_55	XM_047176016	na	15455	-0.9844680428504944	0.018357825	No	
