NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047175986	na	41	1.521655559539795	0.026133552	Yes	
row_1	XM_047185646	na	79	1.3858802318572998	0.04995711	Yes	
row_2	XM_047174513	na	306	1.0931874513626099	0.05614908	Yes	
row_3	XM_047166893	na	336	1.077799677848816	0.07466226	Yes	
row_4	XM_047171319	na	739	0.8625932931900024	0.06522853	Yes	
row_5	XM_047173914	na	747	0.8588220477104187	0.081011616	Yes	
row_6	XM_047169664	na	807	0.8328007459640503	0.09297385	Yes	
row_7	XM_047164161	na	900	0.7987256050109863	0.10217941	Yes	
row_8	XM_047176803	na	903	0.7976869344711304	0.11712718	Yes	
row_9	XM_047176354	na	927	0.7881922125816345	0.13055107	Yes	
row_10	XM_047178075	na	957	0.7808167934417725	0.14345145	Yes	
row_11	XM_047164049	na	1017	0.7615457773208618	0.15406701	Yes	
row_12	XM_047165081	na	1057	0.7524709701538086	0.16579147	Yes	
row_13	XM_047169771	na	1078	0.7473244071006775	0.17863506	Yes	
row_14	XM_047180165	na	1091	0.7447017431259155	0.19194123	Yes	
row_15	XM_047173037	na	1103	0.742403507232666	0.205268	Yes	
row_16	XM_047164439	na	1205	0.7108027338981628	0.21223567	Yes	
row_17	XM_047164724	na	1207	0.7106377482414246	0.22560228	Yes	
row_18	XM_047167090	na	1268	0.6938285827636719	0.23487401	Yes	
row_19	XM_047177540	na	1425	0.6627146601676941	0.23741174	Yes	
row_20	XM_047184010	na	1449	0.660300076007843	0.24841854	Yes	
row_21	XM_047178733	na	1490	0.6546173095703125	0.2582296	Yes	
row_22	XM_047169480	na	1556	0.646736204624176	0.2662912	Yes	
row_23	XM_047165235	na	1671	0.6300833821296692	0.27090108	Yes	
row_24	XM_047172132	na	1703	0.6217777729034424	0.28066766	Yes	
row_25	XM_047164744	na	1719	0.618540346622467	0.29139742	Yes	
row_26	XM_047183219	na	1754	0.6083606481552124	0.30071837	Yes	
row_27	XM_047165408	na	1801	0.597527265548706	0.30906636	Yes	
row_28	XM_047171465	na	1849	0.5862438678741455	0.31713703	Yes	
row_29	XM_047167055	na	1890	0.578927218914032	0.3255176	Yes	
row_30	XM_047181384	na	1901	0.5765323042869568	0.33577353	Yes	
row_31	XM_047165611	na	1961	0.5622729659080505	0.34262294	Yes	
row_32	XM_047166520	na	1991	0.5577418804168701	0.35130733	Yes	
