NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047171549	na	115	1.2912873029708862	0.11100821	Yes	
row_1	XM_047167279	na	263	1.118695855140686	0.20416602	Yes	
row_2	XM_047182739	na	362	1.0667589902877808	0.2956816	Yes	
row_3	XM_047182014	na	430	1.0270044803619385	0.38552627	Yes	
row_4	XM_047174994	na	1807	0.597016453742981	0.35270587	No	
row_5	XM_047166091	na	3348	0.3689509630203247	0.28855544	No	
row_6	XM_047180210	na	4575	0.2551351487636566	0.23394912	No	
row_7	XM_047169065	na	5135	0.1840163767337799	0.21525338	No	
row_8	XM_047178313	na	6277	0.04370676353573799	0.14668025	No	
row_9	XM_047169011	na	6310	0.03989144787192345	0.14830008	No	
row_10	XM_047166405	na	7148	0.0	0.09505919	No	
row_11	XM_047175004	na	8054	0.0	0.037492882	No	
row_12	XM_047177274	na	10986	-0.15514996647834778	-0.13472894	No	
row_13	XM_047181875	na	11986	-0.27970466017723083	-0.17264462	No	
row_14	XM_047166195	na	12453	-0.3472333252429962	-0.1704688	No	
row_15	XM_047183042	na	13141	-0.3825889527797699	-0.17911091	No	
row_16	XM_047172096	na	13311	-0.39742347598075867	-0.15344416	No	
row_17	XM_047165602	na	13509	-0.4227571189403534	-0.12723707	No	
row_18	XM_047180194	na	13560	-0.42491641640663147	-0.09148158	No	
row_19	XM_047177836	na	13585	-0.42858031392097473	-0.053736523	No	
row_20	XM_047184138	na	14382	-0.5706320405006409	-0.05208127	No	
row_21	XM_047164341	na	14755	-0.6573044657707214	-0.015513751	No	
row_22	XM_047174814	na	15275	-0.8544608950614929	0.029769057	No	
