NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047179503	na	3	2.253384590148926	0.26928464	Yes	
row_1	XM_047165731	na	526	0.9689629077911377	0.35194966	Yes	
row_2	XM_047170211	na	1571	0.645042359828949	0.36266768	Yes	
row_3	XM_047163666	na	2018	0.5520989298820496	0.40031642	Yes	
row_4	XM_047166956	na	2567	0.44318437576293945	0.41845104	Yes	
row_5	XM_047173341	na	3328	0.3691471815109253	0.41424403	Yes	
row_6	XM_047182764	na	3844	0.35110196471214294	0.42346627	Yes	
row_7	XM_047183603	na	4011	0.3297007977962494	0.45233306	Yes	
row_8	XM_047172994	na	4764	0.22901085019111633	0.43187654	No	
row_9	XM_047170607	na	5418	0.14955590665340424	0.40821677	No	
row_10	XM_047178362	na	6312	0.0397212952375412	0.35615307	No	
row_11	XM_047163426	na	6849	0.0	0.32205206	No	
row_12	XM_047167767	na	7282	0.0	0.29456764	No	
row_13	XM_047172577	na	7805	0.0	0.2613573	No	
row_14	XM_047174164	na	7971	0.0	0.2508598	No	
row_15	XM_047176206	na	8175	0.0	0.23794466	No	
row_16	XM_047177852	na	8334	0.0	0.22789249	No	
row_17	XM_047181448	na	8732	0.0	0.20263483	No	
row_18	XM_047185214	na	9113	0.0	0.17845872	No	
row_19	XM_047185265	na	9123	0.0	0.17788613	No	
row_20	XM_047186471	na	9250	0.0	0.16986984	No	
row_21	XM_047180402	na	11705	-0.2429397851228714	0.04279556	No	
row_22	XM_047174036	na	11946	-0.2745250463485718	0.06035607	No	
row_23	XM_047171274	na	12383	-0.3415614664554596	0.073463485	No	
row_24	XM_047180516	na	14045	-0.5014657974243164	0.027757255	No	
row_25	XM_047180403	na	14827	-0.6707093119621277	0.058277115	No	
