NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047184449	na	139	1.2547357082366943	0.014578696	No	
row_1	XM_047166355	na	730	0.866274356842041	-0.0070635714	No	
row_2	XM_047179175	na	908	0.7940861582756042	-0.0035512024	No	
row_3	XM_047177275	na	929	0.7880685925483704	0.00992484	No	
row_4	XM_047185525	na	1035	0.7569830417633057	0.017363323	No	
row_5	XM_047182675	na	1146	0.7277495861053467	0.02393339	No	
row_6	XM_047166567	na	2065	0.5429266095161438	-0.024816107	No	
row_7	XM_047182767	na	2098	0.5360085368156433	-0.01683104	No	
row_8	XM_047167800	na	2117	0.5311475992202759	-0.0080384845	No	
row_9	XM_047173674	na	2272	0.4959067702293396	-0.00863453	No	
row_10	XM_047172461	na	2304	0.4881366491317749	-0.0014818708	No	
row_11	XM_047174665	na	2367	0.47534289956092834	0.0034415731	No	
row_12	XM_047168301	na	2373	0.4744608402252197	0.012006799	No	
row_13	XM_047173794	na	2479	0.45730653405189514	0.01383267	No	
row_14	XM_047180366	na	2492	0.4548179805278778	0.02158074	No	
row_15	XM_047163186	na	2701	0.4245935380458832	0.016183319	No	
row_16	XM_047173893	na	2713	0.4245935380458832	0.0234295	No	
row_17	XM_047183656	na	2736	0.42209741473197937	0.029922944	No	
row_18	XM_047171517	na	2798	0.41499432921409607	0.033780307	No	
row_19	XM_047165858	na	2808	0.4136256277561188	0.04094943	No	
row_20	XM_047180586	na	2845	0.41252630949020386	0.04636509	No	
row_21	XM_047181356	na	2850	0.41252630949020386	0.053834528	No	
row_22	XM_047186403	na	2927	0.40352800488471985	0.056514427	No	
row_23	XM_047175878	na	2953	0.4008640646934509	0.062417652	No	
row_24	XM_047184601	na	2965	0.39971134066581726	0.06919782	No	
row_25	XM_047181357	na	2984	0.3961970806121826	0.0754629	No	
row_26	XM_047182027	na	3108	0.3759203553199768	0.07460924	No	
row_27	XM_047171850	na	3668	0.354745477437973	0.045376204	No	
row_28	XM_047163268	na	3703	0.35110196471214294	0.049769815	No	
row_29	XM_047173704	na	3940	0.3412724733352661	0.041014817	No	
row_30	XM_047167002	na	3964	0.3369881212711334	0.04585008	No	
row_31	XM_047170834	na	3976	0.33478617668151855	0.051414266	No	
row_32	XM_047177510	na	3983	0.3339594602584839	0.057283875	No	
row_33	XM_047173688	na	3986	0.3332529664039612	0.063396975	No	
row_34	XM_047166719	na	4068	0.32212594151496887	0.0642314	No	
row_35	XM_047184450	na	4086	0.31860750913619995	0.069107495	No	
row_36	XM_047174567	na	4200	0.30363908410072327	0.0675419	No	
row_37	XM_047163638	na	4323	0.2849390506744385	0.06504844	No	
row_38	XM_047172239	na	4394	0.2753020226955414	0.06571189	No	
row_39	XM_047186072	na	4472	0.26577281951904297	0.06574761	No	
row_40	XM_047174657	na	4505	0.2623720169067383	0.06860777	No	
row_41	XM_047178465	na	4680	0.241279736161232	0.061959222	No	
row_42	XM_047178277	na	4902	0.21260559558868408	0.05175715	No	
row_43	XM_047184110	na	4944	0.2084805816411972	0.05303035	No	
row_44	XM_047164207	na	5022	0.19954760372638702	0.05182574	No	
row_45	XM_047164173	na	5162	0.18101157248020172	0.046294767	No	
row_46	XM_047171530	na	5215	0.17517541348934174	0.04623821	No	
row_47	XM_047176533	na	5282	0.16623172163963318	0.04511562	No	
row_48	XM_047174659	na	5313	0.1638903021812439	0.046259683	No	
row_49	XM_047174990	na	5370	0.15560010075569153	0.04557978	No	
row_50	XM_047165012	na	5391	0.15289750695228577	0.04715977	No	
row_51	XM_047186218	na	5394	0.15249724686145782	0.049887512	No	
row_52	XM_047168454	na	5490	0.13922975957393646	0.04639796	No	
row_53	XM_047169978	na	5591	0.12602566182613373	0.04234021	No	
