NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185241	na	453	1.0086127519607544	0.13545614	Yes	
row_1	XM_047185239	na	758	0.854255199432373	0.25525042	Yes	
row_2	XM_047185240	na	1760	0.6061061024665833	0.29029018	Yes	
row_3	XM_047170255	na	3541	0.3623338043689728	0.23607199	Yes	
row_4	XM_047171865	na	3672	0.35449811816215515	0.28553945	Yes	
row_5	XM_047172282	na	3885	0.34935271739959717	0.32895258	Yes	
row_6	XM_047165246	na	3904	0.3461461067199707	0.3841844	Yes	
row_7	XM_047174173	na	4029	0.3270818889141083	0.42956823	Yes	
row_8	XM_047174527	na	5562	0.12940852344036102	0.35318956	No	
row_9	XM_047171872	na	6106	0.06379634141921997	0.32903808	No	
row_10	XM_047169587	na	6496	0.022247835993766785	0.30791605	No	
row_11	XM_047170880	na	6684	0.009060237556695938	0.29749602	No	
row_12	XM_047164638	na	6995	0.0	0.2777759	No	
row_13	XM_047173017	na	7864	0.0	0.22255965	No	
row_14	XM_047173243	na	7875	0.0	0.22192352	No	
row_15	XM_047173244	na	7876	0.0	0.22192352	No	
row_16	XM_047173321	na	7885	0.0	0.2214146	No	
row_17	XM_047178661	na	8403	0.0	0.18852656	No	
row_18	XM_047181051	na	9724	-0.005592947360128164	0.10546802	No	
row_19	XM_047177987	na	10291	-0.0713668167591095	0.08108646	No	
row_20	XM_047174265	na	12173	-0.30878153443336487	0.011721268	No	
row_21	XM_047182610	na	12316	-0.330424964427948	0.05650456	No	
row_22	XM_047174435	na	12506	-0.3472333252429962	0.10103561	No	
row_23	XM_047174049	na	14698	-0.643559992313385	0.06647575	No	
