NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047178863	na	54	1.470932126045227	0.019242957	Yes	
row_1	XM_047174428	na	109	1.2987676858901978	0.03582686	Yes	
row_2	XM_047180111	na	193	1.1831852197647095	0.048759226	Yes	
row_3	XM_047167938	na	225	1.153239369392395	0.06457571	Yes	
row_4	XM_047176872	na	254	1.1246061325073242	0.080143034	Yes	
row_5	XM_047173568	na	320	1.0842775106430054	0.09270623	Yes	
row_6	XM_047167456	na	331	1.081324577331543	0.10876353	Yes	
row_7	XM_047185049	na	599	0.9362996220588684	0.10604085	Yes	
row_8	XM_047163568	na	627	0.9220964908599854	0.11854481	Yes	
row_9	XM_047163063	na	643	0.9125440120697021	0.13167353	Yes	
row_10	XM_047180596	na	802	0.8353691697120667	0.13440704	Yes	
row_11	XM_047184732	na	937	0.7856459021568298	0.1379172	Yes	
row_12	XM_047185585	na	945	0.7839905023574829	0.14957531	Yes	
row_13	XM_047172628	na	948	0.7834415435791016	0.1615467	Yes	
row_14	XM_047179465	na	982	0.7716255187988281	0.17134053	Yes	
row_15	XM_047164707	na	1053	0.7538102269172668	0.17847791	Yes	
row_16	XM_047178015	na	1246	0.6999929547309875	0.17693238	Yes	
row_17	XM_047178795	na	1308	0.680797278881073	0.18352133	Yes	
row_18	XM_047170211	na	1571	0.645042359828949	0.17662202	Yes	
row_19	XM_047174714	na	1594	0.6431698203086853	0.18513979	Yes	
row_20	XM_047172897	na	1603	0.6414451599121094	0.19453193	Yes	
row_21	XM_047168428	na	1690	0.6247081160545349	0.19864564	Yes	
row_22	XM_047166251	na	1757	0.6069691777229309	0.20377253	Yes	
row_23	XM_047164619	na	1766	0.6049661636352539	0.21260126	Yes	
row_24	XM_047165518	na	1940	0.5674313902854919	0.21023116	Yes	
row_25	XM_047176981	na	1963	0.5620854496955872	0.21749659	Yes	
row_26	XM_047163291	na	1972	0.5611736178398132	0.22564895	Yes	
row_27	XM_047163648	na	1982	0.5597665905952454	0.23371524	Yes	
row_28	XM_047186395	na	1999	0.556189239025116	0.24127576	Yes	
row_29	XM_047173323	na	2038	0.5483733415603638	0.24729967	Yes	
row_30	XM_047177284	na	2127	0.5283492803573608	0.2497964	Yes	
row_31	XM_047169991	na	2163	0.5207079648971558	0.25558612	Yes	
row_32	XM_047168898	na	2228	0.5045874714851379	0.25926045	Yes	
row_33	XM_047176565	na	2286	0.49226728081703186	0.263195	Yes	
row_34	XM_047174665	na	2367	0.47534289956092834	0.26538795	Yes	
row_35	XM_047167491	na	2389	0.4723653495311737	0.27133203	Yes	
row_36	XM_047163229	na	2435	0.46523988246917725	0.27562144	Yes	
row_37	XM_047182431	na	2580	0.43971091508865356	0.2731451	Yes	
row_38	XM_047163874	na	2630	0.4329283833503723	0.27667806	Yes	
row_39	XM_047179724	na	2649	0.4294912815093994	0.28215304	Yes	
row_40	XM_047171366	na	2666	0.4287184476852417	0.2877448	Yes	
row_41	XM_047176499	na	2836	0.41252630949020386	0.28323963	Yes	
row_42	XM_047168429	na	2947	0.40186184644699097	0.2823669	Yes	
row_43	XM_047165642	na	2960	0.4002481698989868	0.28777638	Yes	
row_44	XM_047177229	na	3074	0.3817056119441986	0.28639928	Yes	
row_45	XM_047174006	na	3080	0.3813452124595642	0.29196727	Yes	
row_46	XM_047173564	na	3322	0.3702574670314789	0.28217548	Yes	
row_47	XM_047180433	na	3431	0.3689509630203247	0.2809232	Yes	
row_48	XM_047183724	na	3448	0.3689509630203247	0.28559184	Yes	
row_49	XM_047163297	na	3704	0.35110196471214294	0.27460316	Yes	
row_50	XM_047175397	na	3791	0.35110196471214294	0.27449107	Yes	
row_51	XM_047164480	na	3895	0.347303569316864	0.2732262	Yes	
row_52	XM_047185584	na	4002	0.3310544192790985	0.2715173	Yes	
row_53	XM_047183603	na	4011	0.3297007977962494	0.27609462	Yes	
row_54	XM_047163569	na	4077	0.31992846727371216	0.27685255	Yes	
row_55	XM_047168354	na	4198	0.30363908410072327	0.2738192	Yes	
row_56	XM_047172202	na	4273	0.292681485414505	0.2735771	Yes	
row_57	XM_047168418	na	4291	0.2899757921695709	0.27696165	Yes	
row_58	XM_047170256	na	4299	0.288162499666214	0.28096175	Yes	
row_59	XM_047169443	na	4315	0.28601929545402527	0.2844139	Yes	
row_60	XM_047170257	na	4317	0.2858234941959381	0.28876406	Yes	
row_61	XM_047173593	na	4349	0.28155946731567383	0.29111758	Yes	
row_62	XM_047175113	na	4413	0.2732323706150055	0.29128304	Yes	
row_63	XM_047164027	na	4483	0.26466259360313416	0.29092997	Yes	
row_64	XM_047184550	na	4484	0.26466259360313416	0.29501766	Yes	
row_65	XM_047174657	na	4505	0.2623720169067383	0.29778278	Yes	
row_66	XM_047181206	na	4645	0.2450045496225357	0.29262102	Yes	
row_67	XM_047163062	na	4649	0.24430003762245178	0.2962011	Yes	
row_68	XM_047174356	na	4674	0.24156498908996582	0.29838744	Yes	
row_69	XM_047167315	na	4813	0.2243255227804184	0.29297066	No	
row_70	XM_047173784	na	4931	0.20988541841506958	0.2886824	No	
row_71	XM_047180083	na	4976	0.20398065447807312	0.28900108	No	
row_72	XM_047163532	na	4994	0.20203769207000732	0.29102743	No	
row_73	XM_047174580	na	5009	0.2006726861000061	0.29322577	No	
row_74	XM_047185526	na	5035	0.19811220467090607	0.2946766	No	
row_75	XM_047183723	na	5040	0.19729985296726227	0.29746643	No	
row_76	XM_047163531	na	5177	0.17982657253742218	0.2914911	No	
