NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176346	na	30	1.6005257368087769	0.048398573	Yes	
row_1	XM_047172785	na	50	1.4808201789855957	0.09373671	Yes	
row_2	XM_047185770	na	476	0.9969292283058167	0.097927116	Yes	
row_3	XM_047166180	na	591	0.9397917985916138	0.120188445	Yes	
row_4	XM_047178441	na	910	0.7936846613883972	0.12482486	Yes	
row_5	XM_047166118	na	1069	0.7493641972541809	0.13828902	Yes	
row_6	XM_047178930	na	1193	0.7139232754707336	0.15287489	Yes	
row_7	XM_047163897	na	1239	0.7015677094459534	0.1720551	Yes	
row_8	XM_047177178	na	1429	0.6622651815414429	0.18080084	Yes	
row_9	XM_047176542	na	1455	0.6594974398612976	0.19993614	Yes	
row_10	XM_047181917	na	1733	0.6143651604652405	0.20155449	Yes	
row_11	XM_047180499	na	1895	0.5774797201156616	0.20942356	Yes	
row_12	XM_047166145	na	1935	0.568543553352356	0.22480524	Yes	
row_13	XM_047178440	na	2201	0.5100061297416687	0.22390948	Yes	
row_14	XM_047178510	na	2394	0.47142788767814636	0.22646432	Yes	
row_15	XM_047174322	na	2429	0.46611079573631287	0.23894526	Yes	
row_16	XM_047176519	na	2448	0.46189168095588684	0.25231567	Yes	
row_17	XM_047173794	na	2479	0.45730653405189514	0.2647754	Yes	
row_18	XM_047170557	na	2650	0.4294496774673462	0.26741594	Yes	
row_19	XM_047167844	na	2806	0.41418755054473877	0.27053496	Yes	
row_20	XM_047174667	na	2868	0.4117256700992584	0.27958143	Yes	
row_21	XM_047172909	na	2980	0.396977037191391	0.2849702	Yes	
row_22	XM_047184565	na	3326	0.36951741576194763	0.27454743	Yes	
row_23	XM_047164677	na	3338	0.3689509630203247	0.28544328	Yes	
row_24	XM_047172396	na	3383	0.3689509630203247	0.29423106	Yes	
row_25	XM_047171850	na	3668	0.354745477437973	0.28724068	Yes	
row_26	XM_047173704	na	3940	0.3412724733352661	0.28065726	Yes	
row_27	XM_047182001	na	4032	0.3266569972038269	0.285113	Yes	
row_28	XM_047177285	na	4048	0.32557016611099243	0.2943896	Yes	
row_29	XM_047184450	na	4086	0.31860750913619995	0.30204192	Yes	
row_30	XM_047180977	na	4129	0.31268686056137085	0.3091887	Yes	
row_31	XM_047163933	na	4235	0.29722410440444946	0.31182483	Yes	
row_32	XM_047178508	na	4351	0.28146058320999146	0.31332663	Yes	
row_33	XM_047176574	na	4358	0.27991777658462524	0.32174298	Yes	
row_34	XM_047165702	na	4415	0.27295273542404175	0.3267463	Yes	
row_35	XM_047166117	na	4959	0.20639385282993317	0.298547	No	
row_36	XM_047175790	na	5038	0.19795124232769012	0.29978716	No	
row_37	XM_047169852	na	5050	0.19591283798217773	0.30524328	No	
row_38	XM_047167700	na	5221	0.1747361123561859	0.29987654	No	
row_39	XM_047175779	na	5366	0.15602675080299377	0.29558256	No	
row_40	XM_047182522	na	5445	0.14740273356437683	0.29523364	No	
row_41	XM_047171472	na	5470	0.14151765406131744	0.29814932	No	
row_42	XM_047174779	na	5574	0.1283816695213318	0.29560542	No	
row_43	XM_047169978	na	5591	0.12602566182613373	0.29854512	No	
row_44	XM_047176526	na	5655	0.11905506253242493	0.29826328	No	
row_45	XM_047172234	na	6125	0.06049756333231926	0.27020472	No	
row_46	XM_047172596	na	6284	0.04288612678647041	0.26145962	No	
row_47	XM_047186191	na	6559	0.01535310409963131	0.24443877	No	
row_48	XM_047166730	na	6637	0.01152154989540577	0.2398821	No	
row_49	XM_047184660	na	6642	0.0110232038423419	0.2399731	No	
row_50	XM_047176734	na	6647	0.010288550518453121	0.24004102	No	
row_51	XM_047164546	na	6965	0.0	0.2197906	No	
row_52	XM_047167944	na	7301	0.0	0.19839032	No	
row_53	XM_047173909	na	7952	0.0	0.15686738	No	
row_54	XM_047175669	na	8128	0.0	0.14568813	No	
row_55	XM_047178931	na	8427	0.0	0.12665147	No	
row_56	XM_047183721	na	8955	0.0	0.09298594	No	
row_57	XM_047167006	na	9658	-6.43368752207607E-4	0.048161395	No	
row_58	XM_047178587	na	9784	-0.01149656716734171	0.04053763	No	
row_59	XM_047178509	na	9961	-0.0315520204603672	0.030286383	No	
