NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173935	na	1060	0.7518196702003479	0.0019024473	No	
row_1	XM_047165783	na	1870	0.5816570520401001	0.0040794923	No	
row_2	XM_047169225	na	2569	0.441935271024704	4.3252733E-4	No	
row_3	XM_047165784	na	3124	0.3752251863479614	-2.0610652E-4	No	
row_4	XM_047166291	na	3533	0.3623338043689728	0.0072539547	No	
row_5	XM_047165000	na	4262	0.29389849305152893	-0.011953292	No	
row_6	XM_047176407	na	4456	0.26768815517425537	4.5543502E-4	No	
row_7	XM_047171851	na	6248	0.046939391642808914	-0.10914713	No	
row_8	XM_047182037	na	8782	0.0	-0.27027944	No	
row_9	XM_047170672	na	10034	-0.038459617644548416	-0.34631288	No	
row_10	XM_047179010	na	10660	-0.1128905713558197	-0.37566042	No	
row_11	XM_047178189	na	10681	-0.1148158609867096	-0.36634442	No	
row_12	XM_047178956	na	12124	-0.30158695578575134	-0.4302625	Yes	
row_13	XM_047168554	na	12229	-0.3174503743648529	-0.40760314	Yes	
row_14	XM_047166292	na	12934	-0.3694388270378113	-0.41831738	Yes	
row_15	XM_047180281	na	13784	-0.4596760869026184	-0.42993388	Yes	
row_16	XM_047185350	na	14268	-0.5467973947525024	-0.41023368	Yes	
row_17	XM_047167005	na	14521	-0.6058592200279236	-0.37039214	Yes	
row_18	XM_047177098	na	14567	-0.6194961667060852	-0.31612507	Yes	
row_19	XM_047172331	na	14958	-0.7107911705970764	-0.2753854	Yes	
row_20	XM_047169881	na	15068	-0.7500180602073669	-0.21315292	Yes	
row_21	XM_047186329	na	15214	-0.82239830493927	-0.14653563	Yes	
row_22	XM_047166293	na	15230	-0.8310709595680237	-0.07084885	Yes	
row_23	XM_047166994	na	15593	-1.1214416027069092	0.009541991	Yes	
