NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047164894	na	369	1.061957836151123	0.15813945	Yes	
row_1	XM_047164903	na	913	0.7924199104309082	0.25912333	Yes	
row_2	XM_047173324	na	1763	0.6053846478462219	0.30866736	Yes	
row_3	XM_047184742	na	3087	0.3806004226207733	0.28963467	Yes	
row_4	XM_047167780	na	3131	0.3752251863479614	0.35106632	Yes	
row_5	XM_047165104	na	3718	0.35110196471214294	0.37384835	Yes	
row_6	XM_047165702	na	4415	0.27295273542404175	0.37627253	Yes	
row_7	XM_047164980	na	4747	0.23211637139320374	0.39492047	Yes	
row_8	XM_047166136	na	5153	0.181838721036911	0.40026566	Yes	
row_9	XM_047164890	na	5407	0.15054461359977722	0.4099237	Yes	
row_10	XM_047164889	na	5765	0.105044886469841	0.4051886	Yes	
row_11	XM_047183119	na	5777	0.10358009487390518	0.422202	Yes	
row_12	XM_047182277	na	10814	-0.13350652158260345	0.12483906	No	
row_13	XM_047164888	na	10868	-0.14145317673683167	0.14565857	No	
row_14	XM_047166887	na	11749	-0.24931703507900238	0.13234203	No	
row_15	XM_047173326	na	14957	-0.710716187953949	0.049974643	No	
