NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047171549	na	115	1.2912873029708862	0.024025174	No	
row_1	XM_047174185	na	475	0.9969292283058167	0.025295356	No	
row_2	XM_047165119	na	714	0.8737992644309998	0.03131052	No	
row_3	XM_047186326	na	784	0.8414796590805054	0.04734663	No	
row_4	XM_047171043	na	975	0.7739825248718262	0.05400547	No	
row_5	XM_047181902	na	1052	0.7538540959358215	0.06746466	No	
row_6	XM_047173935	na	1060	0.7518196702003479	0.08528645	No	
row_7	XM_047186354	na	1081	0.7465001344680786	0.10214773	No	
row_8	XM_047170840	na	1099	0.7437309622764587	0.11913354	No	
row_9	XM_047173237	na	1221	0.7070300579071045	0.12857747	No	
row_10	XM_047171862	na	1266	0.6939836740493774	0.14262795	No	
row_11	XM_047170087	na	1318	0.6795280575752258	0.15587957	No	
row_12	XM_047172897	na	1603	0.6414451599121094	0.15330711	No	
row_13	XM_047165783	na	1870	0.5816570520401001	0.15043277	No	
row_14	XM_047173179	na	2137	0.5268694162368774	0.14622705	No	
row_15	XM_047185934	na	2449	0.46178871393203735	0.13756244	No	
row_16	XM_047169225	na	2569	0.441935271024704	0.1406924	No	
row_17	XM_047163563	na	2966	0.3996555507183075	0.1250828	No	
row_18	XM_047176801	na	2969	0.3994116485118866	0.13466072	No	
row_19	XM_047169200	na	2989	0.3958066701889038	0.143064	No	
row_20	XM_047165784	na	3124	0.3752251863479614	0.14361374	No	
row_21	XM_047166291	na	3533	0.3623338043689728	0.12632991	No	
row_22	XM_047171850	na	3668	0.354745477437973	0.12638198	No	
row_23	XM_047179502	na	3823	0.35110196471214294	0.12506667	No	
row_24	XM_047169226	na	4379	0.2775798738002777	0.09632372	No	
row_25	XM_047176407	na	4456	0.26768815517425537	0.09796896	No	
row_26	XM_047178432	na	5307	0.1642908900976181	0.047609966	No	
row_27	XM_047186218	na	5394	0.15249724686145782	0.04581661	No	
row_28	XM_047165044	na	5577	0.12768420577049255	0.037281796	No	
row_29	XM_047176863	na	5640	0.12064963579177856	0.036249164	No	
row_30	XM_047175625	na	5684	0.1150083988904953	0.036294356	No	
row_31	XM_047168799	na	5737	0.10931799560785294	0.03562579	No	
row_32	XM_047164148	na	5912	0.0864061713218689	0.026599448	No	
row_33	XM_047176083	na	6007	0.07505496591329575	0.022412688	No	
row_34	XM_047171851	na	6248	0.046939391642808914	0.008207075	No	
row_35	XM_047169011	na	6310	0.03989144787192345	0.005275942	No	
row_36	XM_047176861	na	6741	0.004652486182749271	-0.022106366	No	
row_37	XM_047167016	na	7205	0.0	-0.05171184	No	
row_38	XM_047169381	na	7448	0.0	-0.067185976	No	
row_39	XM_047170884	na	7613	0.0	-0.07767258	No	
row_40	XM_047174214	na	7975	0.0	-0.1007559	No	
row_41	XM_047176558	na	8214	0.0	-0.11597426	No	
row_42	XM_047177818	na	8332	0.0	-0.12345556	No	
row_43	XM_047182037	na	8782	0.0	-0.15216583	No	
row_44	XM_047185874	na	9183	0.0	-0.17774291	No	
