NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047177908	na	799	0.8356372117996216	-0.013093839	No	
row_1	XM_047184297	na	1067	0.7497626543045044	0.0038517364	No	
row_2	XM_047164499	na	1410	0.6658139824867249	0.012209797	No	
row_3	XM_047184010	na	1449	0.660300076007843	0.03970699	No	
row_4	XM_047173324	na	1763	0.6053846478462219	0.04717637	No	
row_5	XM_047177101	na	1798	0.5985865592956543	0.07213219	No	
row_6	XM_047180499	na	1895	0.5774797201156616	0.09217726	No	
row_7	XM_047165870	na	1956	0.5643260478973389	0.113922335	No	
row_8	XM_047176706	na	1989	0.5580002069473267	0.13716659	No	
row_9	XM_047184938	na	2814	0.41297483444213867	0.103325754	No	
row_10	XM_047175064	na	2832	0.41252630949020386	0.12093471	No	
row_11	XM_047168131	na	4206	0.30308908224105835	0.047099523	No	
row_12	XM_047184009	na	4248	0.2958608567714691	0.05789119	No	
row_13	XM_047165209	na	4499	0.26283320784568787	0.053856313	No	
row_14	XM_047164506	na	4634	0.24717159569263458	0.056510177	No	
row_15	XM_047177213	na	4996	0.2018841803073883	0.042633925	No	
row_16	XM_047177212	na	5124	0.18603502213954926	0.042963903	No	
row_17	XM_047164551	na	5554	0.13077577948570251	0.021528436	No	
row_18	XM_047186242	na	5569	0.12890557944774628	0.026476746	No	
row_19	XM_047174779	na	5574	0.1283816695213318	0.03203911	No	
row_20	XM_047176276	na	5679	0.11593671143054962	0.030659588	No	
row_21	XM_047179169	na	6189	0.05329851433634758	6.1095145E-4	No	
row_22	XM_047178556	na	6351	0.0365297831594944	-0.00800225	No	
row_23	XM_047175247	na	6467	0.023731136694550514	-0.014261549	No	
row_24	XM_047184660	na	6642	0.0110232038423419	-0.024859691	No	
row_25	XM_047179161	na	6678	0.009181397035717964	-0.02667593	No	
row_26	XM_047165834	na	7114	0.0	-0.054420047	No	
row_27	XM_047165835	na	7115	0.0	-0.054420047	No	
row_28	XM_047165836	na	7116	0.0	-0.054420047	No	
row_29	XM_047165869	na	7119	0.0	-0.054547604	No	
row_30	XM_047165874	na	7120	0.0	-0.054547604	No	
row_31	XM_047167306	na	7231	0.0	-0.061563358	No	
row_32	XM_047169581	na	7482	0.0	-0.07750825	No	
row_33	XM_047175669	na	8128	0.0	-0.11864608	No	
row_34	XM_047166739	na	9871	-0.021224141120910645	-0.22878835	No	
row_35	XM_047175745	na	10366	-0.0788118913769722	-0.25672418	No	
row_36	XM_047183560	na	10637	-0.11116158217191696	-0.2689075	No	
row_37	XM_047176228	na	10987	-0.1552034467458725	-0.28413367	No	
row_38	XM_047178326	na	11161	-0.1746140718460083	-0.28725508	No	
row_39	XM_047175065	na	11269	-0.18847954273223877	-0.28553873	No	
row_40	XM_047168042	na	11454	-0.21186114847660065	-0.28767392	No	
row_41	XM_047164714	na	11736	-0.247240349650383	-0.29439253	Yes	
row_42	XM_047185409	na	11784	-0.25388550758361816	-0.2858856	Yes	
row_43	XM_047182198	na	11989	-0.28032776713371277	-0.28619388	Yes	
row_44	XM_047166414	na	12318	-0.3305455446243286	-0.29213524	Yes	
row_45	XM_047171041	na	12343	-0.3341120183467865	-0.278526	Yes	
row_46	XM_047175566	na	12411	-0.3448006212711334	-0.26717496	Yes	
row_47	XM_047175659	na	12519	-0.3472333252429962	-0.25826484	Yes	
row_48	XM_047184848	na	12667	-0.3518773317337036	-0.25169548	Yes	
row_49	XM_047167349	na	12902	-0.3667434751987457	-0.2500013	Yes	
row_50	XM_047175658	na	12988	-0.3694388270378113	-0.23868184	Yes	
row_51	XM_047166342	na	13190	-0.3897843360900879	-0.23383886	Yes	
row_52	XM_047177211	na	13250	-0.39400115609169006	-0.21974808	Yes	
row_53	XM_047185548	na	13415	-0.4098438024520874	-0.21163629	Yes	
row_54	XM_047174334	na	13463	-0.41548603773117065	-0.19580661	Yes	
row_55	XM_047174778	na	13846	-0.4703688621520996	-0.19885612	Yes	
row_56	XM_047174521	na	14366	-0.5666711926460266	-0.20627959	Yes	
row_57	XM_047185556	na	14602	-0.6267499327659607	-0.19286726	Yes	
row_58	XM_047186330	na	14667	-0.6397145986557007	-0.16796115	Yes	
row_59	XM_047173326	na	14957	-0.710716187953949	-0.15418808	Yes	
row_60	XM_047173463	na	15153	-0.7848429083824158	-0.13106075	Yes	
row_61	XM_047185559	na	15206	-0.8184570670127869	-0.09728974	Yes	
row_62	XM_047175066	na	15348	-0.8954998850822449	-0.065704	Yes	
row_63	XM_047185229	na	15381	-0.9150822758674622	-0.02627894	Yes	
row_64	XM_047182473	na	15559	-1.0880392789840698	0.01173546	Yes	
