NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173794	na	2479	0.45730653405189514	-0.041647952	No	
row_1	XM_047173341	na	3328	0.3691471815109253	-0.0019519594	No	
row_2	XM_047176560	na	4930	0.21002930402755737	-0.0504833	No	
row_3	XM_047166248	na	6232	0.04946327209472656	-0.120658554	No	
row_4	XM_047179104	na	6526	0.018720246851444244	-0.13454045	No	
row_5	XM_047186191	na	6559	0.01535310409963131	-0.13268162	No	
row_6	XM_047163426	na	6849	0.0	-0.1510565	No	
row_7	XM_047166107	na	10140	-0.049777787178754807	-0.34761435	No	
row_8	XM_047173821	na	11476	-0.21419073641300201	-0.37817788	Yes	
row_9	XM_047185803	na	11558	-0.22412802278995514	-0.32649097	Yes	
row_10	XM_047179731	na	11633	-0.2335696965456009	-0.27196467	Yes	
row_11	XM_047174765	na	11965	-0.2768656611442566	-0.22279918	Yes	
row_12	XM_047172019	na	12016	-0.28360775113105774	-0.15405773	Yes	
row_13	XM_047162852	na	12138	-0.3034956157207489	-0.0847871	Yes	
row_14	XM_047175992	na	13781	-0.45941776037216187	-0.07268248	Yes	
row_15	XM_047173234	na	15134	-0.7782773375511169	0.03872067	Yes	
