NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047184732	na	937	0.7856459021568298	0.11075294	Yes	
row_1	XM_047172324	na	1351	0.6726177930831909	0.23032561	Yes	
row_2	XM_047183769	na	2335	0.4811951220035553	0.27214053	Yes	
row_3	XM_047175493	na	2871	0.41145187616348267	0.32732674	Yes	
row_4	XM_047175436	na	3024	0.3917688727378845	0.4026044	Yes	
row_5	XM_047169190	na	4234	0.2974259853363037	0.39019987	Yes	
row_6	XM_047186307	na	4875	0.21765166521072388	0.39668736	Yes	
row_7	XM_047172325	na	5306	0.16431830823421478	0.4049671	Yes	
row_8	XM_047167709	na	5799	0.1013629287481308	0.3956533	No	
row_9	XM_047164998	na	7055	0.0	0.31583393	No	
row_10	XM_047184224	na	8995	0.0	0.19251141	No	
row_11	XM_047184673	na	9027	0.0	0.19053978	No	
row_12	XM_047186063	na	9202	0.0	0.17947319	No	
row_13	XM_047186306	na	9228	0.0	0.17788316	No	
row_14	XM_047183561	na	10082	-0.044966232031583786	0.1333812	No	
row_15	XM_047185889	na	10375	-0.07981894910335541	0.13211636	No	
row_16	XM_047174707	na	10829	-0.1349450796842575	0.13256446	No	
row_17	XM_047175107	na	10858	-0.14024385809898376	0.16119191	No	
row_18	XM_047169192	na	11133	-0.17104704678058624	0.18085237	No	
row_19	XM_047175319	na	11518	-0.21961449086666107	0.20404732	No	
row_20	XM_047183770	na	12103	-0.2979539632797241	0.23150796	No	
