NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047181906	na	398	1.0442205667495728	0.050399713	Yes	
row_1	XM_047177007	na	460	1.0044751167297363	0.11936421	Yes	
row_2	XM_047172138	na	938	0.7855815291404724	0.1459792	Yes	
row_3	XM_047178104	na	1133	0.7341932058334351	0.18687795	Yes	
row_4	XM_047175221	na	1575	0.645042359828949	0.20559184	Yes	
row_5	XM_047176473	na	1643	0.6352219581604004	0.24739549	Yes	
row_6	XM_047181905	na	1653	0.6331819295883179	0.29274237	Yes	
row_7	XM_047183360	na	1696	0.6233199834823608	0.3352739	Yes	
row_8	XM_047168501	na	1819	0.592289924621582	0.37046373	Yes	
row_9	XM_047175329	na	3928	0.34278056025505066	0.26116645	No	
row_10	XM_047166605	na	4598	0.2515486478805542	0.23683308	No	
row_11	XM_047168500	na	5054	0.19525034725666046	0.22203614	No	
row_12	XM_047170822	na	7606	0.0	0.059686486	No	
row_13	XM_047173335	na	7887	0.0	0.041866843	No	
row_14	XM_047175220	na	8074	0.0	0.030029511	No	
row_15	XM_047175222	na	8075	0.0	0.030029511	No	
row_16	XM_047176768	na	8235	0.0	0.019910501	No	
row_17	XM_047177659	na	8323	0.0	0.014373685	No	
row_18	XM_047178442	na	8390	0.0	0.010173341	No	
row_19	XM_047184884	na	9046	0.0	-0.031511888	No	
row_20	XM_047173805	na	12069	-0.2917981743812561	-0.20267491	No	
row_21	XM_047170847	na	12312	-0.329976350069046	-0.19414559	No	
row_22	XM_047177658	na	12529	-0.3472333252429962	-0.18271008	No	
row_23	XM_047175479	na	13244	-0.39400115609169006	-0.19957638	No	
row_24	XM_047168556	na	14041	-0.5007266998291016	-0.21392132	No	
row_25	XM_047170846	na	14103	-0.5130046010017395	-0.18059929	No	
row_26	XM_047184198	na	14359	-0.5648227334022522	-0.15586577	No	
row_27	XM_047177801	na	14597	-0.6264978647232056	-0.12551388	No	
row_28	XM_047165242	na	14855	-0.6755958199501038	-0.092874154	No	
row_29	XM_047175758	na	15350	-0.897063136100769	-0.059256196	No	
row_30	XM_047182289	na	15615	-1.1610767841339111	0.008146141	No	
