NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047172416	na	426	1.0282354354858398	0.10752209	Yes	
row_1	XM_047186085	na	779	0.8437762260437012	0.1956013	Yes	
row_2	XM_047184235	na	1181	0.7165894508361816	0.2639112	Yes	
row_3	XM_047184717	na	1382	0.6686408519744873	0.3387304	Yes	
row_4	XM_047164548	na	1391	0.6669140458106995	0.42553803	Yes	
row_5	XM_047164691	na	1885	0.5795291066169739	0.47005033	Yes	
row_6	XM_047164969	na	2338	0.4807972013950348	0.5042443	Yes	
row_7	XM_047185748	na	2500	0.45352819561958313	0.55338067	Yes	
row_8	XM_047164272	na	3312	0.3708522617816925	0.55034137	No	
row_9	XM_047180210	na	4575	0.2551351487636566	0.5034603	No	
row_10	XM_047164207	na	5022	0.19954760372638702	0.501213	No	
row_11	XM_047185526	na	5035	0.19811220467090607	0.5263877	No	
row_12	XM_047165023	na	6046	0.06952918320894241	0.47123745	No	
row_13	XM_047170356	na	6464	0.023972388356924057	0.44784766	No	
row_14	XM_047177929	na	6577	0.015213358215987682	0.44271436	No	
row_15	XM_047171467	na	6655	0.009575999341905117	0.43906957	No	
row_16	XM_047164371	na	6943	0.0	0.4208114	No	
row_17	XM_047164549	na	6966	0.0	0.41941184	No	
row_18	XM_047177187	na	8280	0.0	0.33588234	No	
row_19	XM_047185833	na	9181	0.0	0.2786268	No	
row_20	XM_047165025	na	10691	-0.11685054749250412	0.19792713	No	
row_21	XM_047172217	na	10714	-0.11855228990316391	0.21204917	No	
row_22	XM_047171415	na	11104	-0.16886067390441895	0.20941035	No	
row_23	XM_047164253	na	11901	-0.26835814118385315	0.19390614	No	
row_24	XM_047186086	na	13165	-0.3853147327899933	0.16400534	No	
