NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047172130	na	332	1.0808959007263184	0.06016881	No	
row_1	XM_047164532	na	1765	0.6051443815231323	0.014533878	No	
row_2	XM_047184784	na	2601	0.4370008707046509	-0.005747049	No	
row_3	XM_047170935	na	2911	0.4052794873714447	0.0050678933	No	
row_4	XM_047172924	na	3389	0.3689509630203247	0.0024564855	No	
row_5	XM_047175211	na	4085	0.3186323046684265	-0.017816259	No	
row_6	XM_047172129	na	4387	0.2761617600917816	-0.016203946	No	
row_7	XM_047169852	na	5050	0.19591283798217773	-0.043606717	No	
row_8	XM_047172429	na	5209	0.17639818787574768	-0.04039585	No	
row_9	XM_047184152	na	5484	0.14013831317424774	-0.04729617	No	
row_10	XM_047179775	na	6527	0.01867852360010147	-0.11221841	No	
row_11	XM_047170880	na	6684	0.009060237556695938	-0.121466905	No	
row_12	XM_047164638	na	6995	0.0	-0.14119956	No	
row_13	XM_047166575	na	7165	0.0	-0.15195704	No	
row_14	XM_047174251	na	7979	0.0	-0.20370752	No	
row_15	XM_047178290	na	9694	-0.002295705256983638	-0.31263733	No	
row_16	XM_047184131	na	9829	-0.017862172797322273	-0.31982338	No	
row_17	XM_047184299	na	10158	-0.05249423161149025	-0.33675334	No	
row_18	XM_047170937	na	10538	-0.1000114157795906	-0.35335553	No	
row_19	XM_047176162	na	10706	-0.11782198399305344	-0.35512346	No	
row_20	XM_047176648	na	11484	-0.21430405974388123	-0.38846308	No	
row_21	XM_047169156	na	11550	-0.22345127165317535	-0.37579322	No	
row_22	XM_047170838	na	12284	-0.32504719495773315	-0.3980023	No	
row_23	XM_047174208	na	12760	-0.36531588435173035	-0.40075982	Yes	
row_24	XM_047171755	na	12808	-0.3661865293979645	-0.37620807	Yes	
row_25	XM_047175975	na	13719	-0.4503755569458008	-0.40025702	Yes	
row_26	XM_047171754	na	13856	-0.4716034531593323	-0.37344128	Yes	
row_27	XM_047180754	na	13979	-0.49273359775543213	-0.34414506	Yes	
row_28	XM_047183171	na	14198	-0.531611979007721	-0.31803524	Yes	
row_29	XM_047177934	na	15252	-0.8400104641914368	-0.32187948	Yes	
row_30	XM_047182992	na	15283	-0.8586481809616089	-0.2592041	Yes	
row_31	XM_047177655	na	15412	-0.9504393935203552	-0.19586247	Yes	
row_32	XM_047165034	na	15585	-1.1164798736572266	-0.12283255	Yes	
row_33	XM_047185536	na	15731	-1.765903353691101	7.637668E-4	Yes	
